,word,syllables
351,жизнеобеспечения,6
352,ест,1
353,инициатива,5
354,ик,1
355,производительности,6
356,хлопья,2
357,металлический,5
358,рельсы,2
359,окно,2
360,заимствованные,4
361,йотированный,5
362,варенье,3
363,являющихся,4
364,лайка,2
365,художественного,6
366,щелк,1
367,деревьев,3
368,лиственница,4
369,арбуз,2
370,воочию,2
371,возникновение,5
372,удовлетворительное,7
373,соответствующего,5
374,хозяйство,3
375,серебряные,4
376,физиологическим,6
377,микробиологическая,7
378,функционированное,6
379,ёлкин,2
380,шероховатости,6
381,интеллектуальный,5
382,хозяин,2
383,брат,1
384,шкаф,1
385,оружие,3
386,белочка,3
387,любознательный,5
388,усовершенствование,7
389,дифференциальные,5
390,многообещающая,5
391,заокеанский,3
392,Йорк,1
393,канализационные,6
394,Гастрономия,4
395,электроизмерительные,7
396,иллюзия,3
397,Ира,2
398,геополитического,7
399,юмористическое,6
400,флот,1
401,Щелкунчики,4
402,пять,1
403,величавый,4
404,эпидемиология,6
405,цепь,1
406,девочки,3
407,жёлтые,2
408,распространение,5
409,экология,4
410,контрреволюционный,6
411,биография,3
412,экономика,5
413,фамилия,3
414,ситуация,3
415,общеобразовательное,7
416,ябеда,3
417,четырьмястами,5
418,шахтостроительного,6
419,люк,1
420,блокообрабатывающий,7
421,царапина,4
422,электричка,4
423,самореализация,6
424,цвет,1
425,тщеславие,3
426,азбука,3
427,большая,2
428,белоснежная,4
429,распределение,5
430,воробьиный,4
431,якорь,2
432,воскресенье,4
433,красный,2
434,физиология,4
435,рационализированной,8
436,единообразия,5
437,война,2
438,цветочная,3
439,мак,1
440,кастрюля,3
441,лесообрабатывающей,7
442,исторический,5
443,жевачка,3
444,стихотворение,5
445,функциональные,4
446,высказывание,5
447,употребление,5
448,щупание,3
449,юркий,2
450,здание,2
451,завораживающая,6
452,характеризовать,6
453,однопараметрическую,8
454,Украина,3
455,школа,2
456,Эльф,1
457,цетрализованная,6
458,свёкла,2
459,апельсиновый,5
460,счастливый,3
461,биологическая,5
462,штабелирование,6
463,Обозначающие,5
464,физиотерапия,5
465,жать,1
466,ждать,1
467,удовлетворяющие,6
468,достопримечательность,7
469,иль,1
470,шаромоделирование,8
471,оранжевый,4
472,электродинамический,8
473,самопожертвование,7
474,территория,4
475,изготавливается,6
476,Дюймовочка,4
477,майский,2
478,заводоуправление,6
479,ученик,3
480,лекарственные,4
481,характеристика,6
482,врач,1
483,зелёные,3
484,вместе,2
485,документационные,6
486,засухоустойчивая,6
487,местоимение,4
488,орех,2
489,единовременный,6
490,млекопитающие,5
491,шелестит,3
492,завораживающее,6
493,шиномонтаж,4
494,машина,3
495,гидроэлектростанциями,7
496,ежеквартально,5
497,часовой,3
498,дорожки,3
499,неотремонтированных,7
500,Юрмала,3
501,фикция,2
502,яйцерождение,5
503,физиологического,7
504,беспокоиться,4
505,идеализированная,7
506,асимметрия,4
507,честь,1
508,муравей,3
509,характеризующимся,7
510,жильё,2
511,нововведение,5
512,необыкновенная,5
513,рассвет,2
514,Евгения,3
515,настоящее,3
516,Экологические,6
517,ежи,2
518,Жанна,2
519,администратор,5
520,единовременно,6
521,Юля,2
522,труд,1
523,юродивый,4
524,ёмкий,2
525,закончилось,4
526,кость,1
527,мероприятия,4
528,Хорватия,3
529,гладиолусы,4
530,самообследование,6
531,сыроежка,3
532,железнодорожное,6
533,зной,1
534,радиоприёмник,4
535,ромашка,3
536,демилитаризованную,8
537,крот,1
538,из,1
539,ель,1
540,геометрические,5
541,зарядка,3
542,отечество,4
543,одуванчик,4
544,идолопоклонниками,8
545,есть,1
546,январь,2
547,федерации,4
548,хор,1
549,деревьях,3
550,апрельский,3
551,книга,2
552,чудесное,3
553,рассредоточение,6
554,специализированный,7
555,електрохымзахисту,7
556,Иваново,4
557,пушистый,3
558,одноклассники,5
559,вьюн,1
560,электровибрационные,7
561,йэ,1
562,семья,2
563,Яковлевича,5
564,самообладание,5
565,лужайка,3
566,бассейн,2
567,Произведение,4
568,неудовлетворительный,7
569,наименование,5
570,муравьишка,4
571,ласточка,3
572,характеризующего,7
573,дождь,1
574,неудовлетворительно,7
575,ребята,3
576,диагностируемого,6
577,хлобчатобумажная,6
578,государственную,5
579,фрак,1
580,хоть,1
581,конкурентноспособностью,8
582,благоустройство,4
583,тарелка,3
584,баллистокардиография,7
585,четырёхугольника,7
586,морковь,2
587,обезьяна,4
588,воробьи,3
589,электромеханический,8
590,фломастер,3
591,животноводческих,6
592,взгляд,1
593,жизнерадостность,5
594,Ас,1
595,являющимися,5
596,налогообложения,6
597,жизнеутверждающий,5
598,взаимопонимание,6
599,территориальный,5
600,живописное,4
601,здравоохранения,5
602,яркая,2
603,авиационный,4
604,художественная,5
605,характеристиками,7
606,высокопревосходительство,9
607,индивидуализировать,8
608,банан,2
609,риск,1
610,камнеобрабатывающий,7
611,огонь,2
612,чаепитие,3
613,играю,2
614,социалистическая,6
615,этаж,2
616,звёзды,2
617,туфли,2
618,соревнования,5
619,фестиваль,3
620,администрация,5
621,достопримечательностям,8
622,убаюкивает,4
623,Япония,3
624,единовременное,6
625,восточнославянская,6
626,головокружение,6
627,завтрак,2
628,ясновидящие,5
629,головокружительная,7
630,соединение,4
631,грамматика,4
632,руль,1
633,гидроэнергетические,7
634,жеребёнок,4
635,государственного,6
636,обществознание,5
637,удочка,3
638,жизнерадостный,5
639,направление,4
640,хруст,1
641,ягуар,2
642,рысь,1
643,Екатеринбургскую,6
644,дрозд,1
645,голубь,2
646,формирования,5
647,шиномонтажные,5
648,Евгений,3
649,облако,3
650,ненастье,3
651,бактерионосительство,7
652,трамвай,2
653,работоспособность,6
654,иней,2
655,идеальный,3
656,коммунистическая,6
657,сельскохозяйственного,7
658,ходатайство,4
659,некристаллизирующийся,8
660,ещё,2
661,неожиданно,4
662,деньки,2
663,аист,1
664,хлопотливый,4
665,красноармейская,4
666,заасфальтировать,5
667,бетонирование,6
668,игла,2
669,добросовестный,5
670,фарш,1
671,регистрационный,5
672,чистописание,5
673,пластилин,3
674,Москва,2
675,щавелевый,4
676,ферзь,1
677,ос,1
678,автовеломотогонки,8
679,авианавигационный,7
680,профориентационную,6
681,радиопеленгаторная,7
682,зарегистрировано,7
683,йодом,2
684,хозяйственный,4
685,шестиугольник,4
686,автоаннотирование,7
687,портфель,2
688,билетопечатающий,7
689,неспециализированных,8
690,искусство,3
691,щеткой,2
692,юбиляра,4
693,рожь,1
694,шарф,1
695,поздравляю,3
696,изобилия,4
697,общеобразовательная,7
698,цилиндрическая,5
699,лидирующие,4
700,местонахождение,6
701,смотрит,2
702,фонарь,2
703,акация,3
704,флюорография,4
705,красиваядолгое,5
706,единожды,4
707,энциклопедическое,7
708,шёлковая,3
709,благоприятствовать,5
710,ночь,1
711,безукоризненно,6
712,тетрадь,2
713,железнодорожный,6
714,благополучие,5
715,представление,4
716,немалозначимую,6
717,дупло,2
718,естествоиспытатель,6
719,ёмкостной,3
720,вежливость,3
721,зеркало,3
722,величественный,5
723,Илья,2
724,умиротворение,6
725,литературное,5
726,тюльпан,2
727,ядовитая,4
728,авиаметеостанция,6
729,Иван,2
730,юноша,3
731,декларация,4
732,естественный,4
733,компьютер,3
734,щекотливость,4
735,материаловедение,7
736,барабан,3
737,гном,1
738,аббревиатура,5
739,йод,1
740,хек,1
741,элегантные,4
742,лакированная,5
743,твой,1
744,регулирование,6
745,он,1
746,человеческий,5
747,деревьями,4
748,эндокринологическое,8
749,Эмма,2
750,йоги,2
751,сфотографировать,6
752,разрастающиеся,5
753,высокотехнологичного,9
754,хлеб,1
755,астр,1
756,переформатирование,8
757,теплопроизводительность,7
758,машиностроительная,6
759,фармакокенетика,7
760,автотехобслуживание,8
761,матрёшка,3
762,усовершенствованиями,8
763,весенний,3
764,базирующуюся,5
765,оплачиваемый,5
766,волк,1
767,четырнадцатое,5
768,альбом,2
769,деньги,2
770,одиннадцатое,5
771,доброжелательный,6
772,правоохранительная,6
773,жужжание,3
774,великолепие,5
775,мышь,1
776,языковая,4
777,доброжелательность,6
778,Ям,1
779,ам,1
780,империалистические,7
781,разноцветные,4
782,глообализационными,7
783,осенние,3
784,программирование,6
785,центральная,3
786,четырехлепестковые,7
787,пенал,2
788,жук,1
789,целоваться,4
790,юбилейное,4
791,тихоокеанского,5
792,Яна,2
793,праздник,2
794,этноконфессиональных,7
795,телефон,3
796,гусеница,4
797,Юлианович,4
798,эксплуатации,4
799,лев,1
800,кардиореспираторной,7
801,фитопалеонтология,7
802,барражирование,6
803,полиэтиленовая,6
804,электробезопасность,7
805,величественные,5
806,железнодорожная,6
807,человеконенавистник,8
808,трактор,2
809,тихоокеанский,4
810,ночник,2
811,горнодобывающая,6
812,пляж,1
813,широкоугольный,5
814,звукозаписывающее,7
815,извините,4
816,эмоциональный,5
817,специализированные,7
818,коллекционирование,7
819,целлюлоза,4
820,шторм,1
821,целеустремленный,5
822,происхождение,4
823,зелёная,3
824,теоретический,5
825,единичный,4
826,яишница,3
827,забастовка,4
828,предполагает,4
829,программа,3
830,шахматы,3
831,словообразование,6
832,актёр,2
833,ёжик,2
834,психоневрологическая,8
835,ёжики,3
836,Ирина,3
837,предаттестационная,6
838,муж,1
839,карбокксиметилцеллюлоза,9
840,разнообразие,4
841,як,1
842,яблонька,3
843,аэроплан,3
844,лось,1
845,главнокомандующего,7
846,шизофрении,4
847,финансирование,6
848,движение,3
849,удивительные,5
850,скамейка,3
851,единственного,5
852,ёлочка,3
853,ежевика,4
854,документационного,7
855,медведь,2
856,идеализированному,8
857,шестнадцатое,4
858,горькая,2
859,щипцы,2
860,явление,3
861,щуплый,2
862,электрический,5
863,ива,2
864,зелёный,3
865,холодная,3
866,метеорологические,7
867,реабилитационный,6
868,дружба,2
869,трудоустройство,4
870,серебро,3
871,совершенствование,6
872,хорошая,3
873,авиация,3
874,растения,3
875,бабушка,3
876,действительно,4
877,автомобиль,4
878,электрификация,6
879,Тверь,1
880,азотофиксирующий,7
881,шишка,2
882,щётка,2
883,быстро,2
884,шантажировать,5
885,дисквалифицировали,8
886,называется,4
887,жил,1
888,экспресс,2
889,метро,2
890,животноводство,5
891,конструирование,5
892,Эдик,2
893,дифференцированная,7
894,сочинение,4
895,ералаш,3
896,апельсин,3
897,молоко,3
898,противоположные,6
899,реабилитационные,6
900,логопедической,6
901,ручьи,2
902,имена,3
903,квалификационная,6
904,ульи,2
905,хвост,1
906,ёсць,1
907,Антон,2
908,ум,1
909,щелочение,4
910,единственная,4
911,телерадиокомпания,7
912,фантастика,4
913,эмоциональная,5
914,йеменцу,3
915,зоопарк,2
916,янтарная,3
917,материальное,4
918,акула,3
919,ерунда,3
920,электрообеспечение,7
921,биологический,5
922,поэзия,2
923,ядовитую,4
924,теплоизоляционные,6
925,финал,2
926,традиция,3
927,декабрь,2
928,Арс,1
929,общеобразовательную,7
930,шестьюдесятью,5
931,температура,5
932,холодный,3
933,шампиньоны,4
934,разъезд,2
935,танк,1
936,цветы,2
937,разочарование,6
938,украинский,3
939,наряд,2
940,учительница,5
941,юные,2
942,металлообнаружитель,7
943,листочками,4
944,их,1
945,дифференцированы,7
946,конкурентоспособность,7
947,подосиновик,5
948,уж,1
949,вышеперечисленные,7
950,насекомые,4
951,микросхема,4
952,квалификационные,6
953,эксперт,2
954,фигурирующих,5
955,подъезд,2
956,настоящая,3
957,гидроэлектростанцией,6
958,усовершенствованию,7
959,вышепоставленным,6
960,несанкционированного,8
961,раскрасила,4
962,циркуляцией,4
963,зонт,1
964,радио,2
965,белоснежный,4
966,авиастроительство,5
967,естественнонаучный,6
968,оборачиваемости,7
969,несовершеннолетним,7
970,листва,2
971,термодинамического,8
972,шиномонтажное,5
973,визуализация,5
974,неопределенный,5
975,землетрясение,5
976,Германия,3
977,гидроманипуляторами,9
978,флокс,1
979,товаробраковочного,8
980,чтение,2
981,обеспечивающие,6
982,индустриальный,4
983,позиционирование,7
984,мать,1
985,його,2
986,коллекция,3
987,радость,2
988,кондиционирования,7
989,жизнь,1
990,барс,1
991,цветочную,3
992,нефть,1
993,ирис,2
994,геологические,5
995,инструктируемого,6
996,глобализируещееся,7
997,щит,1
998,оборудование,6
999,им,1
