,word,syllable
1472,война,2
572,цветочная,4
2164,мак,1
1853,кастрюля,3
270,лесообрабатывающей,9
721,исторический,5
1818,жевачка,3
1335,стихотворение,6
1374,функциональные,6
1195,высказывание,6
1356,употребление,6
602,щупание,4
1729,юркий,2
1828,здание,3
59,завораживающая,8
1382,характеризовать,6
299,однопараметрическую,9
545,Украина,4
1700,школа,2
2299,Эльф,1
1128,цетрализованная,7
1625,свёкла,2
641,апельсиновый,5
1926,счастливый,3
929,биологическая,7
1153,штабелирование,7
1049,Обозначающие,7
1107,физиотерапия,7
2113,жать,1
2112,ждать,1
163,удовлетворяющие,8
956,достопримечательность,7
2128,иль,1
341,шаромоделирование,9
494,оранжевый,4
204,электродинамический,8
137,самопожертвование,8
811,территория,5
997,изготавливается,7
401,Дюймовочка,4
1574,майский,2
53,заводоуправление,8
1940,ученик,3
741,лекарственные,5
1376,характеристика,6
2067,врач,1
429,зелёные,4
1471,вместе,2
45,документационные,8
60,засухоустойчивая,8
1287,местоимение,6
1598,орех,2
1232,единовременный,6
1029,млекопитающие,7
1994,шелестит,3
55,завораживающее,8
597,шиномонтаж,4
1878,машина,3
243,гидроэлектростанциями,9
697,ежеквартально,5
1982,часовой,3
1790,дорожки,3
105,неотремонтированных,8
2022,Юрмала,3
1957,фикция,3
1441,яйцерождение,6
173,физиологического,8
657,беспокоиться,5
255,идеализированная,9
646,асимметрия,5
2270,честь,1
1877,муравей,3
180,характеризующимся,8
1515,жильё,2
1300,нововведение,6
1041,необыкновенная,7
1620,рассвет,2
411,Евгения,4
760,настоящее,5
1157,Экологические,7
1496,ежи,2
1513,Жанна,2
645,администратор,5
1226,единовременно,6
1722,Юля,2
2222,труд,1
618,юродивый,4
1510,ёмкий,2
432,закончилось,4
2144,кость,1
1290,мероприятия,6
559,Хорватия,4
669,гладиолусы,5
145,самообследование,8
522,сыроежка,4
985,железнодорожное,7
2122,зной,1
1333,радиоприёмник,6
1911,ромашка,3
247,демилитаризованную,9
2142,крот,1
2126,из,1
2089,ель,1
946,геометрические,7
1829,зарядка,3
493,отечество,4
492,одуванчик,4
67,идолопоклонниками,8
2091,есть,1
1740,январь,2
834,федерации,5
2251,хор,1
1789,деревьях,3
1745,апрельский,3
1555,книга,2
582,чудесное,4
1069,рассредоточение,7
138,специализированный,8
973,електрохымзахисту,7
441,Иваново,4
1899,пушистый,3
776,одноклассники,5
2064,вьюн,1
346,электровибрационные,9
2138,йэ,1
1621,семья,2
915,Яковлевича,5
1085,самообладание,7
1868,лужайка,3
1460,бассейн,2
1320,Произведение,6
99,неудовлетворительный,8
1037,наименование,7
477,муравьишка,4
1859,ласточка,3
183,характеризующего,8
2079,дождь,1
98,неудовлетворительно,8
1914,ребята,3
48,диагностируемого,8
1125,хлобчатобумажная,7
1210,государственную,6
2247,фрак,1
2252,хоть,1
82,конкурентноспособностью,8
652,благоустройство,5
1930,тарелка,3
220,баллистокардиография,9
1138,четырёхугольника,7
1575,морковь,2
488,обезьяна,4
1763,воробьи,3
206,электромеханический,8
1950,фломастер,3
1239,животноводческих,6
2063,взгляд,1
707,жизнерадостность,5
2045,Ас,1
1442,являющимися,6
101,налогообложения,8
978,жизнеутверждающий,7
22,взаимопонимание,8
1350,территориальный,6
705,живописное,5
995,здравоохранения,7
2035,яркая,3
1178,авиационный,6
1377,художественная,6
1120,характеристиками,7
227,высокопревосходительство,9
258,индивидуализировать,9
1459,банан,2
2205,риск,1
263,камнеобрабатывающий,9
1596,огонь,2
860,чаепитие,5
1834,играю,3
144,социалистическая,8
1711,этаж,2
1529,звёзды,2
1640,туфли,2
1342,соревнования,6
1954,фестиваль,3
1173,администрация,6
49,достопримечательностям,8
1359,убаюкивает,6
629,Япония,4
970,единовременное,7
945,восточнославянская,7
948,головокружение,7
1523,завтрак,2
1436,ясновидящие,6
37,головокружительная,8
1340,соединение,6
388,грамматика,4
2200,руль,1
240,гидроэнергетические,9
420,жеребёнок,4
1208,государственного,6
1310,обществознание,6
1945,удочка,3
699,жизнерадостный,5
769,направление,5
2255,хруст,1
2033,ягуар,3
2204,рысь,1
969,Екатеринбургскую,7
2084,дрозд,1
1479,голубь,2
1373,формирования,6
1409,шиномонтажные,6
1797,Евгений,3
1889,облако,3
1882,ненастье,3
14,бактерионосительство,8
1632,трамвай,2
1329,работоспособность,6
1531,иней,2
437,идеальный,4
1011,коммунистическая,7
1083,сельскохозяйственного,7
562,ходатайство,4
289,некристаллизирующийся,9
1503,ещё,2
768,неожиданно,5
1486,деньки,2
1446,аист,2
564,хлопотливый,4
1265,красноармейская,6
1246,заасфальтировать,6
934,бетонирование,7
1538,игла,2
685,добросовестный,5
2245,фарш,1
1331,регистрационный,6
1398,чистописание,6
1904,пластилин,3
1571,Москва,2
599,щавелевый,4
2246,ферзь,1
2185,ос,1
4,автовеломотогонки,8
215,авианавигационный,9
310,профориентационную,9
311,радиопеленгаторная,9
992,зарегистрировано,7
1548,йодом,2
561,хозяйственный,4
874,шестиугольник,5
216,автоаннотирование,9
1607,портфель,2
13,билетопечатающий,8
286,неспециализированных,9
1835,искусство,3
1710,щеткой,2
626,юбиляра,4
2208,рожь,1
2280,шарф,1
507,поздравляю,4
719,изобилия,5
291,общеобразовательная,9
1392,цилиндрическая,6
1279,лидирующие,6
1033,местонахождение,7
1627,смотрит,2
1651,фонарь,2
352,акация,4
1365,флюорография,6
1013,красиваядолгое,7
406,единожды,4
202,энциклопедическое,8
590,шёлковая,4
1192,благоприятствовать,6
2170,ночь,1
1188,безукоризненно,6
1631,тетрадь,2
1233,железнодорожный,6
1187,благополучие,6
785,представление,5
1042,немалозначимую,7
1489,дупло,2
968,естествоиспытатель,7
1810,ёмкостной,3
1768,вежливость,3
1824,зеркало,3
663,величественный,5
1535,Илья,2
1099,умиротворение,7
1278,литературное,6
1635,тюльпан,2
906,ядовитая,5
214,авиаметеостанция,9
1539,Иван,2
2024,юноша,3
679,декларация,5
408,естественный,4
1852,компьютер,3
607,щекотливость,4
271,материаловедение,9
1755,барабан,3
2077,гном,1
1177,аббревиатура,6
2134,йод,1
2257,хек,1
893,элегантные,5
1277,лакированная,6
2227,твой,1
1072,регулирование,7
2180,он,1
862,человеческий,5
394,деревьями,4
345,эндокринологическое,9
1715,Эмма,2
1549,йоги,2
1343,сфотографировать,6
1074,разрастающиеся,7
234,высокотехнологичного,9
2248,хлеб,1
2041,астр,1
307,переформатирование,9
147,теплопроизводительность,8
89,машиностроительная,8
1111,фармакокенетика,7
209,автотехобслуживание,9
1871,матрёшка,3
334,усовершенствованиями,9
1764,весенний,3
931,базирующуюся,7
1309,оплачиваемый,6
2059,волк,1
1397,четырнадцатое,6
1453,альбом,2
1492,деньги,2
1311,одиннадцатое,6
1222,доброжелательный,6
123,правоохранительная,8
421,жужжание,4
1199,великолепие,6
2160,мышь,1
908,языковая,5
1213,доброжелательность,6
2305,Ям,1
2047,ам,1
257,империалистические,9
790,разноцветные,5
245,глообализационными,9
495,осенние,4
1059,программирование,7
569,центральная,4
193,четырехлепестковые,8
1610,пенал,2
2105,жук,1
576,целоваться,4
898,юбилейное,5
1091,тихоокеанского,7
1737,Яна,2
1606,праздник,2
203,этноконфессиональных,8
1933,телефон,3
382,гусеница,4
904,Юлианович,5
1422,эксплуатации,6
2157,лев,1
77,кардиореспираторной,8
338,фитопалеонтология,9
930,барражирование,7
122,полиэтиленовая,8
1156,электробезопасность,7
1202,величественные,6
976,железнодорожная,7
195,человеконенавистник,8
1637,трактор,2
1353,тихоокеанский,6
1590,ночник,2
39,горнодобывающая,8
2192,пляж,1
1413,широкоугольный,6
252,звукозаписывающее,9
440,извините,4
1419,эмоциональный,6
319,специализированные,9
261,коллекционирование,9
577,целлюлоза,4
2282,шторм,1
1385,целеустремленный,6
1322,происхождение,6
427,зелёная,4
1348,теоретический,6
405,единичный,4
631,яишница,4
428,забастовка,4
781,предполагает,5
1905,программа,3
1993,шахматы,3
141,словообразование,8
1451,актёр,2
1505,ёжик,2
309,психоневрологическая,9
1791,ёжики,3
1833,Ирина,3
120,предаттестационная,8
2167,муж,1
267,карбокксиметилцеллюлоза,9
1332,разнообразие,6
2303,як,1
2032,яблонька,3
356,аэроплан,4
2150,лось,1
31,главнокомандующего,8
873,шизофрении,5
1106,финансирование,7
398,движение,4
1358,удивительные,6
1924,скамейка,3
693,единственного,5
1801,ёлочка,3
402,ежевика,4
41,документационного,8
1572,медведь,2
259,идеализированному,9
870,шестнадцатое,5
1773,горькая,3
1708,щипцы,2
632,явление,4
1705,щуплый,2
888,электрический,5
1533,ива,2
1827,зелёный,3
560,холодная,4
276,метеорологические,9
134,реабилитационный,8
1490,дружба,2
817,трудоустройство,5
1921,серебро,3
1076,совершенствование,7
563,хорошая,4
643,авиация,5
511,растения,4
1752,бабушка,3
399,действительно,4
355,автомобиль,4
1159,электрификация,7
2226,Тверь,1
6,азотофиксирующий,8
1693,шишка,2
1704,щётка,2
1455,быстро,2
878,шантажировать,5
42,дисквалифицировали,8
766,называется,5
2108,жил,1
1716,экспресс,2
1577,метро,2
698,животноводство,5
1010,конструирование,7
1718,Эдик,2
46,дифференцированная,8
804,сочинение,5
1799,ералаш,3
1742,апельсин,3
1872,молоко,3
1058,противоположные,7
312,реабилитационные,9
1280,логопедической,6
1612,ручьи,2
1836,имена,3
73,квалификационная,8
1648,ульи,2
2249,хвост,1
2103,ёсць,1
1452,Антон,2
2230,ум,1
882,щелочение,5
692,единственная,5
331,телерадиокомпания,9
554,фантастика,4
1161,эмоциональная,7
1846,йеменцу,3
1822,зоопарк,3
630,янтарная,4
1292,материальное,6
1747,акула,3
1800,ерунда,3
347,электрообеспечение,9
1184,биологический,6
506,поэзия,4
910,ядовитую,5
328,теплоизоляционные,9
1659,финал,2
530,традиция,4
1494,декабрь,2
2046,Арс,1
295,общеобразовательную,9
876,шестьюдесятью,5
812,температура,5
1965,холодный,3
592,шампиньоны,4
1619,разъезд,2
2223,танк,1
1676,цветы,2
1067,разочарование,7
538,украинский,4
1587,наряд,2
820,учительница,5
2023,юные,3
91,металлообнаружитель,8
464,листочками,4
2129,их,1
958,дифференцированы,7
1009,конкурентоспособность,7
784,подосиновик,5
2231,уж,1
26,вышеперечисленные,8
765,насекомые,5
476,микросхема,4
75,квалификационные,8
1719,эксперт,2
1372,фигурирующих,6
1603,подъезд,2
767,настоящая,5
34,гидроэлектростанцией,8
162,усовершенствованию,8
1201,вышепоставленным,6
284,несанкционированного,9
514,раскрасила,4
859,циркуляцией,5
2114,зонт,1
1910,радио,3
370,белоснежный,4
919,авиастроительство,7
972,естественнонаучный,7
112,оборачиваемости,8
1045,несовершеннолетним,7
1569,листва,2
156,термодинамического,8
1408,шиномонтажное,6
944,визуализация,7
1302,неопределенный,6
1243,землетрясение,6
387,Германия,4
242,гидроманипуляторами,9
2240,флокс,1
150,товаробраковочного,8
1981,чтение,3
114,обеспечивающие,8
720,индустриальный,5
302,позиционирование,9
2162,мать,1
1546,його,2
452,коллекция,4
1616,радость,2
264,кондиционирования,9
2104,жизнь,1
2052,барс,1
574,цветочную,4
2175,нефть,1
1532,ирис,2
955,геологические,7
999,инструктируемого,7
244,глобализируещееся,9
2288,щит,1
1046,оборудование,7
2125,им,1
