ID;NLTK;Natasha
44;– А можно… можно с ним попрощаться, сэр?;– А можно… можно с ним попрощаться, сэр? – попросил Огрид.
45;Идемте праздновать?;Идемте праздновать?
46;– Ну что, встал?;– Ну что, встал? – грозно прокричала она.
47;– Что?;– Что? – рявкнула тетя Петуния из-за двери.
48;У Дудли день рождения – как это он забыл?;У Дудли день рождения – как это он забыл?
49;Сообразив, что грядет истерика, Гарри стал торопливо глотать бекон, а то как бы Дудли не перевернул стол. Тетя Петуния, очевидно, тоже почуяла опасность и затараторила: – И мы купим тебе ещедваподарка, когда пойдем гулять, да?;Тетя Петуния, очевидно, тоже почуяла опасность и затараторила: – И мы купим тебе ещедваподарка, когда пойдем гулять, да?
50;Как тебе такое, пончик?;Как тебе такое, пончик?
51;Хорошо?;Хорошо?
52;– И как быть?;– И как быть?
53;– А эта, как бишь ее, твоя подруга… Ивонна?;Ивонна?
54;– Чтобы потом вернуться к руинам?;– Чтобы потом вернуться к руинам? – проворчала она.
55;– Небось достало?;– Небось достало?
56;– А ты вообще откуда?;– А ты вообще откуда? – полюбопытствовал Гарри.
57;– Хорошо там, в Бразилии?;– Хорошо там, в Бразилии?
58;– Вот как?;– Вот как?
59;Значит, ты не был в Бразилии?;Значит, ты не был в Бразилии?
60;– Куда делось стекло?;– Куда делось стекло?
61;Скажешь, нет, Гарри?;Скажешь, нет, Гарри?
62;И все же иногда ему казалось (или он это придумывал?;И все же иногда ему казалось (или он это придумывал?), что посторонние люди на улице его узнают.
63;– Хочешь пойдем наверх, потренируемся?;– Хочешь пойдем наверх, потренируемся?
64;– Что это?;– Что это? – спросил он тетю Петунию.
65;Да и кому бы?;Да и кому бы?
66;– Чего застрял?;– Чего застрял? – раздался голос дяди Вернона.
67;– Проверяешь, нет ли бомб?;– Проверяешь, нет ли бомб?
68;– Пап, смотри, что это у Гарри?;– Пап, смотри, что это у Гарри?
69;– Кто станет тебе писать?;– Кто станет тебе писать? – осклабился дядя Вернон, встряхивая письмо одной рукой, чтобы развернуть.
70;– Вернон, – говорила тетя Петуния дрожащим голосом, – посмотри на адрес… Откуда они знают, где он спит?;Откуда они знают, где он спит?
71;Они что, следят за нами?;Они что, следят за нами?
72;– Но что же делать, Вернон?;– Но что же делать, Вернон?
73;Написать им?;Написать им?
74;Мы ведь поклялись, когда оставили его у себя, что выбьем из него эту дурь?;Мы ведь поклялись, когда оставили его у себя, что выбьем из него эту дурь?
75;– Где мое письмо?;– Где мое письмо? – выпалил Гарри, едва дядя Вернон протиснулся в дверцу.
76;– Кто мне пишет?;– Кто мне пишет?
77;– Зачем?;– Зачем? – спросил Гарри.
78;– Кому это ты так нужен?;– Кому это ты так нужен? – удивлялся Дудли.
79;– П’рстите, к’торый тут будет мистер Г. Поттер?;– П’рстите, к’торый тут будет мистер Г. Поттер?
80;– Милый, может, нам лучше вернуться домой?;– Милый, может, нам лучше вернуться домой? – осторожно спросила тетя Петуния много часов спустя.
81;– Папа сошел с ума, да?;– Папа сошел с ума, да? – тоскливо спросил Дудли у матери вечером того же дня.
82;– Вот письма бы пригодились, а?;– Вот письма бы пригодились, а? – бодро пошутил дядя.
83;Вдруг они вернутся, а дом на Бирючинной улице будет так забит письмами, что уж одно-то он как-нибудь украдет?;Вдруг они вернутся, а дом на Бирючинной улице будет так забит письмами, что уж одно-то он как-нибудь украдет?
84;Интересно, это море так бьет о камни?;Интересно, это море так бьет о камни?
85;И – две минуты – что это за странный хруст и рокот?;И – две минуты – что это за странный хруст и рокот?
86;Может, скала рушится и уходит под воду?;Может, скала рушится и уходит под воду?
87;– Где пушка?;– Где пушка? – глупо спросил он.
88;– Кто здесь?;– Кто здесь? – выкрикнул он.
89;– Чайку можно, а?;– Чайку можно, а? – попросил он.
90;Он хотел сказать спасибо, но это слово потерялось где-то на пути ко рту, и вместо «спасибо» он прошептал: – Вы кто?;Он хотел сказать спасибо, но это слово потерялось где-то на пути ко рту, и вместо «спасибо» он прошептал: – Вы кто?
91;– Ну, как с чайком-то?;– Ну, как с чайком-то? – напомнил он, потирая руки.
92;Кто вы?;Кто вы?
93;– Извините?;– Извините? – рявкнул Огрид, обращая грозный взгляд к Дурслеям, которые съежились и попятились в темноту.
94;Сам-то ты чего, никогда не интересовался, где твои предки всему обучились?;Сам-то ты чего, никогда не интересовался, где твои предки всему обучились?
95;– Чему – всему?;– Чему – всему? – не понял Гарри.
96;– ЧЕМУ ВСЕМУ?;– ЧЕМУ ВСЕМУ? – громовым раскатом повторил Огрид.
97;– Это ж как же прикажете понимать?!;– Это ж как же прикажете понимать?! – зарычал Огрид.
98;– Стало быть, этот мальчонка – вот этот вот самый – не знает ничего – ничегошеньки – НИ ПРО ЧТО?!;– Стало быть, этот мальчонка – вот этот вот самый – не знает ничего – ничегошеньки – НИ ПРО ЧТО?!
99;– Какой мир?;– Какой мир?
100;– Что?;– Что?
101;Мои… мои мама и папа… они разве знаменитые?;Мои… мои мама и папа… они разве знаменитые?
102;– И тебе не сказали, кто ты есть?;– И тебе не сказали, кто ты есть? – спросил он после долгой паузы.
103;– Ему не сказали?;– Ему не сказали?
104;Не сказали, что было в письме, которое оставил при нем Думбльдор?;Не сказали, что было в письме, которое оставил при нем Думбльдор?
105;Яс’ те, Дурслей?;Яс’ те, Дурслей?
106;И ты все годы скрывал?;И ты все годы скрывал?
107;– Что скрывал?;– Что скрывал? – возбужденно спросил Гарри.
108;– Я –кто?;– Я –кто? – ахнул Гарри.
109;С такими предками кем тебе еще быть?;С такими предками кем тебе еще быть?
110;После некоторого раздумья он пролепетал: – А что значит – «ожидаем ответную сову»?;После некоторого раздумья он пролепетал: – А что значит – «ожидаем ответную сову»?
111;– О чем бишь я?;– О чем бишь я? – начал Огрид, но тут дядя Вернон, по-прежнему пепельно-серый от волнения, но ужасно сердитый, шагнул на свет и выкрикнул: – Он не поедет!
112;– Кто?;– Кто? – заинтересовался Гарри.
113;– Вызнали?;– Вызнали? – поразился Гарри.
114;–Знали,что я… я – колдун?;–Знали,что я… я – колдун?
115;– Знали?!;– Знали?! – завизжала вдруг тетя Петуния.
116;И, едва совладав с голосом, спросил: – Укокошили?;И, едва совладав с голосом, спросил: – Укокошили?
117;Вы же говорили, они погибли в аварии?;Вы же говорили, они погибли в аварии?
118;– В АВАРИИ?;– В АВАРИИ?
119;– Как это?;– Как это?
120;Почему?;Почему? – разволновался Гарри.
121;Правда, и я сам не все знаю, история темная… Он сел и некоторое время смотрел в огонь, а после заговорил: – Видно, начинать надо с… с того, которого звать… Нет, но это с ума сойти, что вы про него и не слыхивали, а у нас он… – Кто?;– Кто?
122;– Почему?;– Почему?
123;– Может, напишете на бумажке?;– Может, напишете на бумажке? – предложил Гарри.
124;И почему Сами-Знаете-Кто ни разу не попытался перетянуть их на свою сторону?;И почему Сами-Знаете-Кто ни разу не попытался перетянуть их на свою сторону?
125;Никогда не интересовался, откуда у тебя шрам на лбу?;Никогда не интересовался, откуда у тебя шрам на лбу?
126;Без таких в мире только лучше, да и получили они по заслугам: чего и ждать, когда якшаешься с колдунами?;Без таких в мире только лучше, да и получили они по заслугам: чего и ждать, когда якшаешься с колдунами?
127;– А что случилось с Воль… извините – с Сами-Знаете-Кем?;– А что случилось с Воль… извините – с Сами-Знаете-Кем?
128;Загадка, понимаешь, из загадок… Он ведь тогда забирал все больше силы, больше власти – с чего ему исчезать?;Он ведь тогда забирал все больше силы, больше власти – с чего ему исчезать?
129;Он – колдун?;Он – колдун?
130;Да как этоможет быть?;Да как этоможет быть?
131;Если когда-то он победил самого могущественного чародея на свете, почему Дудли вечно пинал его, как футбольный мячик?;Если когда-то он победил самого могущественного чародея на свете, почему Дудли вечно пинал его, как футбольный мячик?
132;– Не колдун, значит?;– Не колдун, значит?
133;И что, никогда ничего не делалось по-твоему, когда ты, к примеру, сердился или пугался?;И что, никогда ничего не делалось по-твоему, когда ты, к примеру, сердился или пугался?
134;– Чуешь?;– Чуешь? – подмигнул Огрид.
135;– Не пустить сына Лили и Джеймса Поттеров в «Хогварц»?;– Не пустить сына Лили и Джеймса Поттеров в «Хогварц»?
136;Сдурели?;Сдурели?
137;Правда, чтоб тебя выследить, кой-чего разрешили – письмо доставить и прочее… Я вообще потому так за это дело и ухватился… – А почему вам нельзя заниматься магией?;– А почему вам нельзя заниматься магией? – спросил Гарри.
138;– А за что вас исключили?;– А за что вас исключили?
139;– Что?;– Что?
140;– Кнудов?;– Кнудов?
141;– Э-э-э… Огрид?;Огрид?
142;– А?;– А? – отозвался Огрид, натягивая огромные сапоги.
143;– Думаешь, родители тебе ничего не оставили?;– Думаешь, родители тебе ничего не оставили?
144;– Но ведь их дом разрушили… – А золото они, по-твоему, в чулке держали?;– А золото они, по-твоему, в чулке держали?
145;– У колдунов бывают банки?;– У колдунов бывают банки?
146;– Гоблины?;– Гоблины?
147;Тебя вот привезти… или чего другое из «Гринготтса»… Доверяет, ясно?.;Доверяет, ясно?. .
148;Ну, собрался?;Ну, собрался?
149;– А как вы сюда попали?;– А как вы сюда попали? – спросил Гарри, оглядываясь: должна же быть еще одна лодка?
150;– спросил Гарри, оглядываясь: должна же быть еще одна лодка?;– Прилетели?
151;– Прилетели?;– Ежели я чуток скорости поднаддам… пусть это останется между нами, ладно?
152;– Ежели я чуток скорости поднаддам… пусть это останется между нами, ладно?;– А почему только полоумный решится ограбить «Гринготтс»? – спросил Гарри.
153;– А почему только полоумный решится ограбить «Гринготтс»?;Да и дороги не найдешь – «Гринготтс» глубоко-глубоко под Лондоном, на сотни миль, понимаешь?
154;Да и дороги не найдешь – «Гринготтс» глубоко-глубоко под Лондоном, на сотни миль, понимаешь?;– А что, есть такое министерство?! – изумился Гарри, хотя очень старался молчать.
155;– А что, есть такое министерство?!;– А чемзанимаетсяминистерство магии?
156;– А чемзанимаетсяминистерство магии?;– Зачем?
157;– Зачем?;– Зачем?
158;– Зачем?;И это Гарри нисколько не удивляло: Огрид не только был вдвое больше обычного человека, он ещеи без удержу размахивал руками, тыча в простейшие вещи вроде паркометра и громко восклицая: – Видал?!
159;И это Гарри нисколько не удивляло: Огрид не только был вдвое больше обычного человека, он ещеи без удержу размахивал руками, тыча в простейшие вещи вроде паркометра и громко восклицая: – Видал?!;Чего только муглы не навыдумывают, скажи?
160;Чего только муглы не навыдумывают, скажи?;– Огрид, – спросил Гарри, слегка задыхаясь – ему ведь приходилось бежать, чтобы не отстать от великана, – значит, в «Гринготтсе» естьдраконы?
161;– Огрид, – спросил Гарри, слегка задыхаясь – ему ведь приходилось бежать, чтобы не отстать от великана, – значит, в «Гринготтсе» естьдраконы?;– Правда?
162;– Правда?;– У тебя письмо с собой, Гарри? – спросил Огрид, не переставая считать петли.
163;– У тебя письмо с собой, Гарри?;ВНИМАНИЮ РОДИТЕЛЕЙ:УЧАЩИМСЯ ПЕРВОГО ГОДА ОБУЧЕНИЯ НЕ РАЗРЕШАЕТСЯ ИМЕТЬ СОБСТВЕННЫЕ МЕТЛЫ – И все это можно купить в Лондоне? – поинтересовался Гарри.
164;ВНИМАНИЮ РОДИТЕЛЕЙ:УЧАЩИМСЯ ПЕРВОГО ГОДА ОБУЧЕНИЯ НЕ РАЗРЕШАЕТСЯ ИМЕТЬ СОБСТВЕННЫЕ МЕТЛЫ – И все это можно купить в Лондоне?;Неужели правда, что внизу, под землей, хранятся груды колдовского золота?
165;Обычная улица, с обычными людьми… Неужели правда, что внизу, под землей, хранятся груды колдовского золота?;И где же магазины, в которых продаются сборники заклинаний и метлы?
166;И где же магазины, в которых продаются сборники заклинаний и метлы?;Может, это вообще дурацкий розыгрыш, подстроенный дядей и тетей?
167;Может, это вообще дурацкий розыгрыш, подстроенный дядей и тетей?;"Огрида, похоже, тут знали;ему замахали и заулыбались, а бармен потянулся за стаканом, спросив: – Как обычно, Огрид?"
168;"Когда они вошли, тихий гул голосов стих. Огрида, похоже, тут знали;ему замахали и заулыбались, а бармен потянулся за стаканом, спросив: – Как обычно, Огрид?";Возможно ли?. .
169;– Бог ты мой, – воскликнул бармен, вглядываясь в Гарри, – это же… Возможно ли?.;– Вы слышали?
170;– Вы слышали?;– А что вы преподаете, профессор Страунс?
171;– А что вы преподаете, профессор Страунс?;– Н-но в-вам же это н-не п-понадобится, да, П-поттер?
172;– Н-но в-вам же это н-не п-понадобится, да, П-поттер?;– Идете п-покупать в-все д-для школы, п-полагаю?
173;– Идете п-покупать в-все д-для школы, п-полагаю?;Огрид улыбнулся Гарри: – Что я тебе говорил?
174;Огрид улыбнулся Гарри: – Что я тебе говорил?;– Он всегда такой нервный?
175;– Он всегда такой нервный?;Так, а где мой зонтик?
176;Боится учеников, боится даже собственного предмета… Так, а где мой зонтик?;Вампиры?
177;Вампиры?;Ведьма?
178;Ведьма?;– У вас есть его ключ, сэр?
179;– У вас есть его ключ, сэр?;– А что такое Сами-Знаете-Что в ячейке семьсот тринадцать? – спросил Гарри.
180;– А что такое Сами-Знаете-Что в ячейке семьсот тринадцать?;– Так и не знаю, – крикнул Гарри Огриду сквозь грохот тележки, – кто из них сталактит, а кто – сталагмит?
181;– Так и не знаю, – крикнул Гарри Огриду сквозь грохот тележки, – кто из них сталактит, а кто – сталагмит?;– А теперь, будь другом, к ячейке номер семьсот тринадцать, и не гони так, а?
182;– А теперь, будь другом, к ячейке номер семьсот тринадцать, и не гони так, а?;– И часто вы проверяете, нет ли кого внутри? – спросил Гарри.
183;– И часто вы проверяете, нет ли кого внутри?;– Ну что, назад в адскую громыхалку?
184;– Ну что, назад в адскую громыхалку?;– Слушай, Гарри, ты не против, если я заскочу в «Дырявый котел»?
185;– Слушай, Гарри, ты не против, если я заскочу в «Дырявый котел»?;– Идешь в «Хогварц», милый? – перебила она его невнятное лопотание.
186;– Идешь в «Хогварц», милый?;– Тоже в «Хог варц»?
187;– Тоже в «Хог варц»?;– А утебяесть метла? – приставал мальчишка.
188;– А утебяесть метла?;– А в квидиш-то хоть играешь?
189;– А в квидиш-то хоть играешь?;Ты уже знаешь, в какой колледж идешь?
190;Ты уже знаешь, в какой колледж идешь?;Хоть из школы уходи, честное слово, как считаешь?
191;Хоть из школы уходи, честное слово, как считаешь?;Он же там какой-то прислужник?
192;Он же там какой-то прислужник?;– Неужто? – произнес мальчик с презрительной усмешкой.
193;– Неужто?;– А почему он с тобой?
194;– А почему он с тобой?;Где твои родители?
195;Где твои родители?;– Но они были изнаших,да?
196;– Но они были изнаших,да?;Как, кстати, твоя фамилия?
197;Как, кстати, твоя фамилия?;– Что с тобой? – спросил Огрид.
198;– Что с тобой?;Выходя из магазина, он спросил: – Огрид, а что такое квидиш?
199;Выходя из магазина, он спросил: – Огрид, а что такое квидиш?;И сравнить с сестрицей?
200;И сравнить с сестрицей?;– Так что такое квидиш?
201;– Так что такое квидиш?;– А что такое «Слизерин» и «Хуффльпуфф»?
202;– А что такое «Слизерин» и «Хуффльпуфф»?;– Вольде… ой, то есть Сам-Знаешь-Кто учился в «Хогварце»?
203;– Вольде… ой, то есть Сам-Знаешь-Кто учился в «Хогварце»?;А знаешь чего?
204;А знаешь чего?;Рад видеть снова… дубовая шестнадцатидюймовка, довольно податливая, так?
205;Рад видеть снова… дубовая шестнадцатидюймовка, довольно податливая, так?;Но ее, полагаю, сломали пополам, когда тебя исключили? – вдруг посуровел мистер Олливандер.
206;Но ее, полагаю, сломали пополам, когда тебя исключили?;– Но ты имине пользуешься? – строго спросил мистер Олливандер.
207;– Но ты имине пользуешься?;– Какая рука рабочая?
208;– Какая рука рабочая?;– Покупатель с запросами, да?
209;– Покупатель с запросами, да?;– Простите, – сказал Гарри, – что любопытно?
210;Так-так-так… любопытно… весьма любопытно… – Он уложил палочку в коробку, а ту завернул в коричневую бумагу, приговаривая: – Любопытно… любопытно… – Простите, – сказал Гарри, – что любопытно?;– Ты в порядке, малец?
211;– Ты в порядке, малец?;Чего притих-то? – спросил Огрид.
212;Чего притих-то?;Как можно ждать от меня великих свершений?
213;Как можно ждать от меня великих свершений?;– Вы сможете меня отвезти?
214;– Вы сможете меня отвезти?;Гарри начал было подниматься по лестнице, но тут дядя Вернон заговорил: – И что за способ за такой добираться до волшебной школы на поезде?
215;Гарри начал было подниматься по лестнице, но тут дядя Вернон заговорил: – И что за способ за такой добираться до волшебной школы на поезде?;А ковер-самолет где?
216;А ковер-самолет где?;В химчистке?
217;В химчистке?;– А где вообще эта школа?
218;– А где вообще эта школа?;Дядя и тетя уставились на него: – Какой платформы?
219;Дядя и тетя уставились на него: – Какой платформы?;– А зачем вам в Лондон? – спросил Гарри для поддержания беседы.
220;– А зачем вам в Лондон?;Девять и три четверти должна быть где-то посередине, но ее, кажется, еще не построили, а?
221;Девять и три четверти должна быть где-то посередине, но ее, кажется, еще не построили, а?;Что же делать?
222;Что же делать?;Может, достать волшебную палочку и постучать по турникету между платформами девять и десять?
223;Наверное, Огрид забыл упомянуть о чем-то важном: стучали же они по третьему кирпичу слева, чтобы попасть на Диагон-аллею… Может, достать волшебную палочку и постучать по турникету между платформами девять и десять?;– Ну, какая платформа? – спросила мать.
224;– Ну, какая платформа?;– И вы, дама, еще смеете называть себя матерью?
225;– И вы, дама, еще смеете называть себя матерью?;Разве вы невидите,что я – Джордж?
226;Разве вы невидите,что я – Джордж?;Но куда же он делся?
227;Но куда же он делся?;– Здравствуй, милый, – радушно откликнулась та, – первый раз в «Хогварц»?
228;– Здравствуй, милый, – радушно откликнулась та, – первый раз в «Хогварц»?;– Как выйти на платформу? – доброжелательно подсказала женщина, и Гарри кивнул.
229;– И, понимаете, я… Понимаете… Я не знаю, как… – Как выйти на платформу?;– Помочь?
230;– Помочь?;– Что это? – спросил один близнец, показывая на зигзагообразный шрам.
231;– Что это?;– Да?
232;– Да?;Он? – обратился он к Гарри.
233;Он?;– Кто? – не понял Гарри.
234;– Кто?;Тут, к его облегчению, сквозь открытую дверь купе донеслось: – Фред?
235;Тут, к его облегчению, сквозь открытую дверь купе донеслось: – Фред?;Джордж?
236;Джордж?;Вы здесь?
237;Вы здесь?;– А где Перси? – спросила мать.
238;– А где Перси?;– Да ты у нас, оказывается,староста,Перси? – воскликнул один близнец, изображая величайшее изумление.
239;– Я сел впереди, там для старост выделили два отдельных купе… – Да ты у нас, оказывается,староста,Перси?;– А почему у Перси новая форма? – не унимался первый близнец: – Потому что он –староста, – с нежностью сказала их мама.
240;– А почему у Перси новая форма?;– Взорвали туалет?
241;Если я получу еще хотя бы одну сову о том, что вы… взорвали туалет или… – Взорвали туалет?;– Да, мам, знаешь что?
242;– Да, мам, знаешь что?;Догадайся, кого мы только что видели в поезде?
243;Догадайся, кого мы только что видели в поезде?;– Знаешь, кто этот мальчик, который вместе с нами проходил на платформу?
244;– Знаешь, кто этот мальчик, который вместе с нами проходил на платформу?;С черными волосами?
245;С черными волосами?;Угадай, кто это?
246;Угадай, кто это?;– Кто?
247;– Кто?;Гарри услышал голосок девочки: – Ой, мам, а можно мне зайти в поезд на него посмотреть?
248;Гарри услышал голосок девочки: – Ой, мам, а можно мне зайти в поезд на него посмотреть?;Но это точно он, Фред?
249;Но это точно он, Фред?;Как ты узнал?
250;Как ты узнал?;Как думаешь, он помнит Сама-Знаешь-Кого?
251;– Это-то ладно… Как думаешь, он помнит Сама-Знаешь-Кого?;Зачем напоминать ему об этом в первый же школьный день?
252;Зачем напоминать ему об этом в первый же школьный день?;– Тут кто-нибудь сидит? – спросил он, показывая на сиденье напротив Гарри.
253;– Тут кто-нибудь сидит?;– Ты правда Гарри Поттер? – выпалил Рон.
254;– Ты правда Гарри Поттер?;– Это куда Сам-Знаешь-Кто?. .
255;– Это куда Сам-Знаешь-Кто?.;– Совсем? – с интересом спросил Рон.
256;– Совсем?;– А у вас колдовская семья? – спросил Гарри.
257;– А у вас колдовская семья?;– Так ты, наверное, уже знаешь кучу колдовских штучек?
258;– Так ты, наверное, уже знаешь кучу колдовских штучек?;– Какие они?
259;– Какие они?;– Что? – не понял Гарри.
260;– Что?;Понимаешь теперь?
261;Понимаешь теперь?;Около половины первого за дверью что-то загромыхало, и улыбчивая женщина с ямочками на щеках заглянула в купе: – Хотите чего-нибудь вкусненького, ребятки?
262;Около половины первого за дверью что-то загромыхало, и улыбчивая женщина с ямочками на щеках заглянула в купе: – Хотите чего-нибудь вкусненького, ребятки?;Рон удивился: – Такой голодный?
263;Рон удивился: – Такой голодный?;– А это что? – спросил Гарри, взяв пачку шокогадушек.
264;– А это что?;– Это ведь не настоящие лягушки?
265;– Это ведь не настоящие лягушки?;– Чего?
266;– Чего?;– Можно мне шокогадушку?
267;– Можно мне шокогадушку?;Хочешь себе?
268;– Ничего, вернется… Не-а, опять Моргана, а у меня ее целых шесть… Хочешь себе?;– Правда?
269;– Правда?;Что, так и сидят не шелохнувшись? – изумился Рон.
270;Что, так и сидят не шелохнувшись?;– Вы случайно не видели жабу?
271;– Вы случайно не видели жабу?;– Жабу не видели?
272;– Жабу не видели?;– Магией занимаетесь?
273;– Магией занимаетесь?;– Ты уверен, что это настоящее заклинание? – спросила девочка.
274;– Ты уверен, что это настоящее заклинание?;Меня зовут Гермиона Грейнджер, между прочим, а вас как?
275;Меня зовут Гермиона Грейнджер, между прочим, а вас как?;– Да что ты? – чуть удивилась Гермиона.
276;– Да что ты?;– Правда? – удивился Гарри.
277;– Правда?;– Ой, а ты не знаешь?
278;– Ой, а ты не знаешь?;– А вы уже в курсе, в какой колледж пойдете?
279;– А вы уже в курсе, в какой колледж пойдете?;– А в каком колледже твои братья? – спросил Гарри.
280;– А в каком колледже твои братья?;– Это где учился Воль… то есть Сам-Знаешь-Кто?
281;– Это где учился Воль… то есть Сам-Знаешь-Кто?;– А кем стали после школы твои старшие братья?
282;– А кем стали после школы твои старшие братья?;– Слыхал про «Гринготтс»?
