Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
2748,"Вот и сейчас: пойти к ним, когда они проснутся, и пожаловаться на боль во лбу, на беспокойство из-за Вольдеморта?",24,"[{'PART': 'вот'}, {'PART': 'и'}, {'ADV': 'сейчас'}, {'PUNCT': ':'}, {'VERB': 'пойти'}, {'ADP': 'к'}, {'PRON': 'они'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'они'}, {'VERB': 'проснуться'}, {'PUNCT': ','}, {'CCONJ': 'и'}, {'VERB': 'пожаловаться'}, {'ADP': 'на'}, {'NOUN': 'боль'}, {'ADP': 'в'}, {'NOUN': 'лоб'}, {'PUNCT': ','}, {'ADP': 'на'}, {'NOUN': 'беспокойство'}, {'ADP': 'из-за'}, {'PROPN': 'вольдеморт'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
2915,"Вы, наверное, оба будете счастливы, когда чемпионат закончится?",12,"[{'PRON': 'вы'}, {'PUNCT': ','}, {'ADV': 'наверное'}, {'PUNCT': ','}, {'NUM': 'оба'}, {'AUX': 'быть'}, {'ADJ': 'счастливый'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'NOUN': 'чемпионат'}, {'VERB': 'закончиться'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
3064,И когда ответит?,4,"[{'CCONJ': 'и'}, {'SCONJ': 'когда'}, {'VERB': 'ответить'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
3289,"Извините, когда это я судила о людях по внешности?",11,"[{'VERB': 'извинить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'это'}, {'PRON': 'я'}, {'VERB': 'судить'}, {'ADP': 'о'}, {'NOUN': 'человек'}, {'ADP': 'по'}, {'NOUN': 'внешность'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
3452,"В прошлом бывали случаи, когда чемпионы умирали, знаешь?",11,"[{'ADP': 'в'}, {'NOUN': 'прошлое'}, {'VERB': 'бывать'}, {'NOUN': 'случай'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'NOUN': 'чемпион'}, {'VERB': 'умирать'}, {'PUNCT': ','}, {'VERB': 'знать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
3488,"Гермиона, когда ты бросишь всю эту затею со своим П. У. К. Н. И?",20,"[{'PROPN': 'гермиона'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'ты'}, {'VERB': 'бросить'}, {'DET': 'весь'}, {'DET': 'этот'}, {'NOUN': 'затея'}, {'ADP': 'с'}, {'DET': 'свой'}, {'PROPN': 'п'}, {'PUNCT': '.'}, {'PROPN': 'у'}, {'PUNCT': '.'}, {'PROPN': 'к'}, {'PUNCT': '.'}, {'PROPN': 'н'}, {'PUNCT': '.'}, {'PROPN': 'и'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
3574,"Мистер Диггори, когда услышите свисток, просто выходите на поле, хорошо?",14,"[{'NOUN': 'мистер'}, {'PROPN': 'диггори'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'услышать'}, {'NOUN': 'свисток'}, {'PUNCT': ','}, {'PART': 'просто'}, {'VERB': 'выходить'}, {'ADP': 'на'}, {'NOUN': 'поле'}, {'PUNCT': ','}, {'ADV': 'хорошо'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
3756,"Он небось пригласил тебя, когда вы были в библиотеке?",11,"[{'PRON': 'он'}, {'ADV': 'небось'}, {'VERB': 'пригласить'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'вы'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'NOUN': 'библиотека'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
3798,"Твое вопит, когда открываешь?",6,"[{'DET': 'твой'}, {'VERB': 'вопить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'открывать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
4221,"А Гадвуд мне еще обещал должность в министерстве… ну, когда я уйду из квидиша… не век же по мне Нападалами будут лупить, правда?",28,"[{'PROPN': 'а'}, {'PROPN': 'гадвуд'}, {'PRON': 'я'}, {'ADV': 'еще'}, {'VERB': 'обещать'}, {'NOUN': 'должность'}, {'ADP': 'в'}, {'NOUN': 'министерство'}, {'PUNCT': '…'}, {'PART': 'ну'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'я'}, {'VERB': 'уйти'}, {'ADP': 'из'}, {'NOUN': 'квидиш'}, {'PUNCT': '…'}, {'PART': 'не'}, {'NOUN': 'век'}, {'PART': 'же'}, {'ADP': 'по'}, {'PRON': 'я'}, {'PROPN': 'нападала'}, {'AUX': 'быть'}, {'VERB': 'лупить'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
4232,"За исключением того случая летом, когда ты проснулся от боли?",12,"[{'ADP': 'за'}, {'NOUN': 'исключение'}, {'DET': 'тот'}, {'NOUN': 'случай'}, {'NOUN': 'лето'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'ты'}, {'VERB': 'проснуться'}, {'ADP': 'от'}, {'NOUN': 'боль'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
4567,И когда же это?,5,"[{'CCONJ': 'и'}, {'ADV': 'когда'}, {'PART': 'же'}, {'PRON': 'это'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
4772,"Я жутко неуклюжая – слышал, я тарелку разбила, когда мы прибыли?",14,"[{'PRON': 'я'}, {'ADV': 'жутко'}, {'NOUN': 'неуклюжий'}, {'PUNCT': '–'}, {'VERB': 'слышать'}, {'PUNCT': ','}, {'PRON': 'я'}, {'NOUN': 'тарелка'}, {'VERB': 'разбить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'мы'}, {'VERB': 'прибыть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
4935,Когда он был у власти?,6,"[{'SCONJ': 'когда'}, {'PRON': 'он'}, {'AUX': 'быть'}, {'ADP': 'у'}, {'NOUN': 'власть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
4940,Когда ты уже начнешь называть его по имени?,9,"[{'SCONJ': 'когда'}, {'PRON': 'ты'}, {'ADV': 'уже'}, {'VERB': 'начать'}, {'VERB': 'называть'}, {'PRON': 'он'}, {'ADP': 'по'}, {'NOUN': 'имя'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
4959,"Он же ими занимался, когда должен был следить за мной?",12,"[{'PRON': 'он'}, {'PART': 'же'}, {'PRON': 'они'}, {'VERB': 'заниматься'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'ADJ': 'должный'}, {'AUX': 'быть'}, {'VERB': 'следить'}, {'ADP': 'за'}, {'PRON': 'я'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],1
4985,Когда он тебе сказал?,5,"[{'SCONJ': 'когда'}, {'PRON': 'он'}, {'PRON': 'ты'}, {'VERB': 'сказать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
5001,"Мистер Уизли, – спросил Гарри, когда они прошли мимо окна, из которого струился солнечный свет, – мы разве не под землей?",26,"[{'NOUN': 'мистер'}, {'PROPN': 'уизли'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'спросить'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'они'}, {'VERB': 'пройти'}, {'ADP': 'мимо'}, {'NOUN': 'окно'}, {'PUNCT': ','}, {'ADP': 'из'}, {'PRON': 'который'}, {'VERB': 'струиться'}, {'ADJ': 'солнечный'}, {'NOUN': 'свет'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PRON': 'мы'}, {'PART': 'разве'}, {'PART': 'не'}, {'ADP': 'под'}, {'NOUN': 'земля'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
5335,"Да провались он, – отозвался Гарри, прожигая взглядом тарелку, – когда это Злей поступал со мной справедливо?",21,"[{'PART': 'да'}, {'VERB': 'провалиться'}, {'PRON': 'он'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'отозваться'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'VERB': 'прожигать'}, {'NOUN': 'взгляд'}, {'NOUN': 'тарелка'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'когда'}, {'PRON': 'это'}, {'PROPN': 'злеть'}, {'VERB': 'поступать'}, {'ADP': 'с'}, {'PRON': 'я'}, {'ADV': 'справедливо'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
5523,"Но в следующий раз, когда будешь передавать мяч товарищу по команде, не пытайся сбить его с метлы, хорошо?",22,"[{'CCONJ': 'но'}, {'ADP': 'в'}, {'ADJ': 'следующий'}, {'NOUN': 'раз'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'AUX': 'быть'}, {'VERB': 'передавать'}, {'NOUN': 'мяч'}, {'NOUN': 'товарищ'}, {'ADP': 'по'}, {'NOUN': 'команда'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'пытаться'}, {'VERB': 'сбить'}, {'PRON': 'он'}, {'ADP': 'с'}, {'NOUN': 'метла'}, {'PUNCT': ','}, {'ADV': 'хорошо'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],1
5560,"Слушайте, а когда вы теперь в Хогсмед?",9,"[{'VERB': 'слушать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'SCONJ': 'когда'}, {'PRON': 'вы'}, {'ADV': 'теперь'}, {'ADP': 'в'}, {'PROPN': 'хогсмед'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
5563,"Я напишу, сообщу, когда снова смогу здесь быть,хорошо?",13,"[{'PRON': 'я'}, {'VERB': 'написать'}, {'PUNCT': ','}, {'VERB': 'сообщить'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'ADV': 'снова'}, {'VERB': 'смочь'}, {'ADV': 'здесь'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'ADJ': 'хороший'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
5587,"Так, еще раз: когда тебе это приснилось?",10,"[{'ADV': 'так'}, {'PUNCT': ','}, {'ADV': 'еще'}, {'NOUN': 'раз'}, {'PUNCT': ':'}, {'ADV': 'когда'}, {'PRON': 'ты'}, {'PRON': 'это'}, {'VERB': 'присниться'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
5705,Когда она?,3,"[{'SCONJ': 'когда'}, {'PRON': 'она'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
5824,Когда у тебя заболел шрам?,6,"[{'SCONJ': 'когда'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'VERB': 'заболеть'}, {'ADJ': 'шрам'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
6181,"Ты вроде ее видел в ту ночь, когда он возродился?",12,"[{'PRON': 'ты'}, {'ADP': 'вроде'}, {'PRON': 'она'}, {'VERB': 'видеть'}, {'ADP': 'в'}, {'DET': 'тот'}, {'NOUN': 'ночь'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'он'}, {'VERB': 'возродиться'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
6234,"Вдруг, когда ты сказал: «вон», он подумал: «вон из дома»?",19,"[{'ADV': 'вдруг'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'ты'}, {'VERB': 'сказать'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'ADV': 'вон'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'PRON': 'он'}, {'VERB': 'подумать'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'ADV': 'вон'}, {'ADP': 'из'}, {'NOUN': 'дом'}, {'PUNCT': '»'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
6328,"Он хотел сказать: «Ты, наверное, хочешь узнать, когда собрание Д. А. ?",19,"[{'PRON': 'он'}, {'VERB': 'хотеть'}, {'VERB': 'сказать'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'ADV': 'наверное'}, {'PUNCT': ','}, {'VERB': 'хотеть'}, {'VERB': 'узнать'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'NOUN': 'собрание'}, {'PROPN': 'д'}, {'PUNCT': '.'}, {'PROPN': 'а'}, {'PUNCT': '.'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],2
6507,Когда это было?,4,"[{'SCONJ': 'когда'}, {'PRON': 'это'}, {'AUX': 'быть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
6906,"Скажите, профессор, – Гермиона подняла руку, – а когда мы узнаем результаты?",16,"[{'VERB': 'сказать'}, {'PUNCT': ','}, {'NOUN': 'профессор'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PROPN': 'гермиона'}, {'VERB': 'поднять'}, {'NOUN': 'рука'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'а'}, {'SCONJ': 'когда'}, {'PRON': 'мы'}, {'VERB': 'узнать'}, {'NOUN': 'результат'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
6977,"Когда вы говорите «Сириус», то имеете в виду Сценни Тьянтера?",14,"[{'SCONJ': 'когда'}, {'PRON': 'вы'}, {'VERB': 'говорить'}, {'PUNCT': '«'}, {'PROPN': 'сириус'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'SCONJ': 'то'}, {'VERB': 'иметь'}, {'ADP': 'в'}, {'NOUN': 'вид'}, {'PROPN': 'сценни'}, {'PROPN': 'тьянтера'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
6981,А когда?,3,"[{'CCONJ': 'а'}, {'ADV': 'когда'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
7334,Министр ждал звонка от президента далекой страны – когда же этот злополучный господин соизволит протелефонировать?,16,"[{'NOUN': 'министр'}, {'VERB': 'ждать'}, {'NOUN': 'звонок'}, {'ADP': 'от'}, {'NOUN': 'президент'}, {'ADJ': 'далекий'}, {'NOUN': 'страна'}, {'PUNCT': '–'}, {'ADV': 'когда'}, {'PART': 'же'}, {'DET': 'этот'}, {'DET': 'злополучный'}, {'NOUN': 'господин'}, {'VERB': 'соизволить'}, {'NOUN': 'протелефонировать'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],2
7522,"Ему было очень больно, когда дядя Вернон сказал: «Его крестный умер?",15,"[{'PRON': 'он'}, {'AUX': 'быть'}, {'ADV': 'очень'}, {'ADJ': 'больной'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'NOUN': 'дядя'}, {'PROPN': 'вернон'}, {'VERB': 'сказать'}, {'PUNCT': ':'}, {'PUNCT': '«'}, {'PRON': 'он'}, {'NOUN': 'крестный'}, {'VERB': 'умереть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
7553,Ты когда объявился?,4,"[{'PRON': 'ты'}, {'ADV': 'когда'}, {'VERB': 'объявиться'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
7573,"Я пго сльедующее льето, когда ми… ти ничьего не знаешь?",13,"[{'PRON': 'я'}, {'VERB': 'пго'}, {'ADJ': 'сльедующий'}, {'NOUN': 'льето'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'NOUN': 'ми'}, {'PUNCT': '…'}, {'NOUN': 'ти'}, {'NOUN': 'ничей'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
7594,И когда же придут результаты экзаменов?,7,"[{'CCONJ': 'и'}, {'ADV': 'когда'}, {'PART': 'же'}, {'VERB': 'прийти'}, {'NOUN': 'результат'}, {'NOUN': 'экзамен'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
7702,Когда же начнут развозить еду?,6,"[{'ADV': 'когда'}, {'PART': 'же'}, {'VERB': 'начать'}, {'VERB': 'развозить'}, {'NOUN': 'еда'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
7816,Когда отборочные испытания?,4,"[{'SCONJ': 'когда'}, {'ADJ': 'отборочный'}, {'NOUN': 'испытание'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
7969,"Когда мы приехали, нас всех обыскали, забыл?",10,"[{'SCONJ': 'когда'}, {'PRON': 'мы'}, {'VERB': 'приехать'}, {'PUNCT': ','}, {'PRON': 'мы'}, {'PRON': 'весь'}, {'VERB': 'обыскать'}, {'PUNCT': ','}, {'VERB': 'забыть'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
8190,"Казалось бы, теперь, когда я вернулась, профессор Думбльдор мог бы избавиться от глупой лошади, правда?",20,"[{'VERB': 'казаться'}, {'AUX': 'бы'}, {'PUNCT': ','}, {'ADV': 'теперь'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'я'}, {'VERB': 'вернуться'}, {'PUNCT': ','}, {'NOUN': 'профессор'}, {'PROPN': 'думбльдор'}, {'VERB': 'мочь'}, {'AUX': 'бы'}, {'VERB': 'избавиться'}, {'ADP': 'от'}, {'ADJ': 'глупый'}, {'NOUN': 'лошадь'}, {'PUNCT': ','}, {'ADV': 'правда'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
8314,"Когда, на истории магии?",6,"[{'ADV': 'когда'}, {'PUNCT': ','}, {'ADP': 'на'}, {'NOUN': 'история'}, {'NOUN': 'магия'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
8319,А когда нужно сдавать?,5,"[{'CCONJ': 'а'}, {'ADV': 'когда'}, {'ADJ': 'нужный'}, {'VERB': 'сдавать'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],0
8461,Когда тренировка?,3,"[{'SCONJ': 'когда'}, {'NOUN': 'тренировка'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
8612,"Ее поставили охранять замок, а она вдруг бросает пост, чтобы повидать Думбльдора, тем более когда его нет в школе?",23,"[{'PRON': 'она'}, {'VERB': 'поставить'}, {'VERB': 'охранять'}, {'NOUN': 'замок'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'она'}, {'ADV': 'вдруг'}, {'VERB': 'бросать'}, {'NOUN': 'пост'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'VERB': 'повидать'}, {'PROPN': 'думбльдор'}, {'PUNCT': ','}, {'PRON': 'тот'}, {'ADV': 'более'}, {'SCONJ': 'когда'}, {'DET': 'его'}, {'VERB': 'нет'}, {'ADP': 'в'}, {'NOUN': 'школа'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],2
8705,"И поэтому не умер, когда пытался убить меня?",10,"[{'CCONJ': 'и'}, {'ADV': 'поэтому'}, {'PART': 'не'}, {'VERB': 'умереть'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'пытаться'}, {'VERB': 'убить'}, {'PRON': 'я'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
8736,"Сэр, а Вольдеморт знает, когда уничтожают окаянты?",10,"[{'PROPN': 'сэр'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PROPN': 'вольдеморт'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'уничтожать'}, {'NOUN': 'окаянт'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
8838,Когда ты узнал?,4,"[{'SCONJ': 'когда'}, {'PRON': 'ты'}, {'VERB': 'узнать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
8955,"Значит, бедной Росмерте пришлось топтаться в собственном туалете, поджидая, когда можно будет передать ожерелье какой-нибудь ученице «Хогварца», которая зайдет одна?",27,"[{'VERB': 'значить'}, {'PUNCT': ','}, {'ADJ': 'бедный'}, {'PROPN': 'росмерта'}, {'VERB': 'прийтись'}, {'VERB': 'топтаться'}, {'ADP': 'в'}, {'ADJ': 'собственный'}, {'NOUN': 'туалет'}, {'PUNCT': ','}, {'NOUN': 'поджидая'}, {'PUNCT': ','}, {'ADV': 'когда'}, {'ADV': 'можно'}, {'AUX': 'быть'}, {'VERB': 'передать'}, {'NOUN': 'ожерелье'}, {'DET': 'какой-нибудь'}, {'NOUN': 'ученица'}, {'PUNCT': '«'}, {'PROPN': 'хогварц'}, {'PUNCT': '»'}, {'PUNCT': ','}, {'PRON': 'который'}, {'VERB': 'зайти'}, {'DET': 'один'}, {'PUNCT': '?'}]",когда,[{'ADV': 'когда'}],1
9195,"Неужто нас нельзя различить, даже когда мы оба Гарри?",11,"[{'ADV': 'неужто'}, {'PRON': 'мы'}, {'ADV': 'нельзя'}, {'VERB': 'различить'}, {'PUNCT': ','}, {'PART': 'даже'}, {'SCONJ': 'когда'}, {'PRON': 'мы'}, {'NUM': 'оба'}, {'PROPN': 'гарри'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
9348,И когда ты это сделала?,6,"[{'CCONJ': 'и'}, {'SCONJ': 'когда'}, {'PRON': 'ты'}, {'PRON': 'это'}, {'VERB': 'сделать'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],0
9351,"Интересно, когда Думбльдор изъял ее из библиотеки?",9,"[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PROPN': 'думбльдор'}, {'VERB': 'изъять'}, {'PRON': 'она'}, {'ADP': 'из'}, {'NOUN': 'библиотека'}, {'PUNCT': '?'}]",когда,[{'SCONJ': 'когда'}],1
