;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
1643;Этот ее Поттер, – громким басом выкрикнула тетя Марджи, схватила бутылку и плеснула бренди себе в бокал и на скатерть, – чем он, собственно, занимался?;31;[{'DET': 'этот'}, {'DET': 'ее'}, {'PROPN': 'поттер'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADJ': 'громкий'}, {'NOUN': 'бас'}, {'ADJ': 'выкрикнуть'}, {'NOUN': 'тетя'}, {'PROPN': 'марджи'}, {'PUNCT': ','}, {'VERB': 'схватить'}, {'NOUN': 'бутылка'}, {'CCONJ': 'и'}, {'ADJ': 'плеснуть'}, {'NOUN': 'бренди'}, {'PRON': 'себя'}, {'ADP': 'в'}, {'NOUN': 'бокал'}, {'CCONJ': 'и'}, {'ADP': 'на'}, {'NOUN': 'скатерть'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'чем'}, {'PRON': 'он'}, {'PUNCT': ','}, {'ADV': 'собственно'}, {'PUNCT': ','}, {'VERB': 'заниматься'}, {'PUNCT': '?'}];0;0
1665;Муглам было объявлено, что Блэк вооружен пистолетом – подобием металлической волшебной палочки, которым муглы убивают друг друга, – а колдовское сообщество между тем пребывает в страхе: не повторится ли бойня на манер той, что Блэк устроил двенадцать лет назад, одним заклятием уничтожив целых тринадцать человек?;52;[{'PROPN': 'муглама'}, {'AUX': 'быть'}, {'VERB': 'объявить'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PROPN': 'блэк'}, {'VERB': 'вооружить'}, {'NOUN': 'пистолет'}, {'PUNCT': '–'}, {'NOUN': 'подобие'}, {'ADJ': 'металлический'}, {'ADJ': 'волшебный'}, {'NOUN': 'палочка'}, {'PUNCT': ','}, {'PRON': 'который'}, {'NOUN': 'мугол'}, {'VERB': 'убивать'}, {'PRON': 'друг'}, {'PRON': 'друг'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'а'}, {'ADJ': 'колдовской'}, {'NOUN': 'сообщество'}, {'ADP': 'между'}, {'PRON': 'тот'}, {'VERB': 'пребывать'}, {'ADP': 'в'}, {'NOUN': 'страх'}, {'PUNCT': ':'}, {'PART': 'не'}, {'VERB': 'повториться'}, {'PART': 'ли'}, {'NOUN': 'бойня'}, {'ADP': 'на'}, {'NOUN': 'манер'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PROPN': 'блэк'}, {'VERB': 'устроить'}, {'NUM': 'двенадцать'}, {'NOUN': 'год'}, {'ADV': 'назад'}, {'PUNCT': ','}, {'NUM': 'один'}, {'NOUN': 'заклятие'}, {'NOUN': 'уничтожив'}, {'ADJ': 'целый'}, {'NUM': 'тринадцать'}, {'NOUN': 'человек'}, {'PUNCT': '?'}];"что; что";[{'SCONJ': 'что'}, {'PRON': 'что'}]
2119;Вытащил бедняжечку с-под развалин, на лбешничке вот этакий шрамина… а тут является эта гадина, Сириус Блэк, на своем летающем мотоцикле, ну, на каком он всегдалетал, помните?;34;[{'VERB': 'вытащить'}, {'VERB': 'бедняжечка'}, {'NOUN': 'с-под'}, {'NOUN': 'развалина'}, {'PUNCT': ','}, {'ADP': 'на'}, {'NOUN': 'лбешничка'}, {'PART': 'вот'}, {'ADJ': 'этакий'}, {'NOUN': 'шрамин'}, {'PUNCT': '…'}, {'CCONJ': 'а'}, {'ADV': 'тут'}, {'VERB': 'являться'}, {'DET': 'этот'}, {'NOUN': 'гадина'}, {'PUNCT': ','}, {'PROPN': 'сириус'}, {'PROPN': 'блэк'}, {'PUNCT': ','}, {'ADP': 'на'}, {'DET': 'свой'}, {'ADJ': 'летать'}, {'NOUN': 'мотоцикл'}, {'PUNCT': ','}, {'PART': 'ну'}, {'PUNCT': ','}, {'ADP': 'на'}, {'DET': 'какой'}, {'PRON': 'он'}, {'VERB': 'всегдалетать'}, {'PUNCT': ','}, {'VERB': 'помнить'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
2125;Блэк и понял, надо бежать, у него, может, пара часов, пока министерство не снарядило погоню…А чего б было, если б я ему отдал Гарри, а?;35;[{'PROPN': 'блэк'}, {'CCONJ': 'и'}, {'VERB': 'понять'}, {'PUNCT': ','}, {'ADV': 'надо'}, {'VERB': 'бежать'}, {'PUNCT': ','}, {'ADP': 'у'}, {'PRON': 'он'}, {'PUNCT': ','}, {'VERB': 'мочь'}, {'PUNCT': ','}, {'NOUN': 'пара'}, {'NOUN': 'час'}, {'PUNCT': ','}, {'SCONJ': 'пока'}, {'NOUN': 'министерство'}, {'PART': 'не'}, {'VERB': 'снарядить'}, {'NOUN': 'погоня'}, {'PUNCT': '…'}, {'CCONJ': 'а'}, {'PRON': 'что'}, {'PART': 'б'}, {'AUX': 'быть'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'AUX': 'б'}, {'PRON': 'я'}, {'PRON': 'он'}, {'VERB': 'отдать'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
2463;Если только, – глаза у Люпина вдруг расширились, будто он увидел что-то незримое сквозь Блэка, – если только это неон… если вы не передумали… а мне не сказали?;34;[{'SCONJ': 'если'}, {'PART': 'только'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'NOUN': 'глаз'}, {'ADP': 'у'}, {'PROPN': 'люпин'}, {'ADV': 'вдруг'}, {'VERB': 'расшириться'}, {'PUNCT': ','}, {'SCONJ': 'будто'}, {'PRON': 'он'}, {'VERB': 'увидеть'}, {'PRON': 'что-то'}, {'VERB': 'незримый'}, {'ADP': 'сквозь'}, {'PROPN': 'блэк'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'если'}, {'PART': 'только'}, {'PRON': 'это'}, {'NOUN': 'неон'}, {'PUNCT': '…'}, {'SCONJ': 'если'}, {'PRON': 'вы'}, {'PART': 'не'}, {'VERB': 'передумать'}, {'PUNCT': '…'}, {'CCONJ': 'а'}, {'PRON': 'я'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': '?'}];0;0
2713;Доктора, впрочем, не преминули указать (как бы пытаясь отыскать хоть что-нибудь несообразное), что на лицах у покойных застыло выражение смертельного ужаса – но слыхано ли, разочарованно заметили полицейские, чтобы людей, троих разом, взяли изапугалидо смерти?;45;[{'NOUN': 'доктор'}, {'PUNCT': ','}, {'ADV': 'впрочем'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'преминуть'}, {'VERB': 'указать'}, {'PUNCT': '('}, {'ADV': 'как'}, {'PART': 'бы'}, {'VERB': 'пытаться'}, {'VERB': 'отыскать'}, {'ADV': 'хоть'}, {'PRON': 'что-нибудь'}, {'ADJ': 'несообразный'}, {'PUNCT': ')'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'на'}, {'NOUN': 'лицо'}, {'ADP': 'у'}, {'NOUN': 'покойный'}, {'VERB': 'застынуть'}, {'NOUN': 'выражение'}, {'ADJ': 'смертельный'}, {'NOUN': 'ужас'}, {'PUNCT': '–'}, {'CCONJ': 'но'}, {'VERB': 'слыхать'}, {'PART': 'ли'}, {'PUNCT': ','}, {'ADV': 'разочарованно'}, {'VERB': 'заметить'}, {'NOUN': 'полицейский'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'NOUN': 'человек'}, {'PUNCT': ','}, {'NUM': 'трое'}, {'ADV': 'разом'}, {'PUNCT': ','}, {'VERB': 'взять'}, {'NOUN': 'изапугалидо'}, {'NOUN': 'смерть'}, {'PUNCT': '?'}];"как; что";[{'ADV': 'как'}, {'SCONJ': 'что'}]
2729;Проблеск гения, которого я, признаться, не ожидал от тебя, Червехвост, – хотя, если уж начистоту, ты ведь не сознавал, сколь полезна она окажется, правда?;34;[{'NOUN': 'проблеск'}, {'ADJ': 'гений'}, {'PUNCT': ','}, {'PRON': 'который'}, {'PRON': 'я'}, {'PUNCT': ','}, {'VERB': 'признаться'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'ожидать'}, {'ADP': 'от'}, {'PRON': 'ты'}, {'PUNCT': ','}, {'PROPN': 'червехвост'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'хотя'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PART': 'уж'}, {'ADV': 'начистоту'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'PART': 'ведь'}, {'PART': 'не'}, {'VERB': 'сознавать'}, {'PUNCT': ','}, {'ADV': 'сколь'}, {'ADJ': 'полезный'}, {'PRON': 'она'}, {'VERB': 'оказаться'}, {'PUNCT': ','}, {'NOUN': 'правда'}, {'PUNCT': '?'}];0;0
2956;Об этом матче будут вспоминать годами, – хрипло выговорил он, – такой неожиданный поворот… жалко, что быстро закончилось… ах да… да, я вам должен… сколько?;34;[{'ADP': 'о'}, {'DET': 'этот'}, {'NOUN': 'матч'}, {'AUX': 'быть'}, {'VERB': 'вспоминать'}, {'NOUN': 'год'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADJ': 'хриплый'}, {'VERB': 'выговорить'}, {'PRON': 'он'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'DET': 'такой'}, {'ADJ': 'неожиданный'}, {'NOUN': 'поворот'}, {'PUNCT': '…'}, {'ADV': 'жалко'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADV': 'быстро'}, {'VERB': 'закончиться'}, {'PUNCT': '…'}, {'PART': 'ах'}, {'PART': 'да'}, {'PUNCT': '…'}, {'PART': 'да'}, {'PUNCT': ','}, {'PRON': 'я'}, {'PRON': 'вы'}, {'ADJ': 'должный'}, {'PUNCT': '…'}, {'NUM': 'сколько'}, {'PUNCT': '?'}];"что; сколько";[{'SCONJ': 'что'}, {'NUM': 'сколько'}]
3061;Так что же… – задумчиво произнесла Гермиона, – те, кто создал Смертный Знак… они это в поддержку Упивающихся Смертью или, наоборот, чтобы их напугать?;31;[{'ADV': 'так'}, {'SCONJ': 'что'}, {'PART': 'же'}, {'PUNCT': '…'}, {'PUNCT': '–'}, {'ADV': 'задумчиво'}, {'VERB': 'произнести'}, {'PROPN': 'гермиона'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'VERB': 'создать'}, {'ADJ': 'смертный'}, {'PROPN': 'знак'}, {'PUNCT': '…'}, {'PRON': 'они'}, {'PRON': 'это'}, {'ADP': 'в'}, {'NOUN': 'поддержка'}, {'PROPN': 'упиваться'}, {'PROPN': 'смерть'}, {'CCONJ': 'или'}, {'PUNCT': ','}, {'ADV': 'наоборот'}, {'PUNCT': ','}, {'SCONJ': 'чтобы'}, {'PRON': 'они'}, {'VERB': 'напугать'}, {'PUNCT': '?'}];"что; кто";[{'SCONJ': 'что'}, {'PRON': 'кто'}]
3065;Что, если бы Сами-Знаете-Кто вас убил, а я вам напоследок только и сказала, что вы получили С. О. В. У. меньше, чем надо?;32;[{'PRON': 'что'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'AUX': 'бы'}, {'PART': 'сами-знаете-кто'}, {'PRON': 'вы'}, {'VERB': 'убить'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'я'}, {'PRON': 'вы'}, {'VERB': 'напоследок'}, {'PART': 'только'}, {'CCONJ': 'и'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'вы'}, {'VERB': 'получить'}, {'PROPN': 'с'}, {'PUNCT': '.'}, {'PROPN': 'о'}, {'PUNCT': '.'}, {'PROPN': 'в'}, {'PUNCT': '.'}, {'ADP': 'у'}, {'PUNCT': '.'}, {'NUM': 'меньше'}, {'PUNCT': ','}, {'SCONJ': 'чем'}, {'ADV': 'надо'}, {'PUNCT': '?'}];"что; что";[{'PRON': 'что'}, {'SCONJ': 'что'}]
3099;Но подумай, если отдел неправомочного использования колдовства заберет Шизоглаза, он, считай, пропал – ты вспомни его досье! – надо его как-то отмазать, по какому-нибудь мелкому обвинению, по твоему ведомству – что там полагается за стреляющую помойку?;44;[{'CCONJ': 'но'}, {'VERB': 'подумать'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'NOUN': 'отдел'}, {'ADJ': 'неправомочный'}, {'NOUN': 'использование'}, {'NOUN': 'колдовство'}, {'VERB': 'забрать'}, {'PROPN': 'шизоглаз'}, {'PUNCT': ','}, {'PRON': 'он'}, {'PUNCT': ','}, {'ADV': 'считай'}, {'PUNCT': ','}, {'VERB': 'пропасть'}, {'PUNCT': '–'}, {'PRON': 'ты'}, {'VERB': 'вспомнить'}, {'DET': 'его'}, {'NOUN': 'досье'}, {'PUNCT': '!'}, {'PUNCT': '–'}, {'ADV': 'надо'}, {'PRON': 'он'}, {'ADV': 'как-то'}, {'VERB': 'отмазать'}, {'PUNCT': ','}, {'ADP': 'по'}, {'DET': 'какой-нибудь'}, {'ADJ': 'мелкий'}, {'NOUN': 'обвинение'}, {'PUNCT': ','}, {'ADP': 'по'}, {'DET': 'твой'}, {'NOUN': 'ведомство'}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'ADV': 'там'}, {'VERB': 'полагаться'}, {'ADP': 'за'}, {'ADJ': 'стрелять'}, {'NOUN': 'помойка'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
3113;Артур пытался взять машины в министерстве, – шепнула она Гарри, когда они стояли под дождем на дворе и смотрели, как таксисты грузят в багажники шесть тяжелых сундуков, – но свободных не было… ох батюшки, что-то они не очень довольны, да?;48;[{'PROPN': 'артур'}, {'VERB': 'пытаться'}, {'VERB': 'взять'}, {'NOUN': 'машина'}, {'ADP': 'в'}, {'NOUN': 'министерство'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'шепнуть'}, {'PRON': 'она'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'PRON': 'они'}, {'VERB': 'стоять'}, {'ADP': 'под'}, {'NOUN': 'дождь'}, {'ADP': 'на'}, {'NOUN': 'двор'}, {'CCONJ': 'и'}, {'VERB': 'смотреть'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'NOUN': 'таксист'}, {'VERB': 'грузить'}, {'ADP': 'в'}, {'NOUN': 'багажник'}, {'NUM': 'шесть'}, {'ADJ': 'тяжелый'}, {'NOUN': 'сундук'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'но'}, {'ADJ': 'свободный'}, {'PART': 'не'}, {'VERB': 'быть'}, {'PUNCT': '…'}, {'PART': 'ох'}, {'NOUN': 'батюшка'}, {'PUNCT': ','}, {'PRON': 'что-то'}, {'PRON': 'они'}, {'PART': 'не'}, {'ADV': 'очень'}, {'ADJ': 'довольный'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];"когда; как";[{'SCONJ': 'когда'}, {'SCONJ': 'как'}]
