;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
13;И как это я не догадался?;7;[{'CCONJ': 'и'}, {'ADV': 'как'}, {'PRON': 'это'}, {'PRON': 'я'}, {'PART': 'не'}, {'VERB': 'догадаться'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
14;Как вы догадались, что это я?;8;[{'ADV': 'как'}, {'PRON': 'вы'}, {'VERB': 'догадаться'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'PRON': 'я'}, {'PUNCT': '?'}];"как; что";[{'ADV': 'как'}, {'SCONJ': 'что'}]
15;За целый день?;4;[{'ADP': 'за'}, {'ADJ': 'целый'}, {'NOUN': 'день'}, {'PUNCT': '?'}];0;0
16;Вместо того чтобы праздновать?;5;[{'ADP': 'вместо'}, {'PRON': 'тот'}, {'SCONJ': 'чтобы'}, {'VERB': 'праздновать'}, {'PUNCT': '?'}];0;0
17;Он ведь и правдасгинул,да?;7;[{'PRON': 'он'}, {'PART': 'ведь'}, {'PART': 'и'}, {'ADJ': 'правдасгинуть'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
18;Хотите лимончик?;3;[{'VERB': 'хотеть'}, {'VERB': 'лимончик'}, {'PUNCT': '?'}];0;0
20;Нет, спасибо, – произнесла профессор Макгонаголл неодобрительно: до карамелек ли?;14;[{'PART': 'нет'}, {'PUNCT': ','}, {'NOUN': 'спасибо'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'произнести'}, {'NOUN': 'профессор'}, {'PROPN': 'макгонаголл'}, {'ADV': 'неодобрительно'}, {'PUNCT': ':'}, {'ADP': 'до'}, {'NOUN': 'карамелька'}, {'PART': 'ли'}, {'PUNCT': '?'}];0;0
21;Слышали, о чем все говорят?;7;[{'VERB': 'слышать'}, {'PUNCT': ','}, {'ADP': 'о'}, {'PRON': 'что'}, {'PRON': 'весь'}, {'VERB': 'говорить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
22;Почему он сгинул?;4;[{'ADV': 'почему'}, {'PRON': 'он'}, {'VERB': 'сгинуть'}, {'PUNCT': '?'}];почему;[{'ADV': 'почему'}]
23;И чтó его в конце концов остановило?;8;[{'CCONJ': 'и'}, {'VERB': 'чтó'}, {'PRON': 'он'}, {'ADP': 'в'}, {'NOUN': 'конец'}, {'NOUN': 'конец'}, {'VERB': 'остановить'}, {'PUNCT': '?'}];0;0
24;Это… правда?;4;[{'PRON': 'это'}, {'PUNCT': '…'}, {'NOUN': 'правда'}, {'PUNCT': '?'}];0;0
25;После всего, что он сделал… стольких погубил… не сумел убить ребенка?;15;[{'ADP': 'после'}, {'PRON': 'весь'}, {'PUNCT': ','}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'сделать'}, {'PUNCT': '…'}, {'VERB': 'столько'}, {'VERB': 'погубить'}, {'PUNCT': '…'}, {'PART': 'не'}, {'VERB': 'суметь'}, {'VERB': 'убить'}, {'NOUN': 'ребенок'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
26;Чтобы именно это его остановило?;6;[{'SCONJ': 'чтобы'}, {'PART': 'именно'}, {'PRON': 'это'}, {'PRON': 'он'}, {'VERB': 'остановить'}, {'PUNCT': '?'}];0;0
27;Но как, во имя неба, Гарри выжил?;10;[{'CCONJ': 'но'}, {'SCONJ': 'как'}, {'PUNCT': ','}, {'ADP': 'в'}, {'NOUN': 'имя'}, {'NOUN': 'небо'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'VERB': 'выжить'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
28;Это ведь он вам сказал, что я буду здесь?;11;[{'PRON': 'это'}, {'PART': 'ведь'}, {'PRON': 'он'}, {'PRON': 'вы'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'я'}, {'AUX': 'быть'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
29;Да, – ответила профессор Макгонаголл, – и, я думаю, вы вряд ли объясните, почему именно здесь?;22;[{'PART': 'да'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'ответить'}, {'NOUN': 'профессор'}, {'PROPN': 'макгонаголл'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'CCONJ': 'и'}, {'PUNCT': ','}, {'PRON': 'я'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'ADV': 'вряд'}, {'PART': 'ли'}, {'VERB': 'объяснить'}, {'PUNCT': ','}, {'ADV': 'почему'}, {'PART': 'именно'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];почему;[{'ADV': 'почему'}]
31;Людям из этого дома?;5;[{'NOUN': 'человек'}, {'ADP': 'из'}, {'DET': 'этот'}, {'NOUN': 'дом'}, {'PUNCT': '?'}];0;0
32;И чтобы Гарри Поттер жил с ними?;8;[{'CCONJ': 'и'}, {'SCONJ': 'чтобы'}, {'PROPN': 'гарри'}, {'PROPN': 'поттер'}, {'VERB': 'жить'}, {'ADP': 'с'}, {'PRON': 'они'}, {'PUNCT': '?'}];0;0
34;Думбльдор, вы и правда полагаете, что все это можно растолковать в письме?;15;[{'PROPN': 'думбльдор'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'CCONJ': 'и'}, {'ADV': 'правда'}, {'VERB': 'полагать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'DET': 'весь'}, {'PRON': 'это'}, {'ADV': 'можно'}, {'VERB': 'растолковать'}, {'ADP': 'в'}, {'NOUN': 'письмо'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
35;Разве вы не понимаете, насколько лучше, если он вырастет вдали от шумихи и узнает правду, лишь когда сможет сам во всем разобраться?;26;[{'PART': 'разве'}, {'PRON': 'вы'}, {'PART': 'не'}, {'VERB': 'понимать'}, {'PUNCT': ','}, {'ADV': 'насколько'}, {'ADJ': 'лучше'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'он'}, {'VERB': 'вырасти'}, {'ADV': 'вдали'}, {'ADP': 'от'}, {'NOUN': 'шумиха'}, {'CCONJ': 'и'}, {'VERB': 'узнавать'}, {'NOUN': 'правда'}, {'PUNCT': ','}, {'PART': 'лишь'}, {'ADV': 'когда'}, {'VERB': 'смочь'}, {'ADJ': 'сам'}, {'ADP': 'в'}, {'PRON': 'весь'}, {'VERB': 'разобраться'}, {'PUNCT': '?'}];"насколько; когда";[{'ADV': 'насколько'}, {'ADV': 'когда'}]
36;Но как мальчик попадет сюда?;6;[{'CCONJ': 'но'}, {'ADV': 'как'}, {'NOUN': 'мальчик'}, {'VERB': 'попасть'}, {'ADV': 'сюда'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
37;Она подозрительно оглядела плащ Думбльдора: не скрывается ли в складках ребенок?;13;[{'PRON': 'она'}, {'ADV': 'подозрительно'}, {'VERB': 'оглядеть'}, {'NOUN': 'плащ'}, {'PROPN': 'думбльдор'}, {'PUNCT': ':'}, {'PART': 'не'}, {'VERB': 'скрываться'}, {'PART': 'ли'}, {'ADP': 'в'}, {'NOUN': 'складка'}, {'NOUN': 'ребенок'}, {'PUNCT': '?'}];0;0
38;Полагаете, это…разумно– доверять столь важное дело Огриду?;11;[{'VERB': 'полагать'}, {'PUNCT': ','}, {'PRON': 'это'}, {'PUNCT': '…'}, {'NOUN': 'разумно–'}, {'VERB': 'доверять'}, {'ADV': 'столь'}, {'ADJ': 'важный'}, {'NOUN': 'дело'}, {'PROPN': 'огрид'}, {'PUNCT': '?'}];0;0
39;Это ещечто такое?;4;[{'PRON': 'это'}, {'VERB': 'ещечть'}, {'DET': 'такой'}, {'PUNCT': '?'}];0;0
40;Где ты взял мотоцикл?;5;[{'ADV': 'где'}, {'PRON': 'ты'}, {'VERB': 'взять'}, {'NOUN': 'мотоцикл'}, {'PUNCT': '?'}];где;[{'ADV': 'где'}]
41;По дороге никаких неприятностей?;5;[{'ADP': 'по'}, {'NOUN': 'дорога'}, {'DET': 'никакой'}, {'NOUN': 'неприятность'}, {'PUNCT': '?'}];0;0
42;А нельзя что-нибудь с этим сделать, Думбльдор?;9;[{'PROPN': 'а'}, {'ADV': 'нельзя'}, {'PRON': 'что-нибудь'}, {'ADP': 'с'}, {'PRON': 'это'}, {'VERB': 'сделать'}, {'PUNCT': ','}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];0;0
43;А можно… можно с ним попрощаться, сэр?;10;[{'PROPN': 'а'}, {'ADV': 'можно'}, {'PUNCT': '…'}, {'ADV': 'можно'}, {'ADP': 'с'}, {'PRON': 'он'}, {'VERB': 'попрощаться'}, {'PUNCT': ','}, {'NOUN': 'сэр'}, {'PUNCT': '?'}];0;0
44;Идемте праздновать?;3;[{'PROPN': 'идемте'}, {'VERB': 'праздновать'}, {'PUNCT': '?'}];0;0
45;Ну что, встал?;5;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'встать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
47;У Дудли день рождения – как это он забыл?;10;[{'ADP': 'у'}, {'PROPN': 'дудли'}, {'NOUN': 'день'}, {'NOUN': 'рождение'}, {'PUNCT': '–'}, {'SCONJ': 'как'}, {'PRON': 'это'}, {'PRON': 'он'}, {'VERB': 'забыть'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
48;И мы купим тебе ещедваподарка, когда пойдем гулять, да?;12;[{'CCONJ': 'и'}, {'PRON': 'мы'}, {'VERB': 'купить'}, {'PRON': 'ты'}, {'VERB': 'ещедваподарка'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'пойти'}, {'VERB': 'гулять'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];когда;[{'SCONJ': 'когда'}]
49;Как тебе такое, пончик?;6;[{'ADV': 'как'}, {'PRON': 'ты'}, {'DET': 'такой'}, {'PUNCT': ','}, {'NOUN': 'пончик'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
51;И как быть?;4;[{'CCONJ': 'и'}, {'ADV': 'как'}, {'VERB': 'быть'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
53;Чтобы потом вернуться к руинам?;6;[{'SCONJ': 'чтобы'}, {'ADV': 'потом'}, {'VERB': 'вернуться'}, {'ADP': 'к'}, {'NOUN': 'руина'}, {'PUNCT': '?'}];0;0
54;Небось достало?;3;[{'PROPN': 'небось'}, {'VERB': 'достать'}, {'PUNCT': '?'}];0;0
55;А ты вообще откуда?;5;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'вообще'}, {'ADV': 'откуда'}, {'PUNCT': '?'}];откуда;[{'ADV': 'откуда'}]
56;Хорошо там, в Бразилии?;6;[{'ADV': 'хорошо'}, {'ADV': 'там'}, {'PUNCT': ','}, {'ADP': 'в'}, {'PROPN': 'бразилия'}, {'PUNCT': '?'}];0;0
57;Вот как?;3;[{'PART': 'вот'}, {'ADV': 'как'}, {'PUNCT': '?'}];как;[{'ADV': 'как'}]
58;Значит, ты не был в Бразилии?;8;[{'VERB': 'значить'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'PART': 'не'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'PROPN': 'бразилия'}, {'PUNCT': '?'}];0;0
59;Куда делось стекло?;4;[{'ADV': 'куда'}, {'VERB': 'деться'}, {'NOUN': 'стекло'}, {'PUNCT': '?'}];куда;[{'ADV': 'куда'}]
60;Скажешь, нет, Гарри?;6;[{'PROPN': 'сказать'}, {'PUNCT': ','}, {'VERB': 'нет'}, {'PUNCT': ','}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];0;0
61;И все же иногда ему казалось (или он это придумывал?;12;[{'CCONJ': 'и'}, {'PART': 'все'}, {'PART': 'же'}, {'ADV': 'иногда'}, {'PRON': 'он'}, {'VERB': 'казаться'}, {'PUNCT': '('}, {'CCONJ': 'или'}, {'PRON': 'он'}, {'PRON': 'это'}, {'VERB': 'придумывать'}, {'PUNCT': '?'}];0;0
62;Хочешь пойдем наверх, потренируемся?;6;[{'VERB': 'хотеть'}, {'VERB': 'пойти'}, {'ADV': 'наверх'}, {'PUNCT': ','}, {'VERB': 'потренироваться'}, {'PUNCT': '?'}];0;0
63;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
64;Да и кому бы?;5;[{'CCONJ': 'да'}, {'CCONJ': 'и'}, {'PRON': 'кто'}, {'AUX': 'бы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
65;Чего застрял?;3;[{'PRON': 'что'}, {'VERB': 'застрять'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
66;Проверяешь, нет ли бомб?;6;[{'PROPN': 'проверять'}, {'PUNCT': ','}, {'VERB': 'нет'}, {'PART': 'ли'}, {'NOUN': 'бомба'}, {'PUNCT': '?'}];0;0
67;Пап, смотри, что это у Гарри?;9;[{'PROPN': 'папа'}, {'PUNCT': ','}, {'VERB': 'смотреть'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'ADP': 'у'}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
68;Кто станет тебе писать?;5;[{'PRON': 'кто'}, {'VERB': 'стать'}, {'PRON': 'ты'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
69;Откуда они знают, где он спит?;8;[{'ADV': 'откуда'}, {'PRON': 'они'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'ADV': 'где'}, {'PRON': 'он'}, {'VERB': 'спать'}, {'PUNCT': '?'}];"откуда; где";[{'ADV': 'откуда'}, {'ADV': 'где'}]
70;Они что, следят за нами?;7;[{'PRON': 'они'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'следить'}, {'ADP': 'за'}, {'PRON': 'мы'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
71;Но что же делать, Вернон?;7;[{'CCONJ': 'но'}, {'PRON': 'что'}, {'PART': 'же'}, {'VERB': 'делать'}, {'PUNCT': ','}, {'PROPN': 'вернон'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
72;Написать им?;3;[{'VERB': 'написать'}, {'PRON': 'они'}, {'PUNCT': '?'}];0;0
73;Мы ведь поклялись, когда оставили его у себя, что выбьем из него эту дурь?;17;[{'PRON': 'мы'}, {'PART': 'ведь'}, {'VERB': 'поклясться'}, {'PUNCT': ','}, {'SCONJ': 'когда'}, {'VERB': 'оставить'}, {'PRON': 'он'}, {'ADP': 'у'}, {'PRON': 'себя'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'NOUN': 'выбить'}, {'ADP': 'из'}, {'PRON': 'он'}, {'DET': 'этот'}, {'NOUN': 'дурь'}, {'PUNCT': '?'}];"когда; что";[{'SCONJ': 'когда'}, {'SCONJ': 'что'}]
74;Где мое письмо?;4;[{'ADV': 'где'}, {'DET': 'мой'}, {'NOUN': 'письмо'}, {'PUNCT': '?'}];где;[{'ADV': 'где'}]
75;Кто мне пишет?;4;[{'PRON': 'кто'}, {'PRON': 'я'}, {'VERB': 'писать'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
77;Кому это ты так нужен?;6;[{'PRON': 'кто'}, {'PRON': 'это'}, {'PRON': 'ты'}, {'ADV': 'так'}, {'ADJ': 'нужный'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
78;П’рстите, к’торый тут будет мистер Г. Поттер?;14;[{'PROPN': 'п'}, {'PUNCT': '’'}, {'NOUN': 'рстит'}, {'PUNCT': ','}, {'ADP': 'к'}, {'PUNCT': '’'}, {'NOUN': 'торый'}, {'ADV': 'тут'}, {'VERB': 'быть'}, {'NOUN': 'мистер'}, {'PROPN': 'г'}, {'PUNCT': '.'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];0;0
79;Милый, может, нам лучше вернуться домой?;9;[{'ADJ': 'милый'}, {'PUNCT': ','}, {'VERB': 'мочь'}, {'PUNCT': ','}, {'PRON': 'мы'}, {'ADJ': 'лучше'}, {'VERB': 'вернуться'}, {'ADV': 'домой'}, {'PUNCT': '?'}];0;0
80;Папа сошел с ума, да?;7;[{'PROPN': 'папа'}, {'VERB': 'сойти'}, {'ADP': 'с'}, {'NOUN': 'ум'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];0;0
81;Вот письма бы пригодились, а?;7;[{'PART': 'вот'}, {'NOUN': 'письмо'}, {'AUX': 'бы'}, {'VERB': 'пригодиться'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '?'}];0;0
82;Вдруг они вернутся, а дом на Бирючинной улице будет так забит письмами, что уж одно-то он как-нибудь украдет?;21;[{'ADV': 'вдруг'}, {'PRON': 'они'}, {'VERB': 'вернуться'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'NOUN': 'дом'}, {'ADP': 'на'}, {'ADJ': 'бирючинный'}, {'NOUN': 'улица'}, {'AUX': 'быть'}, {'ADV': 'так'}, {'VERB': 'забить'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PART': 'уж'}, {'ADV': 'одно-то'}, {'PRON': 'он'}, {'ADV': 'как-нибудь'}, {'VERB': 'украсть'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
83;Интересно, это море так бьет о камни?;9;[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'DET': 'это'}, {'NOUN': 'море'}, {'ADV': 'так'}, {'VERB': 'бить'}, {'ADP': 'о'}, {'NOUN': 'камень'}, {'PUNCT': '?'}];0;0
84;И – две минуты – что это за странный хруст и рокот?;13;[{'CCONJ': 'и'}, {'PUNCT': '–'}, {'NUM': 'два'}, {'NOUN': 'минута'}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'ADP': 'за'}, {'ADJ': 'странный'}, {'NOUN': 'хруст'}, {'CCONJ': 'и'}, {'VERB': 'рокот'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
85;Может, скала рушится и уходит под воду?;9;[{'VERB': 'мочь'}, {'PUNCT': ','}, {'NOUN': 'скала'}, {'VERB': 'рушиться'}, {'CCONJ': 'и'}, {'VERB': 'уходить'}, {'ADP': 'под'}, {'NOUN': 'вода'}, {'PUNCT': '?'}];0;0
86;Где пушка?;3;[{'ADV': 'где'}, {'NOUN': 'пушка'}, {'PUNCT': '?'}];где;[{'ADV': 'где'}]
87;Кто здесь?;3;[{'PRON': 'кто'}, {'ADV': 'здесь'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
88;Чайку можно, а?;5;[{'PROPN': 'чайка'}, {'ADV': 'можно'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '?'}];0;0
89;Вы кто?;3;[{'PRON': 'вы'}, {'PRON': 'кто'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
90;Ну, как с чайком-то?;6;[{'PART': 'ну'}, {'PUNCT': ','}, {'SCONJ': 'как'}, {'ADP': 'с'}, {'NOUN': 'чаек-то'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
91;Кто вы?;3;[{'PRON': 'кто'}, {'PRON': 'вы'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
93;Сам-то ты чего, никогда не интересовался, где твои предки всему обучились?;14;[{'PROPN': 'сам-то'}, {'PRON': 'ты'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'никогда'}, {'PART': 'не'}, {'VERB': 'интересоваться'}, {'PUNCT': ','}, {'ADV': 'где'}, {'DET': 'твой'}, {'NOUN': 'предок'}, {'PRON': 'весь'}, {'NOUN': 'обучились'}, {'PUNCT': '?'}];"что; где";[{'PRON': 'что'}, {'ADV': 'где'}]
94;Чему – всему?;4;[{'PRON': 'что'}, {'PUNCT': '–'}, {'PRON': 'весь'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
95;ЧЕМУ ВСЕМУ?;3;[{'NOUN': 'что'}, {'NOUN': 'весь'}, {'PUNCT': '?'}];что;[{'NOUN': 'что'}]
96;Это ж как же прикажете понимать?;7;[{'PRON': 'это'}, {'PART': 'ж'}, {'SCONJ': 'как'}, {'PART': 'же'}, {'ADV': 'прикажете'}, {'VERB': 'понимать'}, {'PUNCT': '?'}];как;[{'SCONJ': 'как'}]
97;Стало быть, этот мальчонка – вот этот вот самый – не знает ничего – ничегошеньки – НИ ПРО ЧТО?;21;[{'VERB': 'стать'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'DET': 'этот'}, {'NOUN': 'мальчонка'}, {'PUNCT': '–'}, {'PART': 'вот'}, {'DET': 'этот'}, {'PART': 'вот'}, {'ADJ': 'самый'}, {'PUNCT': '–'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PRON': 'ничто'}, {'PUNCT': '–'}, {'NOUN': 'ничегошеньки'}, {'PUNCT': '–'}, {'PROPN': 'ни'}, {'NOUN': 'про'}, {'PROPN': 'что'}, {'PUNCT': '?'}];что;[{'PROPN': 'что'}]
98;Какой мир?;3;[{'DET': 'какой'}, {'NOUN': 'мир'}, {'PUNCT': '?'}];какой;[{'DET': 'какой'}]
100;Мои… мои мама и папа… они разве знаменитые?;11;[{'DET': 'мой'}, {'PUNCT': '…'}, {'DET': 'мой'}, {'NOUN': 'мама'}, {'CCONJ': 'и'}, {'NOUN': 'папа'}, {'PUNCT': '…'}, {'PRON': 'они'}, {'PART': 'разве'}, {'ADJ': 'знаменитый'}, {'PUNCT': '?'}];0;0
101;И тебе не сказали, кто ты есть?;9;[{'CCONJ': 'и'}, {'PRON': 'ты'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
102;Ему не сказали?;4;[{'PRON': 'он'}, {'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': '?'}];0;0
103;Не сказали, что было в письме, которое оставил при нем Думбльдор?;14;[{'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'что'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'PRON': 'который'}, {'VERB': 'оставить'}, {'ADP': 'при'}, {'PRON': 'он'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
104;Яс’ те, Дурслей?;6;[{'PROPN': 'яс'}, {'PUNCT': '’'}, {'DET': 'тот'}, {'PUNCT': ','}, {'PROPN': 'дурслей'}, {'PUNCT': '?'}];0;0
105;И ты все годы скрывал?;6;[{'CCONJ': 'и'}, {'PRON': 'ты'}, {'DET': 'весь'}, {'NOUN': 'год'}, {'VERB': 'скрывать'}, {'PUNCT': '?'}];0;0
106;Что скрывал?;3;[{'PRON': 'что'}, {'VERB': 'скрывать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
107;Я –кто?;3;[{'PRON': 'я'}, {'PUNCT': '–кто'}, {'PUNCT': '?'}];0;0
108;С такими предками кем тебе еще быть?;8;[{'ADP': 'с'}, {'DET': 'такой'}, {'NOUN': 'предок'}, {'PRON': 'кто'}, {'PRON': 'ты'}, {'ADV': 'еще'}, {'VERB': 'быть'}, {'PUNCT': '?'}];кто;[{'PRON': 'кто'}]
109;А что значит – «ожидаем ответную сову»?;10;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'VERB': 'значить'}, {'PUNCT': '–'}, {'PUNCT': '«'}, {'VERB': 'ожидать'}, {'ADJ': 'ответный'}, {'NOUN': 'сова'}, {'PUNCT': '»'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
