;Natasha_no_hyphen1;Tokens;Lemmas;wh_words;wh_dicts
63;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
65;Чего застрял?;3;[{'PRON': 'что'}, {'VERB': 'застрять'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
67;Пап, смотри, что это у Гарри?;9;[{'PROPN': 'папа'}, {'PUNCT': ','}, {'VERB': 'смотреть'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'ADP': 'у'}, {'PROPN': 'гарри'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
70;Они что, следят за нами?;7;[{'PRON': 'они'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'следить'}, {'ADP': 'за'}, {'PRON': 'мы'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
71;Но что же делать, Вернон?;7;[{'CCONJ': 'но'}, {'PRON': 'что'}, {'PART': 'же'}, {'VERB': 'делать'}, {'PUNCT': ','}, {'PROPN': 'вернон'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
82;Вдруг они вернутся, а дом на Бирючинной улице будет так забит письмами, что уж одно-то он как-нибудь украдет?;21;[{'ADV': 'вдруг'}, {'PRON': 'они'}, {'VERB': 'вернуться'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'NOUN': 'дом'}, {'ADP': 'на'}, {'ADJ': 'бирючинный'}, {'NOUN': 'улица'}, {'AUX': 'быть'}, {'ADV': 'так'}, {'VERB': 'забить'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PART': 'уж'}, {'ADV': 'одно-то'}, {'PRON': 'он'}, {'ADV': 'как-нибудь'}, {'VERB': 'украсть'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
84;И – две минуты – что это за странный хруст и рокот?;13;[{'CCONJ': 'и'}, {'PUNCT': '–'}, {'NUM': 'два'}, {'NOUN': 'минута'}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'ADP': 'за'}, {'ADJ': 'странный'}, {'NOUN': 'хруст'}, {'CCONJ': 'и'}, {'VERB': 'рокот'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
94;Чему – всему?;4;[{'PRON': 'что'}, {'PUNCT': '–'}, {'PRON': 'весь'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
95;ЧЕМУ ВСЕМУ?;3;[{'NOUN': 'что'}, {'NOUN': 'весь'}, {'PUNCT': '?'}];что;[{'NOUN': 'что'}]
97;Стало быть, этот мальчонка – вот этот вот самый – не знает ничего – ничегошеньки – НИ ПРО ЧТО?;21;[{'VERB': 'стать'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'DET': 'этот'}, {'NOUN': 'мальчонка'}, {'PUNCT': '–'}, {'PART': 'вот'}, {'DET': 'этот'}, {'PART': 'вот'}, {'ADJ': 'самый'}, {'PUNCT': '–'}, {'PART': 'не'}, {'VERB': 'знать'}, {'PRON': 'ничто'}, {'PUNCT': '–'}, {'NOUN': 'ничегошеньки'}, {'PUNCT': '–'}, {'PROPN': 'ни'}, {'NOUN': 'про'}, {'PROPN': 'что'}, {'PUNCT': '?'}];что;[{'PROPN': 'что'}]
103;Не сказали, что было в письме, которое оставил при нем Думбльдор?;14;[{'PART': 'не'}, {'VERB': 'сказать'}, {'PUNCT': ','}, {'PRON': 'что'}, {'AUX': 'быть'}, {'ADP': 'в'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'PRON': 'который'}, {'VERB': 'оставить'}, {'ADP': 'при'}, {'PRON': 'он'}, {'PROPN': 'думбльдор'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
106;Что скрывал?;3;[{'PRON': 'что'}, {'VERB': 'скрывать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
109;А что значит – «ожидаем ответную сову»?;10;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'VERB': 'значить'}, {'PUNCT': '–'}, {'PUNCT': '«'}, {'VERB': 'ожидать'}, {'ADJ': 'ответный'}, {'NOUN': 'сова'}, {'PUNCT': '»'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
110;О чем бишь я?;5;[{'ADP': 'о'}, {'PRON': 'что'}, {'ADV': 'бишь'}, {'PRON': 'я'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
113;–Знали,что я… я – колдун?;10;[{'PUNCT': '–'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'я'}, {'PUNCT': '…'}, {'PRON': 'я'}, {'PUNCT': '–'}, {'NOUN': 'колдун'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
126;А что случилось с Воль… извините – с Сами-Знаете-Кем?;11;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'VERB': 'случиться'}, {'ADP': 'с'}, {'PROPN': 'воля'}, {'PUNCT': '…'}, {'VERB': 'извинить'}, {'PUNCT': '–'}, {'ADP': 'с'}, {'NOUN': 'сами-знаете-кем'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
127;Он ведь тогда забирал все больше силы, больше власти – с чего ему исчезать?;16;[{'PRON': 'он'}, {'PART': 'ведь'}, {'ADV': 'тогда'}, {'VERB': 'забирать'}, {'PART': 'все'}, {'NUM': 'больше'}, {'NOUN': 'сила'}, {'PUNCT': ','}, {'ADV': 'большой'}, {'NOUN': 'власть'}, {'PUNCT': '–'}, {'ADP': 'с'}, {'PRON': 'что'}, {'PRON': 'он'}, {'VERB': 'исчезать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
137;А за что вас исключили?;6;[{'CCONJ': 'а'}, {'ADP': 'за'}, {'PRON': 'что'}, {'PRON': 'вы'}, {'VERB': 'исключить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
153;А что, есть такое министерство?;7;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'быть'}, {'DET': 'такой'}, {'NOUN': 'министерство'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
158;Чего только муглы не навыдумывают, скажи?;8;[{'PRON': 'что'}, {'PART': 'только'}, {'NOUN': 'мугол'}, {'PART': 'не'}, {'VERB': 'навыдумывать'}, {'PUNCT': ','}, {'VERB': 'сказать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
163;Неужели правда, что внизу, под землей, хранятся груды колдовского золота?;14;[{'PART': 'неужели'}, {'ADV': 'правда'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADV': 'внизу'}, {'PUNCT': ','}, {'ADP': 'под'}, {'NOUN': 'земля'}, {'PUNCT': ','}, {'VERB': 'храниться'}, {'NOUN': 'груда'}, {'ADJ': 'колдовской'}, {'NOUN': 'золото'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
169;А что вы преподаете, профессор Страунс?;8;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PRON': 'вы'}, {'NOUN': 'преподавать'}, {'PUNCT': ','}, {'NOUN': 'профессор'}, {'PROPN': 'страунс'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
172;Что я тебе говорил?;5;[{'PRON': 'что'}, {'PRON': 'я'}, {'PRON': 'ты'}, {'VERB': 'говорить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
178;А что такое Сами-Знаете-Что в ячейке семьсот тринадцать?;9;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'DET': 'такой'}, {'NOUN': 'сами-знаете-что'}, {'ADP': 'в'}, {'NOUN': 'ячейка'}, {'NUM': 'семьсот'}, {'NUM': 'тринадцать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
182;Ну что, назад в адскую громыхалку?;8;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'назад'}, {'ADP': 'в'}, {'ADJ': 'адский'}, {'NOUN': 'громыхалка'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
196;Что с тобой?;4;[{'PRON': 'что'}, {'ADP': 'с'}, {'PRON': 'ты'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
197;Огрид, а что такое квидиш?;7;[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'что'}, {'DET': 'такой'}, {'NOUN': 'квидиш'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
199;Так что такое квидиш?;5;[{'ADV': 'так'}, {'SCONJ': 'что'}, {'DET': 'такой'}, {'NOUN': 'квидиш'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
200;А что такое «Слизерин» и «Хуффльпуфф»?;11;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'DET': 'такой'}, {'PUNCT': '«'}, {'PROPN': 'слизерин'}, {'PUNCT': '»'}, {'CCONJ': 'и'}, {'PUNCT': '«'}, {'PROPN': 'хуффльпуфф'}, {'PUNCT': '»'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
202;А знаешь чего?;4;[{'CCONJ': 'а'}, {'VERB': 'знать'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
208;Простите, – сказал Гарри, – что любопытно?;10;[{'VERB': 'простить'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'VERB': 'сказать'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'SCONJ': 'что'}, {'ADJ': 'любопытный'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
210;Чего притих-то?;3;[{'PRON': 'что'}, {'NOUN': 'притихнуть-то'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
213;И что за способ за такой добираться до волшебной школы на поезде?;13;[{'CCONJ': 'и'}, {'SCONJ': 'что'}, {'ADP': 'за'}, {'NOUN': 'способ'}, {'ADP': 'за'}, {'DET': 'такой'}, {'VERB': 'добираться'}, {'ADP': 'до'}, {'ADJ': 'волшебный'}, {'NOUN': 'школа'}, {'ADP': 'на'}, {'NOUN': 'поезд'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
220;Что же делать?;4;[{'PRON': 'что'}, {'PART': 'же'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
224;Разве вы невидите,что я – Джордж?;9;[{'PART': 'разве'}, {'PRON': 'вы'}, {'VERB': 'невидеть'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'я'}, {'PUNCT': '–'}, {'PROPN': 'джордж'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
229;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
240;Да, мам, знаешь что?;7;[{'PART': 'да'}, {'PUNCT': ','}, {'NOUN': 'мама'}, {'PUNCT': ','}, {'VERB': 'знать'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
262;А это что?;4;[{'CCONJ': 'а'}, {'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
268;Что, так и сидят не шелохнувшись?;8;[{'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'так'}, {'PART': 'и'}, {'VERB': 'сидеть'}, {'PART': 'не'}, {'VERB': 'шелохнуться'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
272;Ты уверен, что это настоящее заклинание?;8;[{'PRON': 'ты'}, {'ADJ': 'уверенный'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'PRON': 'это'}, {'ADJ': 'настоящий'}, {'NOUN': 'заклинание'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
274;Да что ты?;4;[{'PART': 'да'}, {'PRON': 'что'}, {'PRON': 'ты'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
283;И что с грабителями?;5;[{'CCONJ': 'и'}, {'SCONJ': 'что'}, {'ADP': 'с'}, {'NOUN': 'грабитель'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
291;Что тут происходит?;4;[{'PRON': 'что'}, {'ADV': 'тут'}, {'VERB': 'происходить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
292;А ты что, знаком с Малфоем?;8;[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'PRON': 'что'}, {'PUNCT': ','}, {'ADJ': 'знакомый'}, {'ADP': 'с'}, {'PROPN': 'малфой'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
306;Что же делать?;4;[{'PRON': 'что'}, {'PART': 'же'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
307;Что это?;3;[{'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
308;Так, а вы что тут делаете?;8;[{'ADV': 'так'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PRON': 'вы'}, {'PRON': 'что'}, {'ADV': 'тут'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
310;Что, надо надеть Шляпу?;6;[{'PRON': 'что'}, {'PUNCT': ','}, {'ADV': 'надо'}, {'VERB': 'надеть'}, {'PROPN': 'шляпа'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
312;Что, если его вообще не выберут?;8;[{'PRON': 'что'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'PRON': 'он'}, {'ADV': 'вообще'}, {'PART': 'не'}, {'VERB': 'выбрать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
321;Он что – слегка того?;6;[{'PRON': 'он'}, {'SCONJ': 'что'}, {'PUNCT': '–'}, {'ADV': 'слегка'}, {'PRON': 'тот'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
329;А чего это он весь в крови?;8;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PART': 'это'}, {'PRON': 'он'}, {'DET': 'весь'}, {'ADP': 'в'}, {'NOUN': 'кровь'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
331;Что такое?;3;[{'PRON': 'что'}, {'DET': 'такой'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
335;Мне что, пожаловаться Кровавому Барону?;7;[{'PRON': 'я'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'пожаловаться'}, {'PROPN': 'кровавый'}, {'PROPN': 'барон'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
344;Что у нас сегодня?;5;[{'PRON': 'что'}, {'ADP': 'у'}, {'PRON': 'мы'}, {'ADV': 'сегодня'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
346;Что получится, если смешать толченый корень златоцветника с настойкой артемизии?;12;[{'PRON': 'что'}, {'VERB': 'получиться'}, {'PUNCT': ','}, {'SCONJ': 'если'}, {'VERB': 'смешать'}, {'VERB': 'толченый'}, {'NOUN': 'корень'}, {'NOUN': 'златоцветник'}, {'ADP': 'с'}, {'ADJ': 'настойка'}, {'NOUN': 'артемизия'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
350;В книги он заглядывал, но неужто надо было запомнить все, что написано в «Тысяче волшебных трав и грибов»?;23;[{'ADP': 'в'}, {'NOUN': 'книга'}, {'PRON': 'он'}, {'VERB': 'заглядывать'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'ADV': 'неужто'}, {'ADV': 'надо'}, {'AUX': 'быть'}, {'VERB': 'запомнить'}, {'PRON': 'весь'}, {'PUNCT': ','}, {'PRON': 'что'}, {'VERB': 'написать'}, {'ADP': 'в'}, {'PUNCT': '«'}, {'NOUN': 'тысяча'}, {'ADJ': 'волшебный'}, {'NOUN': 'трава'}, {'CCONJ': 'и'}, {'NOUN': 'гриб'}, {'PUNCT': '»'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
351;В чем разница, Поттер, между волчьим корнем и синим борцем?;13;[{'ADP': 'в'}, {'PRON': 'что'}, {'NOUN': 'разница'}, {'PUNCT': ','}, {'PROPN': 'поттер'}, {'PUNCT': ','}, {'ADP': 'между'}, {'ADJ': 'волчий'}, {'NOUN': 'корень'}, {'CCONJ': 'и'}, {'ADJ': 'синий'}, {'NOUN': 'борец'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
355;Вы что, положили иглы дикобраза, не сняв котел с огня?;13;[{'PRON': 'вы'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'положить'}, {'NOUN': 'игла'}, {'NOUN': 'дикобраз'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'снять'}, {'NOUN': 'котел'}, {'ADP': 'с'}, {'NOUN': 'огонь'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
368;И знает ли Огрид про Злея такое, о чем не желает говорить?;14;[{'CCONJ': 'и'}, {'VERB': 'знать'}, {'PART': 'ли'}, {'PROPN': 'огрид'}, {'ADP': 'про'}, {'PROPN': 'злея'}, {'DET': 'такой'}, {'PUNCT': ','}, {'ADP': 'о'}, {'PRON': 'что'}, {'PART': 'не'}, {'VERB': 'желать'}, {'VERB': 'говорить'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
369;В чем дело?;4;[{'ADP': 'в'}, {'PRON': 'что'}, {'NOUN': 'дело'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
370;Ну и чего мы ждем?;6;[{'PART': 'ну'}, {'CCONJ': 'и'}, {'PRON': 'что'}, {'PRON': 'мы'}, {'VERB': 'ждать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
374;Что, Парвати, запала на жирного плаксу?;9;[{'PRON': 'что'}, {'PUNCT': ','}, {'PROPN': 'парвати'}, {'PUNCT': ','}, {'NOUN': 'запал'}, {'ADP': 'на'}, {'ADJ': 'жирный'}, {'NOUN': 'плакса'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
378;Что скажут Дурслеи, увидев его на пороге?;9;[{'PRON': 'что'}, {'VERB': 'сказать'}, {'PROPN': 'дурслей'}, {'PUNCT': ','}, {'VERB': 'увидеть'}, {'PRON': 'он'}, {'ADP': 'на'}, {'NOUN': 'порог'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
383;Это что – палка?;5;[{'PRON': 'это'}, {'PRON': 'что'}, {'PUNCT': '–'}, {'NOUN': 'палка'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
391;Что, не слыхал про колдовские дуэли?;8;[{'PRON': 'что'}, {'PUNCT': ','}, {'PART': 'не'}, {'VERB': 'слыхать'}, {'ADP': 'про'}, {'ADJ': 'колдовской'}, {'NOUN': 'дуэль'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
394;Колдовская дуэль – это что?;6;[{'ADJ': 'колдовской'}, {'NOUN': 'дуэль'}, {'PUNCT': '–'}, {'PART': 'это'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
395;И что значит «буду секундантом»?;8;[{'CCONJ': 'и'}, {'PRON': 'что'}, {'VERB': 'значить'}, {'PUNCT': '«'}, {'AUX': 'быть'}, {'VERB': 'секундантом'}, {'PUNCT': '»'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
398;Что же мне теперь делать?;6;[{'PRON': 'что'}, {'PART': 'же'}, {'PRON': 'я'}, {'ADV': 'теперь'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
399;Мне что, стоять и дожидаться, пока меня сцапает Филч?;12;[{'PRON': 'я'}, {'PRON': 'что'}, {'PUNCT': ','}, {'VERB': 'стоять'}, {'CCONJ': 'и'}, {'VERB': 'дожидаться'}, {'PUNCT': ','}, {'SCONJ': 'пока'}, {'PRON': 'я'}, {'ADJ': 'сцапать'}, {'PROPN': 'филч'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
407;–Ну что?;4;[{'PUNCT': '–'}, {'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
409;Что они себе думают – держат в школе такое страшилище?;11;[{'PRON': 'что'}, {'PRON': 'они'}, {'PRON': 'себя'}, {'VERB': 'думать'}, {'PUNCT': '–'}, {'VERB': 'держать'}, {'ADP': 'в'}, {'NOUN': 'школа'}, {'DET': 'такой'}, {'NOUN': 'страшилище'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
410;Вы что, все слепые, да?;8;[{'PRON': 'вы'}, {'PRON': 'что'}, {'PUNCT': ','}, {'DET': 'весь'}, {'NOUN': 'слепой'}, {'PUNCT': ','}, {'PART': 'да'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
411;Не видели, на чем она стояла?;8;[{'PART': 'не'}, {'VERB': 'видеть'}, {'PUNCT': ','}, {'ADP': 'на'}, {'PRON': 'что'}, {'PRON': 'она'}, {'VERB': 'стоять'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
414;Что, ты говорил, у тебя дома?;9;[{'PRON': 'что'}, {'PUNCT': ','}, {'PRON': 'ты'}, {'VERB': 'говорить'}, {'PUNCT': ','}, {'ADP': 'у'}, {'PRON': 'ты'}, {'ADV': 'дома'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
422;А что это – баскетбол?;6;[{'CCONJ': 'а'}, {'PRON': 'что'}, {'PRON': 'это'}, {'PUNCT': '–'}, {'NOUN': 'баскетбол'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
423;А эти для чего?;5;[{'PROPN': 'а'}, {'DET': 'этот'}, {'ADP': 'для'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
425;Ну что, все понятно?;6;[{'PART': 'ну'}, {'PRON': 'что'}, {'PUNCT': ','}, {'PRON': 'весь'}, {'ADJ': 'понятный'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
430;Ну и что?;4;[{'PART': 'ну'}, {'CCONJ': 'и'}, {'PRON': 'что'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
434;Что Гермиона?;3;[{'PRON': 'что'}, {'PROPN': 'гермиона'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
435;Что он тут делает?;5;[{'PRON': 'что'}, {'PRON': 'он'}, {'ADV': 'тут'}, {'VERB': 'делать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
438;Меньше всего на свете им хотелось возвращаться, но что поделаешь?;12;[{'NUM': 'меньше'}, {'PRON': 'весь'}, {'ADP': 'на'}, {'NOUN': 'свет'}, {'PRON': 'они'}, {'VERB': 'хотеться'}, {'VERB': 'возвращаться'}, {'PUNCT': ','}, {'CCONJ': 'но'}, {'PRON': 'что'}, {'VERB': 'поделать'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
439;Он что – сдох?;5;[{'PRON': 'он'}, {'SCONJ': 'что'}, {'PUNCT': '–'}, {'NOUN': 'сдохнуть'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
440;Вы что себе думали, а?;7;[{'PRON': 'вы'}, {'PRON': 'что'}, {'PRON': 'себя'}, {'VERB': 'думать'}, {'PUNCT': ','}, {'CCONJ': 'а'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
446;Что это у вас там, Поттер?;8;[{'PRON': 'что'}, {'PRON': 'это'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'ADV': 'там'}, {'PUNCT': ','}, {'PROPN': 'поттер'}, {'PUNCT': '?'}];что;[{'PRON': 'что'}]
447;Интересно, что у него с ногой?;8;[{'ADJ': 'интересный'}, {'PUNCT': ','}, {'SCONJ': 'что'}, {'ADP': 'у'}, {'PRON': 'он'}, {'ADP': 'с'}, {'NOUN': 'нога'}, {'PUNCT': '?'}];что;[{'SCONJ': 'что'}]
