ID;Russian;English
48;У Дудли день рождения – как это он забыл?;"""And come back and find the house in ruins?"""
49;Сообразив, что грядет истерика, Гарри стал торопливо глотать бекон, а то как бы Дудли не перевернул стол.    Тетя Петуния, очевидно, тоже почуяла опасность и затараторила: – И мы купим тебе ещедваподарка, когда пойдем гулять, да?;"""Where do you come from, anyway?"""
50;Как тебе такое, пончик?;"""Was it nice there?"""
51;Хорошо?;"""Oh, I see -- so you've never been to Brazil?"""
52;– И как быть?;"""But the glass,"" he kept saying, ""where did the glass go?"""
53;– А эта, как бишь ее, твоя подруга… Ивонна?;"But worst of all, for Harry at least, was Piers calming down enough to say, ""Harry was talking to it, weren't you, Harry?"""
54;– Чтобы потом вернуться к руинам?;"""Want to come upstairs and practice?"""
55;– Небось достало?;"""What's this?"""
56;– А ты вообще откуда?;Who would?
57;– Хорошо там, в Бразилии?;"""What are you doing, checking for letter bombs?"""
58;– Вот как?;"""Who'd be writing to you?"""
59;Значит, ты не был в Бразилии?;"""Vernon,"" Aunt Petunia was saying in a quivering voice, ""look at the address -- how could they possibly know where he sleeps?"
60;– Куда делось стекло?;"You don't think they're watching the house?"""
61;Скажешь, нет, Гарри?;"""But what should we do, Vernon?"
62;И все же иногда ему казалось (или он это придумывал?;Should we write back?
63;– Хочешь пойдем наверх, потренируемся?;"Didn't we swear when we took him in we'd stamp out that dangerous nonsense?"""
64;– Что это?;"""Where's my letter?"""
65;Да и кому бы?;"""Who's writing to me?"""
66;– Чего застрял?;"""Why?"""
67;– Проверяешь, нет ли бомб?;Surely that meant they'd try again?
68;– Пап, смотри, что это у Гарри?;"""Who on earth wants to talk to you this badly?"""
69;– Кто станет тебе писать?;"""'Scuse me, but is one of you Mr. H. Potter?"
70;– Вернон, – говорила тетя Петуния дрожащим голосом, – посмотри на адрес… Откуда они знают, где он спит?;"Wouldn't it be better just to go home, dear?"""
71;Они что, следят за нами?;"""Daddy's gone mad, hasn't he?"""
72;– Но что же делать, Вернон?;"""Could do with some of those letters now, eh?"""
73;Написать им?;Was that the sea, slapping hard on the rock like that?
74;Мы ведь поклялись, когда оставили его у себя, что выбьем из него эту дурь?;And (two minutes to go) what was that funny crunching noise?
75;– Где мое письмо?;Was the rock crumbling into the sea?
76;– Кто мне пишет?;"""Where's the cannon?"""
77;– Зачем?;"""Who's there?"""
78;– Кому это ты так нужен?;"""Couldn't make us a cup o' tea, could yeh?"
79;– П’рстите, к’торый тут будет мистер Г. Поттер?;"He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ""Who are you?"""
80;– Милый, может, нам лучше вернуться домой?;"""What about that tea then, eh?"""
81;– Папа сошел с ума, да?;"""Sony?"""
82;– Вот письма бы пригодились, а?;"Did yeh never wonder where yet parents learned it all?"""
83;Вдруг они вернутся, а дом на Бирючинной улице будет так забит письмами, что уж одно-то он как-нибудь украдет?;"""All what?"""
84;Интересно, это море так бьет о камни?;"""ALL WHAT?"""
85;И – две минуты – что это за странный хруст и рокот?;"-- knows nothin' abou' -- about ANYTHING?"""
86;Может, скала рушится и уходит под воду?;"""What world?"""
87;– Где пушка?;"""What?"
88;– Кто здесь?;"My -- my mom and dad weren't famous, were they?"""
89;– Чайку можно, а?;"""Yeh don' know what yeh are?"""
90;Он хотел сказать спасибо, но это слово потерялось где-то на пути ко рту, и вместо «спасибо» он прошептал:    – Вы кто?;"""You never told him?"
91;– Ну, как с чайком-то?;Never told him what was in the letter Dumbledore left fer him?
92;Кто вы?;"An' you've kept it from him all these years?"""
93;– Извините?;"""Kept what from me?"""
94;Сам-то ты чего, никогда не интересовался, где твои предки всему обучились?;"-- a what?"""
95;– Чему – всему?;With a mum an' dad like yours, what else would yeh be?
96;– ЧЕМУ ВСЕМУ?;"After a few minutes he stammered, ""What does it mean, they await my owl?"""
97;– Это ж как же прикажете понимать?!;"""Where was I?"""
98;– Стало быть, этот мальчонка – вот этот вот самый – не знает ничего – ничегошеньки – НИ ПРО ЧТО?!;"""A what?"""
99;– Какой мир?;"""You knew?"""
100;– Что?;"""You knew I'm a -- a wizard?"""
101;Мои… мои мама и папа… они разве знаменитые?;How could you not be, my dratted sister being what she was?
102;– И тебе не сказали, кто ты есть?;"As soon as he found his voice he said, ""Blown up?"
103;– Ему не сказали?;"""How could a car crash kill Lily an' James Potter?"
104;Не сказали, что было в письме, которое оставил при нем Думбльдор?;"""But why?"
105;Яс’ те, Дурслей?;"What happened?"""
106;И ты все годы скрывал?;"""Well, it's best yeh know as much as I can tell yeh -- mind, I can't tell yeh everythin', it's a great myst'ry, parts of it....""  He sat down, stared into the fire for a few seconds, and then said, ""It begins, I suppose, with -- with a person called -- but it's incredible yeh don't know his name, everyone in our world knows --""  ""Who? """
107;– Что скрывал?;"""Why not?"""
108;– Я –кто?;"""Could you write it down?"""
109;С такими предками кем тебе еще быть?;Never wondered how you got that mark on yer forehead?
110;После некоторого раздумья он пролепетал:    – А что значит – «ожидаем ответную сову»?;"""But what happened to Vol--, sorry -- I mean, You-Know-Who?"""
111;– О чем бишь я?;That's the biggest myst'ry, see... he was gettin' more an' more powerful -- why'd he go?
112;– Кто?;A wizard?
113;– Вызнали?;Him?
114;–Знали,что я… я – колдун?;How could he possibly be?
115;– Знали?!;"He'd spent his life being clouted by Dudley, and bullied by Aunt Petunia and Uncle Vernon; if he was really a wizard, why hadn't they been turned into warty toads every time they'd tried to lock him in his cupboard?"
116;И, едва совладав с голосом, спросил:    – Укокошили?;If he'd once defeated the greatest sorcerer in the world, how come Dudley had always been able to kick him around like a football?
117;Вы же говорили, они погибли в аварии?;"""Not a wizard, eh?"
118;– В АВАРИИ?;"Never made things happen when you was scared or angry?"""
119;– Как это?;Now he came to think about it... every odd thing that had ever made his aunt and uncle furious with him had happened when he, Harry, had been upset or angry... chased by Dudley's gang, he had somehow found himself out of their reach... dreading going to school with that ridiculous haircut, he'd managed to make it grow back... and the very last time Dudley had hit him, hadn't he got his revenge, without even realizing he was doing it?
120;Почему?;Hadn't he set a boa constrictor on him?
121;Правда, и я сам не все знаю, история темная…    Он сел и некоторое время смотрел в огонь, а после заговорил:    – Видно, начинать надо с… с того, которого звать… Нет, но это с ума сойти, что вы про него и не слыхивали, а у нас он…    – Кто?;"""See?"""
122;– Почему?;"""Haven't I told you he's not going?"""
123;– Может, напишете на бумажке?;"I was allowed ter do a bit ter follow yeh an' get yer letters to yeh an' stuff -- one o' the reasons I was so keen ter take on the job  ""Why aren't you supposed to do magic?"""
124;И почему Сами-Знаете-Кто ни разу не попытался перетянуть их на свою сторону?;"""Why were you expelled?"""
125;Никогда не интересовался, откуда у тебя шрам на лбу?;"""What?"""
126;Без таких в мире только лучше, да и получили они по заслугам: чего и ждать, когда якшаешься с колдунами?;"""Knuts?"""
127;– А что случилось с Воль… извините – с Сами-Знаете-Кем?;"""Um -- Hagrid?"""
128;Загадка, понимаешь, из загадок… Он ведь тогда забирал все больше силы, больше власти – с чего ему исчезать?;"""Mm?"""
129;Он – колдун?;"""D'yeh think yer parents didn't leave yeh anything?"""
130;Да как этоможет быть?;"""Wizards have banks?"""
131;Если когда-то он победил самого могущественного чародея на свете, почему Дудли вечно пинал его, как футбольный мячик?;"""Goblins?"""
132;– Не колдун, значит?;"""Got everythin'?"
133;И что, никогда ничего не делалось по-твоему, когда ты, к примеру, сердился или пугался?;"""How did you get here?"""
134;– Чуешь?;"""Flew?"""
135;– Не пустить сына Лили и Джеймса Поттеров в «Хогварц»?;"""If I was ter -- er -- speed things up a bit, would yeh mind not mentionin' it at Hogwarts?"""
136;Сдурели?;"""Why would you be mad to try and rob Gringotts?"""
137;Правда, чтоб тебя выследить, кой-чего разрешили – письмо доставить и прочее… Я вообще потому так за это дело и ухватился…    – А почему вам нельзя заниматься магией?;"""There's a Ministry of Magic?"""
138;– А за что вас исключили?;"""But what does a Ministry of Magic do?"""
139;– Что?;"""Why?"""
140;– Кнудов?;"""Why?"
141;– Э-э-э… Огрид?;"Not only was Hagrid twice as tall as anyone else, he kept pointing at perfectly ordinary things like parking meters and saying loudly, ""See that, Harry?"
142;– А?;"Things these Muggles dream up, eh?"""
143;– Думаешь, родители тебе ничего не оставили?;"""Hagrid,"" said Harry, panting a bit as he ran to keep up, ""did you say there are dragons at Gringotts?"""
144;– Но ведь их дом разрушили…    – А золото они, по-твоему, в чулке держали?;"""You'd like one?"""
145;– У колдунов бывают банки?;"""Still got yer letter, Harry?"""
146;– Гоблины?;"One winter cloak (black, silver fastenings)  Please note that all pupils' clothes should carry name tags  COURSE BOOKS  All students should have a copy of each of the following:  The Standard Book of Spells (Grade 1) by Miranda Goshawk  A History of Magic by Bathilda Bagshot  Magical Theory by Adalbert Waffling  A Beginners' Guide to Transfiguration by Emetic Switch  One Thousand Magical Herbs and Fungi by Phyllida Spore  Magical Drafts and Potions by Arsenius Jigger  Fantastic Beasts and Where to Find Them by Newt Scamander  The Dark Forces: A Guide to Self-Protection by Quentin Trimble  OTHER EQUIPMENT  wand cauldron (pewter, standard size 2) set  glass or crystal phials  telescope set  brass scales  Students may also bring an owl OR a cat OR a toad  PARENTS ARE REMINDED THAT FIRST YEARS ARE NOT ALLOWED THEIR OWN BROOMSTICKS  ""Can we buy all this in London?"""
147;Тебя вот привезти… или чего другое из «Гринготтса»… Доверяет, ясно?..;Could there really be piles of wizard gold buried miles beneath them?
148;Ну, собрался?;Were there really shops that sold spell books and broomsticks?
149;– А как вы сюда попали?;Might this not all be some huge joke that the Dursleys had cooked up?
150;– спросил Гарри, оглядываясь: должна же быть еще одна лодка?;"Everyone seemed to know Hagrid; they waved and smiled at him, and the bartender reached for a glass, saying, ""The usual, Hagrid?"""
151;– Прилетели?;"""Good Lord,"" said the bartender, peering at Harry, ""is this -- can this be --?"""
152;– Ежели я чуток скорости поднаддам… пусть это останется между нами, ладно?;"""Did you hear that?"
153;– А почему только полоумный решится ограбить «Гринготтс»?;"""What sort of magic do you teach, Professor Quirrell?"""
154;Да и дороги не найдешь – «Гринготтс» глубоко-глубоко под Лондоном, на сотни миль, понимаешь?;"""N-not that you n-need it, eh, P-P-Potter?"""
155;– А что, есть такое министерство?!;"""You'll be g-getting all your equipment, I suppose?"
156;– А чемзанимаетсяминистерство магии?;"""Told yeh, didn't I?"
157;– Зачем?;"""Is he always that nervous?"""
158;– Зачем?;"Scared of the students, scared of his own subject now, where's me umbrella?"""
159;И это Гарри нисколько не удивляло: Огрид не только был вдвое больше обычного человека, он ещеи без удержу размахивал руками, тыча в простейшие вещи вроде паркометра и громко восклицая:    – Видал?!;Vampires?
160;Чего только муглы не навыдумывают, скажи?;Hags?
161;– Огрид, – спросил Гарри, слегка задыхаясь – ему ведь приходилось бежать, чтобы не отстать от великана, – значит, в «Гринготтсе» естьдраконы?;"""You have his key, Sir?"""
162;– Правда?;"""What's the You-Know-What in vault seven hundred and thirteen?"""
163;– У тебя письмо с собой, Гарри?;"I never know,"" Harry called to Hagrid over the noise of the cart, ""what's the difference between a stalagmite and a stalactite?"""
164;ВНИМАНИЮ РОДИТЕЛЕЙ:УЧАЩИМСЯ ПЕРВОГО ГОДА ОБУЧЕНИЯ НЕ РАЗРЕШАЕТСЯ ИМЕТЬ СОБСТВЕННЫЕ МЕТЛЫ    – И все это можно купить в Лондоне?;How often had they complained how much Harry cost them to keep?
165;Обычная улица, с обычными людьми… Неужели правда, что внизу, под землей, хранятся груды колдовского золота?;"""Vault seven hundred and thirteen now, please, and can we go more slowly?"""
166;И где же магазины, в которых продаются сборники заклинаний и метлы?;"""How often do you check to see if anyone's inside?"""
167;Может, это вообще дурацкий розыгрыш, подстроенный дядей и тетей?;"""Listen, Harry, would yeh mind if I slipped off fer a pick-me-up in the Leaky Cauldron?"
168;"Когда они вошли, тихий гул голосов стих. Огрида, похоже, тут знали;ему замахали и заулыбались, а бармен потянулся за стаканом, спросив:    – Как обычно, Огрид?";"""Hogwarts, clear?"""
169;– Бог ты мой, – воскликнул бармен, вглядываясь в Гарри, – это же… Возможно ли?..;"""Hello,"" said the boy, ""Hogwarts, too?"""
170;– Вы слышали?;"""Have you got your own broom?"""
171;– А что вы преподаете, профессор Страунс?;"""Play Quidditch at all?"""
172;– Н-но в-вам же это н-не п-понадобится, да, П-поттер?;"Know what house you'll be in yet?"""
173;– Идете п-покупать в-все д-для школы, п-полагаю?;"""Well, no one really knows until they get there, do they, but I know I'll be in Slytherin, all our family have been -- imagine being in Hufflepuff, I think I'd leave, wouldn't you?"""
174;Огрид улыбнулся Гарри:    – Что я тебе говорил?;"He's a sort of servant, isn't he?"""
175;– Он всегда такой нервный?;"""Do you?"""
176;Боится учеников, боится даже собственного предмета… Так, а где мой зонтик?;"""Why is he with you?"
177;Вампиры?;"Where are your parents?"""
178;Ведьма?;"""But they were our kind, weren't they?"""
179;– У вас есть его ключ, сэр?;"""I really don't think they should let the other sort in, do you?"
180;– А что такое Сами-Знаете-Что в ячейке семьсот тринадцать?;"What's your surname, anyway?"""
181;– Так и не знаю, – крикнул Гарри Огриду сквозь грохот тележки, – кто из них сталактит, а кто – сталагмит?;"""What's up?"""
182;– А теперь, будь другом, к ячейке номер семьсот тринадцать, и не гони так, а?;"When they had left the shop, he said, ""Hagrid, what's Quidditch?"""
183;– И часто вы проверяете, нет ли кого внутри?;"""So what is Quidditch?"""
184;– Ну что, назад в адскую громыхалку?;"""And what are Slytherin and Hufflepuff?"""
185;– Слушай, Гарри, ты не против, если я заскочу в «Дырявый котел»?;"""Vol-, sorry - You-Know-Who was at Hogwarts?"""
186;– Идешь в «Хогварц», милый?;"How nice to see you again.... Oak, sixteen inches, rather bendy, wasn't it?"""
187;– Тоже в «Хог варц»?;"But I suppose they snapped it in half when you got expelled?"""
188;– А утебяесть метла?;"""But you don't use them?"""
189;– А в квидиш-то хоть играешь?;"""Which is your wand arm?"""
190;Ты уже знаешь, в какой колледж идешь?;"""Tricky customer, eh?"
191;Хоть из школы уходи, честное слово, как считаешь?;"Well, well, well... how curious... how very curious... ""  He put Harry's wand back into its box and wrapped it in brown paper, still muttering, ""Curious... curious..  ""Sorry,"" said Harry, ""but what's curious?"""
192;Он же там какой-то прислужник?;"""You all right, Harry?"
193;– Неужто?;How can they expect great things?
194;– А почему он с тобой?;"""Er -- Uncle Vernon?"""
195;Где твои родители?;"""Would it be all right if you gave me a lift?"""
196;– Но они были изнаших,да?;"Magic carpets all got punctures, have they?"""
197;Как, кстати, твоя фамилия?;"""Where is this school, anyway?"""
198;– Что с тобой?;"""Platform what?"""
199;Выходя из магазина, он спросил:    – Огрид, а что такое квидиш?;"""Why are you going to London?"""
200;И сравнить с сестрицей?;"Your platform should be somewhere in the middle, but they don't seem to have built it yet, do they?"""
201;– Так что такое квидиш?;What on earth was he going to do?
202;– А что такое «Слизерин» и «Хуффльпуфф»?;"""Now, what's the platform number?"""
203;– Вольде… ой, то есть Сам-Знаешь-Кто учился в «Хогварце»?;"""Honestly, woman, you call yourself our mother?"
204;А знаешь чего?;"CarA you tell I'm George?"""
205;Рад видеть снова… дубовая шестнадцатидюймовка, довольно податливая, так?;His twin called after him to hurry up, and he must have done so, because a second later, he had gone -- but how had he done it?
206;Но ее, полагаю, сломали пополам, когда тебя исключили?;"""First time at Hogwarts?"
207;– Но ты имине пользуешься?;"""The thing is -- the thing is, I don't know how to --""  ""How to get onto the platform?"""
208;– Какая рука рабочая?;"""Want a hand?"""
209;– Покупатель с запросами, да?;"""What's that?"""
210;Так-так-так… любопытно… весьма любопытно… – Он уложил палочку в коробку, а ту завернул в коричневую бумагу, приговаривая: – Любопытно… любопытно…    – Простите, – сказал Гарри, – что любопытно?;"""Aren't you?"""
211;– Ты в порядке, малец?;"""What?"""
212;Чего притих-то?;"""Fred?"
213;Как можно ждать от меня великих свершений?;George?
214;– Вы сможете меня отвезти?;"Are you there?"""
215;Гарри начал было подниматься по лестнице, но тут дядя Вернон заговорил: – И что за способ за такой добираться до волшебной школы на поезде?;"""Aaah, has ickle Ronnie got somefink on his nosie?"""
216;А ковер-самолет где?;"""Where's Percy?"""
217;В химчистке?;"""I'm up front, the prefects have got two compartments to themselves --""  ""Oh, are you a prefect, Percy?"""
218;– А где вообще эта школа?;"""How come Percy gets new robes, anyway?"""
219;Дядя и тетя уставились на него:    – Какой платформы?;"If I get one more owl telling me you've -- you've blown up a toilet or --""  ""Blown up a toilet?"
220;– А зачем вам в Лондон?;"""Hey, Mom, guess what?"
221;Девять и три четверти должна быть где-то посередине, но ее, кажется, еще не построили, а?;"Guess who we just met on the train?"""
222;Что же делать?;"""You know that black-haired boy who was near us in the station?"
223;Наверное, Огрид забыл упомянуть о чем-то важном: стучали же они по третьему кирпичу слева, чтобы попасть на Диагон-аллею… Может, достать волшебную палочку и постучать по турникету между платформами девять и десять?;"Know who he is?"""
224;– Ну, какая платформа?;"""Who?"""
225;– И вы, дама, еще смеете называть себя матерью?;Is he really, Fred?
226;Разве вы невидите,что я – Джордж?;"How do you know?"""
227;Но куда же он делся?;"""Never mind that, do you think he remembers what You-Know-Who looks like?"""
228;– Здравствуй, милый, – радушно откликнулась та, – первый раз в «Хогварц»?;"""Anyone sitting there?"""
229;– И, понимаете, я… Понимаете… Я не знаю, как…    – Как выйти на платформу?;"""Harry,"" said the other twin, ""did we introduce ourselves?"
230;– Помочь?;"""Are you really Harry Potter?"""
231;– Что это?;"""Nothing?"""
232;– Да?;"""Are all your family wizards?"""
233;Он?;"""What are they like?"""
234;– Кто?;"""What?"""
235;Тут, к его облегчению, сквозь открытую дверь купе донеслось:    – Фред?;See what I mean?
236;Джордж?;"Around half past twelve there was a great clattering outside in the corridor and a smiling, dimpled woman slid back their door and said, ""Anything off the cart, dears?"""
237;Вы здесь?;"""Hungry, are you?"""
238;– А где Перси?;"""What are these?"""
239;– Я сел впереди, там для старост выделили два отдельных купе…    – Да ты у нас, оказывается,староста,Перси?;"""They're not really frogs, are they?"""
240;– А почему у Перси новая форма?;"""What?"""
241;Если я получу еще хотя бы одну сову о том, что вы… взорвали туалет или…    – Взорвали туалет?;"""Can I have a frog?"
242;– Да, мам, знаешь что?;No, I've got Morgana again and I've got about six of her... do you want it?
243;Догадайся, кого мы только что видели в поезде?;"""Do they?"
244;– Знаешь, кто этот мальчик, который вместе с нами проходил на платформу?;"What, they don't move at all?"""
245;С черными волосами?;"""Bleaaargh -- see?"
246;Угадай, кто это?;"""Sorry,"" he said, ""but have you seen a toad at all?"""
247;– Кто?;"""Has anyone seen a toad?"
248;Гарри услышал голосок девочки:    – Ой, мам, а можно мне зайти в поезд на него посмотреть?;"""Oh, are you doing magic?"
249;Но это точно он, Фред?;"""Are you sure that's a real spell?"""
250;Как ты узнал?;"""Well, it's not very good, is it?"
251;– Это-то ладно… Как думаешь, он помнит Сама-Знаешь-Кого?;"""Are you really?"""
252;Зачем напоминать ему об этом в первый же школьный день?;"""Am I?"""
253;– Тут кто-нибудь сидит?;"""Do either of you know what house you'll be in?"
254;– Ты правда Гарри Поттер?;"""What house are your brothers in?"""
255;– Это куда Сам-Знаешь-Кто?..;"""That's the house Vol-, I mean, You-Know-Who was in?"""
256;– Совсем?;"""So what do your oldest brothers do now that they've left, anyway?"""
257;– А у вас колдовская семья?;"""Did you hear about  Gringotts?"
258;– Так ты, наверное, уже знаешь кучу колдовских штучек?;"""Really?"
259;– Какие они?;"What happened to them?"""
260;– Что?;"""What's your Quidditch team?"""
261;Понимаешь теперь?;"""Is it true?"""
262;Около половины первого за дверью что-то загромыхало, и улыбчивая женщина с ямочками на щеках заглянула в купе:    – Хотите чего-нибудь вкусненького, ребятки?;"So it's you, is it?"""
263;Рон удивился:    – Такой голодный?;"""Think my name's funny, do you?"
264;– А это что?;"""Oh, you're going to fight us, are you?"""
265;– Это ведь не настоящие лягушки?;"""But we don't feet like leaving, do we, boys?"
266;– Чего?;"""What has been going on?"""
267;– Можно мне шокогадушку?;"""You've met Malfoy before?"""
268;– Ничего, вернется… Не-а, опять Моргана, а у меня ее целых шесть… Хочешь себе?;"""Can we help you with something?"""
269;– Правда?;You haven't been fighting, have you?
270;Что, так и сидят не шелохнувшись?;"""Would you mind leaving while we change?"""
271;– Вы случайно не видели жабу?;"""And you've got dirt on your nose, by the way, did you know?"""
272;– Жабу не видели?;"All right there, Harry?"""
273;– Магией занимаетесь?;"""C'mon, follow me -- any more firs' years?"
274;– Ты уверен, что это настоящее заклинание?;"""Everyone in?"""
275;Меня зовут Гермиона Грейнджер, между прочим, а вас как?;"Is this your toad?"""
276;– Да что ты?;"""Everyone here?"
277;– Правда?;"You there, still got yer toad?"""
278;– Ой, а ты не знаешь?;"""How exactly do they sort us into houses?"""
279;– А вы уже в курсе, в какой колледж пойдете?;A test?
280;– А в каком колледже твои братья?;In front of the whole school?
281;– Это где учился Воль… то есть Сам-Знаешь-Кто?;But he didn't know any magic yet -- what on earth would he have to do?
282;– А кем стали после школы твои старшие братья?;"""What the --?"""
283;– Слыхал про «Гринготтс»?;"What looked like a fat little monk was saying: ""Forgive and forget, I say, we ought to give him a second chance --""  ""My dear Friar, haven't we given Peeves all the chances he deserves?"
284;Гарри вытаращил глаза:    – Правда?;"He gives us all a bad name and you know, he's not really even a ghost -- I say, what are you all doing here?"""
285;И что с грабителями?;"""About to be Sorted, I suppose?"""
286;– А в квидише ты за какую команду?;What if he wasn't chosen at all?
287;– Что?;What if he just sat there with the hat over his eyes for ages, until Professor McGonagall jerked it off his head and said there had obviously been a mistake and he'd better get back on the train?
288;– Это правда?;"""Potter, did she say?"""
289;Это ты?;"The Harry Potter?"""
290;– По-твоему, у меня смешное имя?;"So where shall I put you?"""
291;– А то побьете?;"""Not Slytherin, eh?"""
292;– А мы никуда не торопимся, правда, ребятки?;"""Are you sure?"
293;– Что тут происходит?;You could be great, you know, it's all here in your head, and Slytherin will help you on the way to greatness, no doubt about that -- no?
294;– А ты что, знаком с Малфоем?;"""Is he -- a bit mad?"""
295;– Он повернулся к Гермионе: – Тебе что-то нужно?;"""Mad?"""
296;Вы тут не дрались, нет?;"Potatoes, Harry?"""
297;– Может, ты выйдешь, пока мы переодеваемся?;"""That does look good,"" said the ghost in the ruff sadly, watching Harry cut up his steak,  ""Can't you --?"""
298;– А у тебя на носу грязь, ты в курсе?;I don't think I've in troduced myself?
299;Порядок, Гарри?;"""Nearly Headless?"
300;– Давайте, давайте за мной – еще пер’клашки есть?;"How can you be nearly headless?"""
301;– Погрузились?;I hope you're going to help us win the house championship this year?
302;Твоя жаба?;"""How did he get covered in blood?"""
303;– Все на месте?;"""What about you, Neville?"""
304;Жабу не потеряли?;"""What is it?"""
305;– А как распределяют по колледжам?;"""Who's that teacher talking to Professor Quirrell?"""
306;Испытания?;"""Oh, you know Quirrell already, do you?"
307;Перед всей школой?;"""He's not serious?"""
308;Но он еще не умеет колдовать… Что же делать?;"""Do you want me to go to the Bloody Baron?"""
309;Но тут случилось такое, от чего он подпрыгнул чуть ли не на фут, а кто-то сзади в ужасе завопил:    – Что это?!;"""Password?"""
310;Так, а вы что тут делаете?;"Great food, isn't it?"""
311;– На Распределение, полагаю?;"""Where?"""
312;– Что, надо надеть Шляпу?;"""Wearing the glasses?"""
313;Всего-на-всего?!;"""Did you see his face?"""
314;Что, если его вообще не выберут?;"""Did you see his scar?"""
315;Что, если он так и останется сидеть под Шляпой, пока профессор Макгонаголл ее не сорвет и не скажет, что произошла ошибка и лучше бы ему вернуться домой обратным поездом?;"""What have we got today?"""
316;Едва Гарри вышел из строя, по залу шуршащими язычками пламени зазмеились шепотки:    – Она сказалаПоттер?;It said, in a very untidy scrawl:   Dear Harry,  I know you get Friday afternoons off, so would you like to come and have a cup of tea with me around three?
317;– Гарри Поттер?Тот самый?;"""What would I get if I added powdered root of asphodel to an infusion of wormwood?"""
