Unnamed: 0,Natasha_no_hyphen1,Tokens,Lemmas,wh_words,wh_dicts,annotation
3354,Откуда я знаю?,4,"[{'ADV': 'откуда'}, {'PRON': 'я'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
3557,"А если Хмури захочет узнать, откуда Гарри известно о драконах?",12,"[{'CCONJ': 'а'}, {'SCONJ': 'если'}, {'PROPN': 'хмурь'}, {'VERB': 'захотеть'}, {'VERB': 'узнать'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'PROPN': 'гарри'}, {'ADJ': 'известный'}, {'ADP': 'о'}, {'NOUN': 'дракон'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
3611,Никогда о таких не слышала… а откуда они?,10,"[{'ADV': 'никогда'}, {'ADP': 'о'}, {'DET': 'такой'}, {'PART': 'не'}, {'VERB': 'слышать'}, {'PUNCT': '…'}, {'CCONJ': 'а'}, {'ADV': 'откуда'}, {'PRON': 'они'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
3819,Откуда она его взяла?,5,"[{'ADV': 'откуда'}, {'PRON': 'она'}, {'PRON': 'он'}, {'VERB': 'взять'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
3829,Откуда эта жуткая Вритер все узнала?,7,"[{'ADV': 'откуда'}, {'DET': 'этот'}, {'ADJ': 'жуткий'}, {'PROPN': 'вритер'}, {'PRON': 'весь'}, {'VERB': 'узнать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4008,Откуда Рита узнала?,4,"[{'ADV': 'откуда'}, {'PROPN': 'рита'}, {'VERB': 'узнать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4038,А откуда ты знаешь?,5,"[{'CCONJ': 'а'}, {'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4276,Откуда я знаю?,4,"[{'ADV': 'откуда'}, {'PRON': 'я'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4626,"Их ведь больше должно волновать, откуда в Глициниевом переулке взялись дементоры?",13,"[{'DET': 'их'}, {'PART': 'ведь'}, {'ADV': 'большой'}, {'ADJ': 'должный'}, {'VERB': 'волновать'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADP': 'в'}, {'ADJ': 'глициниевый'}, {'NOUN': 'переулок'}, {'VERB': 'взяться'}, {'NOUN': 'дементор'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
4677,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4831,Ты откуда знаешь?,4,"[{'PRON': 'ты'}, {'ADV': 'откуда'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
4864,Но откуда здесь портрет твоей мамы?,7,"[{'CCONJ': 'но'}, {'ADV': 'откуда'}, {'ADV': 'здесь'}, {'NOUN': 'портрет'}, {'DET': 'твой'}, {'NOUN': 'мама'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
5306,Откуда у вас деньги на хохмазин?,7,"[{'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'NOUN': 'деньга'}, {'ADP': 'на'}, {'NOUN': 'хохмазин'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
5741,"Поттер, вы знаете, откуда прилетела ваша сова?",10,"[{'PROPN': 'поттер'}, {'PUNCT': ','}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'VERB': 'прилететь'}, {'DET': 'ваш'}, {'NOUN': 'сова'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],1
5776,Откуда ты знаешь?,4,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
5822,Но… откуда ты знаешь?,6,"[{'CCONJ': 'но'}, {'PUNCT': '…'}, {'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6086,А ты откуда знаешь?,5,"[{'CCONJ': 'а'}, {'PRON': 'ты'}, {'ADV': 'откуда'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6130,Откуда бы?,3,"[{'ADV': 'откуда'}, {'AUX': 'бы'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6346,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6445,"Огрид, – не удержавшись, спросил Гарри, – откуда у тебя эти раны?",16,"[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'PART': 'не'}, {'VERB': 'удержаться'}, {'PUNCT': ','}, {'VERB': 'спросить'}, {'PROPN': 'гарри'}, {'PUNCT': ','}, {'PUNCT': '–'}, {'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'ты'}, {'DET': 'этот'}, {'NOUN': 'рана'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
6500,"Откуда у вас столько писем, мистер Поттер?",9,"[{'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'NUM': 'столько'}, {'NOUN': 'письмо'}, {'PUNCT': ','}, {'NOUN': 'мистер'}, {'PROPN': 'поттер'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6532,"Откуда в твоей, Поттер, памяти этот человек и эта комната?",13,"[{'ADV': 'откуда'}, {'ADP': 'в'}, {'DET': 'твой'}, {'PUNCT': ','}, {'PROPN': 'поттер'}, {'PUNCT': ','}, {'NOUN': 'память'}, {'DET': 'этот'}, {'NOUN': 'человек'}, {'CCONJ': 'и'}, {'DET': 'этот'}, {'NOUN': 'комната'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6800,"Да-а… еще вопрос, откуда он взялся, этот хохмазин?",12,"[{'PROPN': 'да-а'}, {'PUNCT': '…'}, {'ADV': 'еще'}, {'NOUN': 'вопрос'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'PRON': 'он'}, {'VERB': 'взяться'}, {'PUNCT': ','}, {'DET': 'этот'}, {'NOUN': 'хохмазин'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6803,Откуда ты знаешь?,4,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
6942,Откуда ты?,3,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
7229,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
7327,Я не ждал… вы откуда здесь взялись?,9,"[{'PRON': 'я'}, {'PART': 'не'}, {'VERB': 'ждать'}, {'PUNCT': '…'}, {'PRON': 'вы'}, {'ADV': 'откуда'}, {'ADV': 'здесь'}, {'VERB': 'взяться'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
7681,Откуда вы?,3,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
7889,Знаешь откуда?,3,"[{'VERB': 'знать'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
7930,"Не понимаю, откуда вдруг такой повальный интерес к квидишу?",11,"[{'PART': 'не'}, {'VERB': 'понимать'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADV': 'вдруг'}, {'DET': 'такой'}, {'ADJ': 'повальный'}, {'NOUN': 'интерес'}, {'ADP': 'к'}, {'NOUN': 'квидиш'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8024,"Откуда вы знаете, профессор?",6,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': ','}, {'NOUN': 'профессор'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8226,"Ну, откуда столь обширные мозговые повреждения?",8,"[{'PART': 'ну'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADV': 'столь'}, {'ADJ': 'обширный'}, {'ADJ': 'мозговой'}, {'NOUN': 'повреждение'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8241,Но откуда мы знаем?,5,"[{'CCONJ': 'но'}, {'ADV': 'откуда'}, {'PRON': 'мы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8300,"Нас не было, откуда нам знать?",8,"[{'PRON': 'мы'}, {'PART': 'не'}, {'VERB': 'быть'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'PRON': 'мы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8407,Откуда ты взял котлокексы?,5,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'взять'}, {'NOUN': 'котлокекс'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8763,Откуда ты узнал об этом проклятии?,7,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'узнать'}, {'ADP': 'о'}, {'DET': 'это'}, {'NOUN': 'проклятие'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8868,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
8974,"Гарри, откуда ты взялся?",6,"[{'PROPN': 'гарри'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'взяться'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9375,Откуда ему известна фамилия «Грегорович»?,8,"[{'ADV': 'откуда'}, {'PRON': 'он'}, {'ADJ': 'известный'}, {'NOUN': 'фамилия'}, {'PUNCT': '«'}, {'NOUN': 'грегорович'}, {'PUNCT': '»'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9526,"Впрочем, тебе-то откуда знать?",6,"[{'ADV': 'впрочем'}, {'PUNCT': ','}, {'VERB': 'тебе-то'}, {'ADV': 'откуда'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9541,Откуда ты?,3,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9662,Откуда взялся медальон?,4,"[{'ADV': 'откуда'}, {'VERB': 'взяться'}, {'NOUN': 'медальон'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9793,"С ума сошел, откуда у нас столько времени?",10,"[{'ADP': 'с'}, {'NOUN': 'ум'}, {'VERB': 'сойти'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADP': 'у'}, {'PRON': 'мы'}, {'ADV': 'столько'}, {'NOUN': 'время'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
9910,"Прятать осколок души там, откуда всегда стремился сбежать?",10,"[{'VERB': 'прятать'}, {'NOUN': 'осколок'}, {'NOUN': 'душа'}, {'ADV': 'там'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'ADV': 'всегда'}, {'VERB': 'стремиться'}, {'VERB': 'сбежать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],2
10158,Откуда ты взялся?,4,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'взяться'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10478,Но откуда ты?,4,"[{'CCONJ': 'но'}, {'ADV': 'откуда'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10552,Но откуда?,3,"[{'CCONJ': 'но'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10558,Откуда вы знаете?,4,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'VERB': 'знать'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10564,Но откуда?,3,"[{'CCONJ': 'но'}, {'ADV': 'откуда'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10565,Откуда вы?,3,"[{'ADV': 'откуда'}, {'PRON': 'вы'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10706,Откуда это у вас?,5,"[{'ADV': 'откуда'}, {'PRON': 'это'}, {'ADP': 'у'}, {'PRON': 'вы'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10780,Откуда ты?,3,"[{'ADV': 'откуда'}, {'PRON': 'ты'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
10908,"Огрид, откуда ты взялся?",6,"[{'PROPN': 'огрид'}, {'PUNCT': ','}, {'ADV': 'откуда'}, {'PRON': 'ты'}, {'VERB': 'взяться'}, {'PUNCT': '?'}]",откуда,[{'ADV': 'откуда'}],0
