ID;Russian;English
37;— Ты что, еще не встал?;"And where did you get that motorcycle?"""
38;— Что ты там говоришь?;"""No problems, were there?"""
39;Ничего…  День рождения Дадли — как он мог забыть?;"""Is that where -?"""
40;Как тебе это, малыш?;"""Couldn't you do something about it, Dumbledore?"""
41;Ты доволен?;"""Could I -- could I say good-bye to him, sir?"""
42;— И что теперь?;"""Are you up yet?"""
43;Дурсли часто говорили о Гарри так, словно его здесь не было или словно он был настолько туп, что все равно не мог понять, что речь идет именно о нем.  — А как насчет твоей подруги?;"""What did you say?"""
44;— И чтобы мы вернулись и обнаружили, что от дома остались одни руины?;"""Nothing, nothing...""  Dudley's birthday -- how could he have forgotten?"
45;— Кстати, откуда вы родом?;How's that, popkin?
46;— Наверное, там было куда лучше, чем здесь?;"""Now what?"""
47;— А понимаю, значит, вы никогда не были в Бразилии?;"""What about what's-her-name, your friend -- Yvonne?"""
48;— Куда исчезло стекло?;"""And come back and find the house in ruins?"""
49;Но самым худшим для Гарри было то, что Пирс наконец успокоился и вдруг произнес:  — А Гарри разговаривал с ней — ведь так, Гарри?;"""Where do you come from, anyway?"""
50;— Хочешь подняться наверх и попробовать?;"""Was it nice there?"""
51;— Что это?;"""Oh, I see -- so you've never been to Brazil?"""
52;Да и кто мог ему написать?;"""But the glass,"" he kept saying, ""where did the glass go?"""
53;— Что ты там копаешься?;"But worst of all, for Harry at least, was Piers calming down enough to say, ""Harry was talking to it, weren't you, Harry?"""
54;Проверяешь, нет ли в письмах взрывчатки?;"""Want to come upstairs and practice?"""
55;— И кто, интересно, будет тебе писать?;"""What's this?"""
56;— Вернон, посмотри на адрес, как они могли узнать, где он спит?;Who would?
57;Ты не думаешь, что они следят за домом?;"""What are you doing, checking for letter bombs?"""
58;— Что нам делать, Вернон?;"""Who'd be writing to you?"""
59;Может быть, следует им ответить?;"""Vernon,"" Aunt Petunia was saying in a quivering voice, ""look at the address -- how could they possibly know where he sleeps?"
60;Если они не получат ответ… Да, это лучший выход из положения… Мы просто ничего не будем предпринимать…  — Но…  — Мне не нужны в доме такие типы, как они, ты поняла, Петунья?!;"You don't think they're watching the house?"""
61;Когда мы взяли его, разве мы не поклялись, что искореним всю эту опасную чепуху?!;"""But what should we do, Vernon?"
62;— Где мое письмо?;Should we write back?
63;— Кто мне его написал?;"Didn't we swear when we took him in we'd stamp out that dangerous nonsense?"""
64;— Зачем?;"""Where's my letter?"""
65;— Интересно, кому это так сильно понадобилось пообщаться с тобой?;"""Who's writing to me?"""
66;— Я извиняюсь, но нет ли среди вас мистера Г. Поттера?;"""Why?"""
67;* * *   — Дорогой, не лучше ли нам будет вернуться?;Surely that meant they'd try again?
68;— Папа сошел с ума, да, мам?;"""Who on earth wants to talk to you this badly?"""
69;Тридцать секунд… двадцать… десять… девять… Может, имеет смысл разбудить Дадли, просто для того чтобы его позлить?;"""'Scuse me, but is one of you Mr. H. Potter?"
70;Но кто?;"Wouldn't it be better just to go home, dear?"""
71;— Где пушка?;"""Daddy's gone mad, hasn't he?"""
72;— Кто там?;"""Could do with some of those letters now, eh?"""
73;— Ну чего, может, чайку сделаете, а?;Was that the sea, slapping hard on the rock like that?
74;Я тут тебе принес кой-чего… Может, там помялось слегка, я… э-э… сел на эту штуку по дороге… но вкус-то от этого не испортился, да?;And (two minutes to go) what was that funny crunching noise?
75;Он хотел поблагодарить его за подарок, но слова благодарности потерялись по пути ко рту, и вместо этого он сказал совсем другое:  — Вы кто?;Was the rock crumbling into the sea?
76;— Ну так чего там с чаем?;"""Where's the cannon?"""
77;— Да ты чего разволновался-то, Дурсль?;"""Who's there?"""
78;Ты, конечно, знаешь, что это за штука такая, Хогвартс?;"""Couldn't make us a cup o' tea, could yeh?"
79;— Извините?!;"He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ""Who are you?"""
80;Я… э-э… знал, что ты наших писем не получил, но чтобы ты вообще про Хогвартс не слышал?;"""What about that tea then, eh?"""
81;Не любопытный ты, выходит, коль ни разу не спросил, где родители твои всему научились…  — Научились чему?;"""Sony?"""
82;— ЧЕМУ?!;"Did yeh never wonder where yet parents learned it all?"""
83;— Вы мне тут чего хотите сказать?;"""All what?"""
84;— ничегошеньки и не знает о том, что… Ничего не знает ВООБЩЕ?;"""ALL WHAT?"""
85;— Каком мире?;"-- knows nothin' abou' -- about ANYTHING?"""
86;— Но ты же знаешь про своих родителей… ну, кто они были?;"""What world?"""
87;— Что?;"""What?"
88;— Разве мои мама и папа… разве они были известными людьми?;"My -- my mom and dad weren't famous, were they?"""
89;— Ты чего, не знаешь даже, кто ты такой есть?;"""Yeh don' know what yeh are?"""
90;— Вы что, никогда ему ничего не говорили, да?;"""You never told him?"
91;Никогда не говорили, что в том письме было, которое Дамблдор написал?;Never told him what was in the letter Dumbledore left fer him?
92;А вы, выходит, за столько лет ему так и не рассказали ничего, прятали все от него, да?;"An' you've kept it from him all these years?"""
93;— Прятали от меня что?;"""Kept what from me?"""
94;— Короче так, Гарри, ты волшебник, понял?;"-- a what?"""
95;— Я кто?;With a mum an' dad like yours, what else would yeh be?
96;Кем ты еще мог быть, с такими-то родителями?;"After a few minutes he stammered, ""What does it mean, they await my owl?"""
97;Прошло несколько минут, прежде чем он неуверенно выдавил из себя:  — Что это значит: они ждут мою сову?;"""Where was I?"""
98;— Так на чем мы с тобой остановились?;"""A what?"""
99;— Знаешь, хотел бы я посмотреть, как такой храбрый магл, как ты, его остановит…  — Кто?;"""You knew?"""
100;— Так вы знали?;"""You knew I'm a -- a wizard?"""
101;— Вы знали, что я… что я волшебник?;How could you not be, my dratted sister being what she was?
102;— Знали ли мы?!;"As soon as he found his voice he said, ""Blown up?"
103;— Знали ли мы?;"""How could a car crash kill Lily an' James Potter?"
104;— Взорвалась?;"""But why?"
105;— АВТОКАТАСТРОФА?!;"What happened?"""
106;— Да как могла автокатастрофа погубить Лили и Джеймса Поттеров?;"""Well, it's best yeh know as much as I can tell yeh -- mind, I can't tell yeh everythin', it's a great myst'ry, parts of it....""  He sat down, stared into the fire for a few seconds, and then said, ""It begins, I suppose, with -- with a person called -- but it's incredible yeh don't know his name, everyone in our world knows --""  ""Who? """
107;— Но почему?;"""Why not?"""
108;— И что с ними случилось, с мамой и папой?;"""Could you write it down?"""
109;Не я, Гарри, должен бы рассказать тебе обо всем… э-э… но кто-то ж должен, так?;Never wondered how you got that mark on yer forehead?
110;— Нет, поверить не могу, что ты про него не знаешь, — его в нашем мире все знают…  — А кто он такой?;"""But what happened to Vol--, sorry -- I mean, You-Know-Who?"""
111;— Но почему?;That's the biggest myst'ry, see... he was gettin' more an' more powerful -- why'd he go?
112;— Может быть, вы лучше напишете это имя?;A wizard?
113;Ты не спрашивал никогда, откуда у тебя этот шрам на лбу?;Him?
114;— А что случилось с Волан… извините, с тем Вы-Знаете-Кем?;How could he possibly be?
115;Волшебник?;"He'd spent his life being clouted by Dudley, and bullied by Aunt Petunia and Uncle Vernon; if he was really a wizard, why hadn't they been turned into warty toads every time they'd tried to lock him in his cupboard?"
116;Он, Гарри Поттер, волшебник?;If he'd once defeated the greatest sorcerer in the world, how come Dudley had always been able to kick him around like a football?
117;Всю жизнь его шпынял Дадли и притесняли дядя Вернон и тетя Петунья, а если он волшебник, то почему они не превращались в бородавчатых черепах всякий раз, как запирали его в чулане?;"""Not a wizard, eh?"
118;Если когда-то он смог победить величайшего мага в мире, почему Дадли всегда пинал его и гонял по школе и по всему дому, как футбольный мяч?;"Never made things happen when you was scared or angry?"""
119;— Значит, не волшебник?;Now he came to think about it... every odd thing that had ever made his aunt and uncle furious with him had happened when he, Harry, had been upset or angry... chased by Dudley's gang, he had somehow found himself out of their reach... dreading going to school with that ridiculous haircut, he'd managed to make it grow back... and the very last time Dudley had hit him, hadn't he got his revenge, without even realizing he was doing it?
120;И никогда с тобой ничего такого не было, когда ты злился или огорчался?;Hadn't he set a boa constrictor on him?
121;Например, когда за ним гналась банда Дадли, а он смог ускользнуть от них, оказавшись на крыше школьной столовой… Или когда тетя Петунья остригла его почти наголо, и он с ужасом думал о том, как завтра появится в школе, — разве ему не удалось заставить волосы отрасти за одну ночь?… А взять самый последний случай, когда Дадли ударил его в террариуме, а он, сам того не подозревая, напустил на Дадли бразильского удава…  Гарри улыбнулся, посмотрел на Хагрида и заметил, что лицо великана просияло.;"""See?"""
122;— Ну что, убедил я тебя теперь, да?;"""Haven't I told you he's not going?"""
123;— Разве я не сказал вам, что он никуда не поедет?;"I was allowed ter do a bit ter follow yeh an' get yer letters to yeh an' stuff -- one o' the reasons I was so keen ter take on the job  ""Why aren't you supposed to do magic?"""
124;Я читал эти ваши письма — про то, что ему нужна целая куча всякой ерунды, вроде книг заклинаний и волшебных палочек…  — Если он захочет там учиться, то даже такому здоровенному маглу, как ты, его не остановить, понял?;"""Why were you expelled?"""
125;— Помешать сыну Лили и Джеймса Поттеров учиться в Хогвартсе — да ты свихнулся, что ли?!;"""What?"""
126;— А почему вам нельзя творить чудеса?;"""Knuts?"""
127;— А почему вас исключили?;"""Um -- Hagrid?"""
128;— Что?;"""Mm?"""
129;— Кнатов?;"""D'yeh think yer parents didn't leave yeh anything?"""
130;— М-м-м… Хагрид?;"""Wizards have banks?"""
131;— А?;"""Goblins?"""
132;— Ты, что ли, думаешь, что твои родители о тебе не позаботились?;"""Got everythin'?"
133;— У волшебников есть свои банки?;"""How did you get here?"""
134;— Гоблины?;"""Flew?"""
135;Тебя вот забрать, из «Гринготтса» кое-что взять — он знает, что мне доверять можно, понял?;"""If I was ter -- er -- speed things up a bit, would yeh mind not mentionin' it at Hogwarts?"""
136;— А как ты сюда попал?;"""Why would you be mad to try and rob Gringotts?"""
137;— Прилетел?;"""There's a Ministry of Magic?"""
138;— Если я… э-э… Если я сделаю так, чтоб мы побыстрее поплыли, ты ведь никому в Хогвартсе не расскажешь?;"""But what does a Ministry of Magic do?"""
139;— А почему только сумасшедший может попытаться ограбить «Гринготтс»?;"""Why?"""
140;К тому же оттуда еще выбраться надо… «Гринготтс» глубоко под землей находится… сотни миль под Лондоном — чуешь?;"""Why?"
141;— А есть такое Министерство?;"Not only was Hagrid twice as tall as anyone else, he kept pointing at perfectly ordinary things like parking meters and saying loudly, ""See that, Harry?"
142;— А чем занимается Министерство магии?;"Things these Muggles dream up, eh?"""
143;— Почему?;"""Hagrid,"" said Harry, panting a bit as he ran to keep up, ""did you say there are dragons at Gringotts?"""
144;— Почему?;"""You'd like one?"""
145;Да ты чо, Гарри?;"""Still got yer letter, Harry?"""
146;— Ты сказал, что в «Гринготтсе» есть драконы?;"One winter cloak (black, silver fastenings)  Please note that all pupils' clothes should carry name tags  COURSE BOOKS  All students should have a copy of each of the following:  The Standard Book of Spells (Grade 1) by Miranda Goshawk  A History of Magic by Bathilda Bagshot  Magical Theory by Adalbert Waffling  A Beginners' Guide to Transfiguration by Emetic Switch  One Thousand Magical Herbs and Fungi by Phyllida Spore  Magical Drafts and Potions by Arsenius Jigger  Fantastic Beasts and Where to Find Them by Newt Scamander  The Dark Forces: A Guide to Self-Protection by Quentin Trimble  OTHER EQUIPMENT  wand cauldron (pewter, standard size 2) set  glass or crystal phials  telescope set  brass scales  Students may also bring an owl OR a cat OR a toad  PARENTS ARE REMINDED THAT FIRST YEARS ARE NOT ALLOWED THEIR OWN BROOMSTICKS  ""Can we buy all this in London?"""
147;— Ты хотел бы иметь дракона?;Could there really be piles of wizard gold buried miles beneath them?
148;— А письмо-то у тебя с собой, Гарри?;Were there really shops that sold spell books and broomsticks?
149;— И это всё можно купить в Лондоне?;Might this not all be some huge joke that the Dursleys had cooked up?
150;Ну разве может находиться под землей волшебный банк, набитый золотом?;"Everyone seemed to know Hagrid; they waved and smiled at him, and the bartender reached for a glass, saying, ""The usual, Hagrid?"""
151;Разве существуют магазины, которые продают книги заклинаний и метлы?;"""Good Lord,"" said the bartender, peering at Harry, ""is this -- can this be --?"""
152;А может, все это ужасная шутка, которую придумали Дурсли?;"""Did you hear that?"
153;Очевидно, Хагрида здесь все знали — ему улыбались и махали руками, а бармен потянулся за стаканом со словами:  — Тебе как обычно, Хагрид?;"""What sort of magic do you teach, Professor Quirrell?"""
154;— Вы слышали?;"""N-not that you n-need it, eh, P-P-Potter?"""
155;— Какой раздел магии вы преподаете, профессор Квиррелл?;"""You'll be g-getting all your equipment, I suppose?"
156;— Н-не то чтобы вам это было н-нужно, верно, П-п-поттер?;"""Told yeh, didn't I?"
157;— Как я п-понимаю, вы решили п-при-обрести все н-необходимое для школы?;"""Is he always that nervous?"""
158;— Ну, что я тебе говорил?;"Scared of the students, scared of his own subject now, where's me umbrella?"""
159;— Он всегда такой нервный?;Vampires?
160;Учеников боится, предмета своего боится… Так, куда это мой зонт подевался?;Hags?
161;Вампиры?;"""You have his key, Sir?"""
162;Ведьмы?;"""What's the You-Know-What in vault seven hundred and thirteen?"""
163;— У вас есть его ключ, сэр?;"I never know,"" Harry called to Hagrid over the noise of the cart, ""what's the difference between a stalagmite and a stalactite?"""
164;— А что такое это Вы-Знаете-Что в сейфе семьсот тринадцать?;How often had they complained how much Harry cost them to keep?
165;Сколько раз они жаловались, что Гарри им дорого обходится?;"""Vault seven hundred and thirteen now, please, and can we go more slowly?"""
166;— Один галлеон — это семнадцать серебряных сиклей, а один сикль — двадцать девять кнатов, это просто, да?;"""How often do you check to see if anyone's inside?"""
167;— А теперь нам нужен сейф семьсот тринадцать… и… э-э… пожалуйста, нельзя ли помедленнее?;"""Listen, Harry, would yeh mind if I slipped off fer a pick-me-up in the Leaky Cauldron?"
168;— А как часто вы проверяете, нет ли там кого внутри?;"""Hogwarts, clear?"""
169;— Слушай, Гарри, ты… э-э… не против, если я заскочу в «Дырявый котел» и пропущу стаканчик?;"""Hello,"" said the boy, ""Hogwarts, too?"""
170;— Едем учиться в Хогвартс?;"""Have you got your own broom?"""
171;— Тоже в Хогвартс?;"""Play Quidditch at all?"""
172;— А у тебя есть своя собственная метла?;"Know what house you'll be in yet?"""
173;— А в квиддич играешь?;"""Well, no one really knows until they get there, do they, but I know I'll be in Slytherin, all our family have been -- imagine being in Hufflepuff, I think I'd leave, wouldn't you?"""
174;Ты уже знаешь, на каком будешь факультете?;"He's a sort of servant, isn't he?"""
175;А представь, если определят в Пуффендуй, тогда я сразу уйду из школы, а ты?;"""Do you?"""
176;Он там что-то вроде прислуги, да?;"""Why is he with you?"
177;— Вот как?;"Where are your parents?"""
178;— А почему он с тобой?;"""But they were our kind, weren't they?"""
179;Где твои родители?;"""I really don't think they should let the other sort in, do you?"
180;— Но они были из наших или нет?;"What's your surname, anyway?"""
181;Кстати, а как твоя фамилия?;"""What's up?"""
182;— Чой-то случилось?;"When they had left the shop, he said, ""Hagrid, what's Quidditch?"""
183;— Хагрид, а что такое квиддич?;"""So what is Quidditch?"""
184;— Черт меня подери, Гарри, разве можно не знать, что такое квиддич?!;"""And what are Slytherin and Hufflepuff?"""
185;Да вот хоть маму твою возьми и сестру ее…  — Ты мне так и не ответил: что такое квиддич?;"""Vol-, sorry - You-Know-Who was at Hogwarts?"""
186;В него в воздухе играют, на метлах, и там четыре мяча… ну… сложно это, в общем, тебе все объяснять, правила и все такое…  — А что такое Слизерин и Пуффендуй?;"How nice to see you again.... Oak, sixteen inches, rather bendy, wasn't it?"""
187;— Волан… извини… Ты-Знаешь-Кто учился в Хогвартсе?;"But I suppose they snapped it in half when you got expelled?"""
188;Рад видеть вас снова… Дуб, шестнадцать дюймов, очень подвижная, не так ли?;"""But you don't use them?"""
189;Но, как я понимаю, ее переломили надвое, когда вас отчислили?;"""Which is your wand arm?"""
190;— Надеюсь, вы их не используете?;"""Tricky customer, eh?"
191;— Какой рукой вы держите палочку?;"Well, well, well... how curious... how very curious... ""  He put Harry's wand back into its box and wrapped it in brown paper, still muttering, ""Curious... curious..  ""Sorry,"" said Harry, ""but what's curious?"""
192;— Я?..;"""You all right, Harry?"
193;— А вы необычный клиент, мистер Поттер, не так ли?;How can they expect great things?
194;Не волнуйтесь, где-то здесь у меня лежит то, что вам нужно… а кстати… действительно, почему бы и нет?;"""Er -- Uncle Vernon?"""
195;Так, так, так… очень любопытно… чрезвычайно любопытно…  Мистер Олливандер уложил палочку обратно в коробку и начал упаковывать ее в коричневую бумагу, продолжая бормотать:  — Любопытно… очень любопытно…  — Извините, — спросил Гарри, — что именно кажется вам любопытным?;"""Would it be all right if you gave me a lift?"""
196;Я ведь вам говорил, что палочка выбирает волшебника, а не наоборот?;"Magic carpets all got punctures, have they?"""
197;— С тобой все нормально, Гарри?;"""Where is this school, anyway?"""
198;Как они могут ожидать от меня чего-то великого?;"""Platform what?"""
199;— Вы не могли бы меня отвезти?;"""Why are you going to London?"""
200;А что, все волшебные ковры-самолеты съедены молью?;"Your platform should be somewhere in the middle, but they don't seem to have built it yet, do they?"""
201;— А где, кстати, находится эта школа?;What on earth was he going to do?
202;— Какой платформы?;"""Now, what's the platform number?"""
203;— А зачем вам в Лондон?;"""Honestly, woman, you call yourself our mother?"
204;Но у кого?;"CarA you tell I'm George?"""
205;— Так, какой у вас номер платформы?;His twin called after him to hurry up, and he must have done so, because a second later, he had gone -- but how had he done it?
206;— Скажи мне честно, женщина, как ты можешь называть себя нашей матерью?;"""First time at Hogwarts?"
207;Разве ты не видишь, что я — Джордж?;"""The thing is -- the thing is, I don't know how to --""  ""How to get onto the platform?"""
208;И через мгновение Фред исчез из виду, а Гарри никак не мог понять, как ему это удалось?;"""Want a hand?"""
209;— Первый раз едешь в Хогвартс?;"""What's that?"""
210;— Помощь нужна?;"""Aren't you?"""
211;— Что это у тебя?;"""What?"""
212;— Это ведь ты?;"""Fred?"
213;— Кто — я?;George?
214;— Гарри Поттер — это ты?;"Are you there?"""
215;— Фред?;"""Aaah, has ickle Ronnie got somefink on his nosie?"""
216;Джордж?;"""Where's Percy?"""
217;Вы здесь?;"""I'm up front, the prefects have got two compartments to themselves --""  ""Oh, are you a prefect, Percy?"""
218;— А где Перси?;"""How come Percy gets new robes, anyway?"""
219;— Я там, в самом начале поезда, — там выделили вагон для старост…  — Так ты теперь староста, Перси?;"If I get one more owl telling me you've -- you've blown up a toilet or --""  ""Blown up a toilet?"
220;— А почему это, собственно, у Перси новая форма, а у нас старая?;"""Hey, Mom, guess what?"
221;Если я еще раз получу сову с известием о том, что вы что-то натворили — взорвали туалет или…  — Взорвали туалет?;"Guess who we just met on the train?"""
222;— А может, попробуем?;"""You know that black-haired boy who was near us in the station?"
223;— Угадай, кого мы только что встретили в поезде?;"Know who he is?"""
224;— Помнишь черноволосого мальчишку, который стоял рядом с нами на вокзале?;"""Who?"""
225;— Знаешь, кто он?;Is he really, Fred?
226;— Кто же?;"How do you know?"""
227;— Ой, мам, можно, я залезу в вагон и посмотрю на него?;"""Never mind that, do you think he remembers what You-Know-Who looks like?"""
228;Так это действительно он, Фред?;"""Anyone sitting there?"""
229;Откуда ты это знаешь?;"""Harry,"" said the other twin, ""did we introduce ourselves?"
230;— Я все еще думала: почему его никто не провожает?;"""Are you really Harry Potter?"""
231;— Как ты думаешь, он помнит, как выглядит Ты-Знаешь-Кто?;"""Nothing?"""
232;Неужели ему нужно напоминать об этом именно сегодня?;"""Are all your family wizards?"""
233;— Здесь свободно?;"""What are they like?"""
234;— Ты действительно Гарри Поттер?;"""What?"""
235;— Совсем ничего не помнишь?;See what I mean?
236;— Ну вообще ничего?;"Around half past twelve there was a great clattering outside in the corridor and a smiling, dimpled woman slid back their door and said, ""Anything off the cart, dears?"""
237;— У тебя в семье все волшебники?;"""Hungry, are you?"""
238;— Какие они вообще?;"""What are these?"""
239;— Ты что?;"""They're not really frogs, are they?"""
240;Теперь ты понял, о чем я говорил?;"""What?"""
241;— Хотите чем-нибудь перекусить, ребята?;"""Can I have a frog?"
242;— Ты такой голодный?;No, I've got Morgana again and I've got about six of her... do you want it?
243;— А это что?;"""Do they?"
244;— Это ведь не настоящие лягушки, правда?;"What, they don't move at all?"""
245;— Будешь есть, вкладыш не выбрасывай — у меня Агриппы не хватает…  — Что?;"""Bleaaargh -- see?"
246;Может, возьмешь и начнешь собирать коллекцию?;"""Sorry,"" he said, ""but have you seen a toad at all?"""
247;— Кстати, ты знаешь, что у маглов, если человека фотографируют, то он никуда не исчезает с фотографии?;"""Has anyone seen a toad?"
248;— Да ты что?;"""Oh, are you doing magic?"
249;— Что, они вообще не двигаются?;"""Are you sure that's a real spell?"""
250;— Вы тут не видели жабу?;"""Well, it's not very good, is it?"
251;— Никто не видел жабу?;"""Are you really?"""
252;Так вы ее видели или нет?;"""Am I?"""
253;— О, ты показываешь чудеса?;"""Do either of you know what house you'll be in?"
254;— Ты уверен, что это правильное заклинание?;"""What house are your brothers in?"""
255;— Что-то оно не действует, ты не заметил?;"""That's the house Vol-, I mean, You-Know-Who was in?"""
256;Да, кстати, меня зовут Гермиона Грэйнджер, а вас?;"""So what do your oldest brothers do now that they've left, anyway?"""
257;— Ты действительно Гарри Поттер?;"""Did you hear about  Gringotts?"
258;— Да?;"""Really?"
259;— Господи, неужели ты не знал?;"What happened to them?"""
260;Да, вы не знаете, на какой факультет попадете?;"""What's your Quidditch team?"""
261;— А на каком факультете учатся твои братья?;"""Is it true?"""
262;— Это тот факультет, где учился Волан… Ты-Знаешь-Кто?;"So it's you, is it?"""
263;— А твои старшие братья, которые уже кончили школу, они чем сейчас занимаются?;"""Think my name's funny, do you?"
264;— Ты слышал о «Гринготтсе»?;"""Oh, you're going to fight us, are you?"""
265;А что там на днях случилось, слышал?;"""But we don't feet like leaving, do we, boys?"
266;— На самом деле?;"""What has been going on?"""
267;И что случилось с грабителями?;"""You've met Malfoy before?"""
268;— Ты за какую команду болеешь?;"""Can we help you with something?"""
269;— Это правда?;You haven't been fighting, have you?
270;Значит, это ты, верно?;"""Would you mind leaving while we change?"""
271;— Мое имя тебе кажется смешным, не так ли?;"""And you've got dirt on your nose, by the way, did you know?"""
272;— О, вы собираетесь с нами драться, не так ли?;"All right there, Harry?"""
273;— О, мы вовсе не собираемся уходить, правда, ребята?;"""C'mon, follow me -- any more firs' years?"
274;— Что тут у вас происходит?;"""Everyone in?"""
275;— Ты раньше встречался с Малфоем?;"Is this your toad?"""
276;Гермиона все еще стояла на пороге купе, и Рон повернулся к ней:  — Мы можем тебе чем-нибудь помочь?;"""Everyone here?"
277;А вы тут что, дрались?;"You there, still got yer toad?"""
278;— Может быть, ты выйдешь и дашь нам переодеться?;"""How exactly do they sort us into houses?"""
279;— А у тебя, между прочим, грязь на носу, ты знаешь?;A test?
280;Эй, Гарри, у тебя все в порядке?;In front of the whole school?
281;— Так, все собрались?;But he didn't know any magic yet -- what on earth would he have to do?
282;— Расселись?;"""What the --?"""
283;— Это твоя жаба?;"What looked like a fat little monk was saying: ""Forgive and forget, I say, we ought to give him a second chance --""  ""My dear Friar, haven't we given Peeves all the chances he deserves?"
284;— Все здесь?;"He gives us all a bad name and you know, he's not really even a ghost -- I say, what are you all doing here?"""
285;— Эй, ты не потерял еще жабу?;"""About to be Sorted, I suppose?"""
286;— А как будет проходить этот отбор?;What if he wasn't chosen at all?
287;Испытания?;What if he just sat there with the hat over his eyes for ages, until Professor McGonagall jerked it off his head and said there had obviously been a mistake and he'd better get back on the train?
288;Перед всей школой?;"""Potter, did she say?"""
289;И что же он в таком случае будет делать?;"The Harry Potter?"""
290;— Что?..;"So where shall I put you?"""
291;— Я считаю, что мы просто обязаны дать ему еще один шанс…  — Мой дорогой Проповедник, разве мы не предоставили Пивзу больше шансов, чем он того заслужил?;"""Not Slytherin, eh?"""
292;— Эй, а вы что здесь делаете?;"""Are you sure?"
293;— Ждете отбора, я полагаю?;You could be great, you know, it's all here in your head, and Slytherin will help you on the way to greatness, no doubt about that -- no?
294;«Интересно, зачем она здесь?;"""Is he -- a bit mad?"""
295;— Может быть, надо попытаться достать из нее кролика, как это делают фокусники в цирке?»  Он огляделся, заметив, что все собравшиеся неотрывно смотрят на Шляпу, и тоже начал внимательно ее разглядывать.;"""Mad?"""
296;— Значит, каждому из нас нужно будет всего лишь ее примерить?;"Potatoes, Harry?"""
