,1,2,3,4,6,7
83,уклонообразующий,8,уклонообразующий,7,уклонообразующий,6
84,золотистые,5,золотистые,4,золотистые,4
85,юношеский,4,юношеский,4,юношеский,4
86,эксплуатационный,7,эксплуатационный,7,эксплуатационный,5
87,ламинирование,7,ламинирование,6,ламинирование,6
88,бактериологические,9,бактериологические,7,бактериологические,7
89,индивидуальный,6,индивидуальный,6,индивидуальный,5
90,самостоятельности,7,самостоятельности,6,самостоятельности,6
91,стул,1,стул,1,стул,1
92,юбилей,3,юбилей,3,юбилей,3
93,целесообразностью,7,целесообразностью,7,целесообразностью,6
94,уведомление,6,уведомление,5,уведомление,5
95,яд,1,яд,1,яд,1
96,макроэкономическое,9,макроэкономическое,7,макроэкономическое,7
97,магнитофон,4,магнитофон,4,магнитофон,4
98,Эдуард,3,Эдуард,3,Эдуард,2
99,Водоплавающая,7,Водоплавающая,6,Водоплавающая,5
100,малооплачиваемая,9,малооплачиваемая,7,малооплачиваемая,6
101,доказательство,5,доказательство,5,доказательство,5
102,интересно,4,интересно,4,интересно,4
103,перераспределение,8,перераспределение,7,перераспределение,7
104,фирма,2,фирма,2,фирма,2
105,фотосинтезирующая,9,фотосинтезирующая,7,фотосинтезирующая,7
106,большой,2,большой,2,большой,2
107,история,4,история,3,история,3
108,ноутбук,3,ноутбук,2,ноутбук,2
109,ёж,1,ёж,1,ёж,1
110,аристократический,7,аристократический,7,аристократический,7
111,змей,1,змей,1,змей,1
112,термопреобразователь,8,термопреобразователь,7,термопреобразователь,7
113,майка,2,майка,2,майка,2
114,энергосберегающие,9,энергосберегающие,7,энергосберегающие,7
115,щу,1,щу,1,щу,1
116,рождения,4,рождения,4,рождения,3
117,сосна,2,сосна,2,сосна,2
118,шампанское,4,шампанское,3,шампанское,3
119,царапается,5,царапается,5,царапается,4
120,гитара,3,гитара,3,гитара,3
121,муравейник,4,муравейник,4,муравейник,4
122,Ютуб,2,Ютуб,2,Ютуб,2
123,геркулес,3,геркулес,3,геркулес,3
124,являющаяся,6,являющаяся,5,являющаяся,4
125,человеколюбивым,7,человеколюбивым,6,человеколюбивым,7
126,Юрий,2,Юрий,2,Юрий,2
127,распространенное,6,распространенное,5,распространенное,5
128,Циолковского,5,Циолковского,4,Циолковского,4
129,центр,1,центр,1,центр,1
130,индивидуальные,7,индивидуальные,6,индивидуальные,5
131,газонепроницаемые,9,газонепроницаемые,7,газонепроницаемые,7
132,коммерциализации,8,коммерциализации,7,коммерциализации,6
133,благотворительность,6,благотворительность,6,благотворительность,6
134,удостоверение,7,удостоверение,5,удостоверение,6
135,цивилизация,6,цивилизация,5,цивилизация,5
136,фильм,1,фильм,1,фильм,1
137,рассказ,2,рассказ,2,рассказ,2
138,употребления,6,употребления,5,употребления,5
139,царь,1,царь,1,царь,1
140,тополь,2,тополь,2,тополь,2
141,юристконсульта,5,юристконсульта,6,юристконсульта,5
142,ираианяипапа,8,ираианяипапа,6,ираианяипапа,5
143,чёрные,3,чёрные,2,чёрные,2
144,нитка,2,нитка,2,нитка,2
145,чудесные,4,чудесные,3,чудесные,3
146,зоологические,7,зоологические,6,зоологические,5
147,юла,2,юла,2,юла,2
148,общечеловеческие,8,общечеловеческие,7,общечеловеческие,7
149,многофункциональный,7,многофункциональный,7,многофункциональный,6
150,тюль,1,тюль,1,тюль,1
151,автомобилестроение,9,автомобилестроение,8,автомобилестроение,7
152,цапля,2,цапля,2,цапля,2
153,шестидесятничества,7,шестидесятничества,7,шестидесятничества,7
154,черёмуха,4,черёмуха,3,черёмуха,4
155,смородина,4,смородина,4,смородина,4
156,квалифицированные,8,квалифицированные,7,квалифицированные,7
157,конкурентоспособными,8,конкурентоспособными,7,конкурентоспособными,8
158,жаворонок,4,жаворонок,4,жаворонок,4
159,астра,2,астра,2,астра,2
160,йорж,1,йорж,1,йорж,1
161,ус,1,ус,1,ус,1
162,юнга,2,юнга,2,юнга,2
163,валенки,3,валенки,3,валенки,3
164,индейка,3,индейка,3,индейка,3
165,лимитирующее,7,лимитирующее,6,лимитирующее,5
166,улица,3,улица,3,улица,3
167,экскурсия,4,экскурсия,4,экскурсия,3
168,ресторан,3,ресторан,3,ресторан,3
169,фрукты,2,фрукты,2,фрукты,2
170,взаимоотношениях,8,взаимоотношениях,6,взаимоотношениях,5
171,заливаются,5,заливаются,4,заливаются,4
172,южноамериканка,7,южноамериканка,6,южноамериканка,6
173,разрабытываемое,8,разрабытываемое,6,разрабытываемое,6
174,ландыш,2,ландыш,2,ландыш,2
175,бактериоуловитель,8,бактериоуловитель,7,бактериоуловитель,6
176,многонациональная,8,многонациональная,7,многонациональная,6
177,лес,1,лес,1,лес,1
178,йотта,2,йотта,2,йотта,2
179,Екатеринбург,5,Екатеринбург,5,Екатеринбург,5
180,объяснение,5,объяснение,4,объяснение,4
181,целебные,4,целебные,3,целебные,3
182,экран,2,экран,2,экран,2
183,шустрые,3,шустрые,2,шустрые,2
184,коллекционный,5,коллекционный,5,коллекционный,4
185,журавль,2,журавль,2,журавль,2
186,угольки,3,угольки,3,угольки,3
187,детство,2,детство,2,детство,2
188,целесообразно,6,целесообразно,5,целесообразно,5
189,чередующиеся,7,чередующиеся,5,чередующиеся,5
190,характеризующая,8,характеризующая,6,характеризующая,6
191,биофармацевтический,8,биофармацевтический,7,биофармацевтический,7
192,Классификация,6,Классификация,5,Классификация,5
193,телосложение,6,телосложение,5,телосложение,5
194,филологический,6,филологический,6,филологический,6
195,четырнадцатилетие,8,четырнадцатилетие,7,четырнадцатилетие,7
196,колокольчик,4,колокольчик,4,колокольчик,4
197,транспортирования,7,транспортирования,6,транспортирования,6
198,чьи,1,чьи,1,чьи,1
199,логарифмирования,8,логарифмирования,7,логарифмирования,7
200,жёрдочка,3,жёрдочка,3,жёрдочка,3
201,бензиновый,4,бензиновый,4,бензиновый,4
202,юстирование,6,юстирование,5,юстирование,5
203,оборотоспособности,8,оборотоспособности,7,оборотоспособности,8
204,цыплёнок,3,цыплёнок,3,цыплёнок,3
205,листья,2,листья,2,листья,2
206,психоневрологического,9,психоневрологического,8,психоневрологического,9
207,юмористическим,6,юмористическим,6,юмористическим,6
208,экскаваторщик,5,экскаваторщик,5,экскаваторщик,5
209,бровь,1,бровь,1,бровь,1
210,юмористического,7,юмористического,6,юмористического,7
211,ад,1,ад,1,ад,1
212,исследование,6,исследование,5,исследование,5
213,щурится,3,щурится,3,щурится,3
214,злой,1,злой,1,злой,1
215,учитель,3,учитель,3,учитель,3
216,гости,2,гости,2,гости,2
217,произведения,6,произведения,5,произведения,4
218,молния,3,молния,3,молния,2
219,щип,1,щип,1,щип,1
220,гиппопотам,4,гиппопотам,4,гиппопотам,4
221,метеорологических,8,метеорологических,7,метеорологических,7
222,калейдоскоп,4,калейдоскоп,5,калейдоскоп,4
223,хорёк,2,хорёк,2,хорёк,2
224,разливается,5,разливается,4,разливается,4
225,языческие,5,языческие,4,языческие,4
226,анаморфирование,8,анаморфирование,7,анаморфирование,7
227,завтра,2,завтра,2,завтра,2
228,освидетельствования,8,освидетельствования,7,освидетельствования,7
229,Владимировна,5,Владимировна,5,Владимировна,5
230,широковещательность,7,широковещательность,7,широковещательность,7
231,электроэнергии,7,электроэнергии,6,электроэнергии,5
232,желание,4,желание,4,желание,3
233,ямб,1,ямб,1,ямб,1
234,самосовершенствоваться,8,самосовершенствоваться,8,самосовершенствоваться,8
235,цилиндрический,5,цилиндрический,5,цилиндрический,5
236,ей,1,ей,1,ей,1
237,попугаи,4,попугаи,3,попугаи,3
238,неодушевленный,6,неодушевленный,5,неодушевленный,5
239,ухо,2,ухо,2,ухо,2
240,рот,1,рот,1,рот,1
241,кораблестроители,7,кораблестроители,7,кораблестроители,6
242,яркий,2,яркий,2,яркий,2
243,телекоммуникационной,9,телекоммуникационной,8,телекоммуникационной,8
244,Арш,1,Арш,1,Арш,1
245,щупальца,3,щупальца,3,щупальца,3
246,яма,2,яма,2,яма,2
247,чашка,2,чашка,2,чашка,2
248,щепка,2,щепка,2,щепка,2
249,тень,1,тень,1,тень,1
250,забияка,4,забияка,4,забияка,3
251,концентрация,5,концентрация,5,концентрация,4
252,Йокагама,4,Йокагама,4,Йокагама,4
253,энергосберегающий,8,энергосберегающий,7,энергосберегающий,7
254,сказуемое,5,сказуемое,4,сказуемое,3
255,кондиционер,5,кондиционер,5,кондиционер,4
256,коэффициентов,6,коэффициентов,5,коэффициентов,4
257,труднообрабатываемых,9,труднообрабатываемых,7,труднообрабатываемых,7
258,холст,1,холст,1,холст,1
259,материаловедческое,9,материаловедческое,7,материаловедческое,7
260,хозяина,4,хозяина,4,хозяина,3
261,осина,3,осина,3,осина,3
262,лингвистика,4,лингвистика,4,лингвистика,4
263,факел,2,факел,2,факел,2
264,равнодействующую,7,равнодействующую,6,равнодействующую,5
265,Инна,2,Инна,2,Инна,2
266,послеоперационные,9,послеоперационные,7,послеоперационные,6
267,юридическая,6,юридическая,5,юридическая,5
268,шумоподавление,7,шумоподавление,6,шумоподавление,6
269,жёлудь,2,жёлудь,2,жёлудь,2
270,пресмыкающиеся,7,пресмыкающиеся,5,пресмыкающиеся,5
271,третьяковская,5,третьяковская,5,третьяковская,4
272,высокоэнергетических,9,высокоэнергетических,7,высокоэнергетических,8
273,тёплая,3,тёплая,2,тёплая,2
274,регламентирующими,8,регламентирующими,6,регламентирующими,7
275,биотехнологического,9,биотехнологического,7,биотехнологического,8
276,комедия,4,комедия,3,комедия,3
277,фокус,2,фокус,2,фокус,2
278,фотографирующиеся,9,фотографирующиеся,6,фотографирующиеся,7
279,обслуживание,6,обслуживание,5,обслуживание,5
280,заинтересованность,7,заинтересованность,6,заинтересованность,6
281,одиночество,5,одиночество,4,одиночество,5
282,зубр,1,зубр,1,зубр,1
283,жемчужина,4,жемчужина,3,жемчужина,4
284,культурноисторическими,9,культурноисторическими,8,культурноисторическими,8
285,черносмородиновое,8,черносмородиновое,7,черносмородиновое,7
286,чиж,1,чиж,1,чиж,1
287,южноамериканец,7,южноамериканец,6,южноамериканец,6
288,Великобритания,7,Великобритания,6,Великобритания,6
289,гидроизолирующие,9,гидроизолирующие,7,гидроизолирующие,6
290,четырехугольнике,7,четырехугольнике,6,четырехугольнике,7
291,украшения,5,украшения,4,украшения,4
292,галстук,2,галстук,2,галстук,2
293,путешествие,5,путешествие,4,путешествие,4
294,шишки,2,шишки,2,шишки,2
295,головокружительным,7,головокружительным,7,головокружительным,7
296,замерзающего,6,замерзающего,5,замерзающего,5
297,муниципального,6,муниципального,5,муниципального,6
298,характеристическими,8,характеристическими,7,характеристическими,8
299,объезд,2,объезд,2,объезд,2
300,щиколотка,4,щиколотка,4,щиколотка,4
301,хореографические,8,хореографические,6,хореографические,6
302,рассказывает,5,рассказывает,4,рассказывает,4
303,заявление,5,заявление,4,заявление,3
304,Гагарина,4,Гагарина,4,Гагарина,4
305,деревня,3,деревня,3,деревня,3
306,скорая,3,скорая,3,скорая,2
307,Йемен,2,Йемен,2,Йемен,2
308,жизнедеятельность,6,жизнедеятельность,6,жизнедеятельность,5
309,испугала,4,испугала,3,испугала,4
310,воробьиное,5,воробьиное,4,воробьиное,4
311,администрирование,8,администрирование,7,администрирование,7
312,олимпиада,5,олимпиада,4,олимпиада,4
313,шарикоподшипник,6,шарикоподшипник,6,шарикоподшипник,6
314,комбинированный,6,комбинированный,5,комбинированный,6
315,очень,2,очень,2,очень,2
316,Ил,1,Ил,1,Ил,1
317,трость,1,трость,1,трость,1
318,документооборота,8,документооборота,6,документооборота,7
319,носорог,3,носорог,3,носорог,3
320,Америка,4,Америка,4,Америка,4
321,могущественный,5,могущественный,5,могущественный,5
322,ломоносовская,6,ломоносовская,5,ломоносовская,5
323,церемония,5,церемония,4,церемония,4
324,ультрафиолетового,8,ультрафиолетового,7,ультрафиолетового,7
325,здравствуй,2,здравствуй,2,здравствуй,2
326,сковорода,4,сковорода,4,сковорода,4
327,художественной,5,художественной,5,художественной,5
328,эксплуатационная,8,эксплуатационная,7,эксплуатационная,5
329,ёжился,3,ёжился,2,ёжился,3
330,Элла,2,Элла,2,Элла,2
331,оперуполномоченного,9,оперуполномоченного,7,оперуполномоченного,9
332,юриспруденция,6,юриспруденция,5,юриспруденция,5
333,тепломеханического,8,тепломеханического,7,тепломеханического,8
334,соловьи,3,соловьи,3,соловьи,3
335,характеризовалась,7,характеризовалась,6,характеризовалась,7
336,ай,1,ай,1,ай,1
337,ножницами,4,ножницами,3,ножницами,4
338,осень,2,осень,2,осень,2
339,размышления,5,размышления,4,размышления,4
340,лиловые,4,лиловые,3,лиловые,3
341,его,2,его,2,его,2
342,энциклопедия,6,энциклопедия,5,энциклопедия,5
343,чересполосица,6,чересполосица,5,чересполосица,6
344,классная,3,классная,3,классная,2
345,март,1,март,1,март,1
346,чудеса,3,чудеса,3,чудеса,3
347,трудолюбивый,5,трудолюбивый,5,трудолюбивый,5
348,фортуна,3,фортуна,3,фортуна,3
349,карандаши,4,карандаши,4,карандаши,4
350,шиповник,3,шиповник,3,шиповник,3
351,жизнеобеспечения,8,жизнеобеспечения,7,жизнеобеспечения,6
352,ест,1,ест,1,ест,1
353,инициатива,6,инициатива,5,инициатива,5
354,ик,1,ик,1,ик,1
355,производительности,7,производительности,6,производительности,6
356,хлопья,2,хлопья,2,хлопья,2
357,металлический,5,металлический,5,металлический,5
358,рельсы,2,рельсы,2,рельсы,2
359,окно,2,окно,2,окно,2
360,заимствованные,6,заимствованные,5,заимствованные,4
361,йотированный,5,йотированный,5,йотированный,5
362,варенье,3,варенье,3,варенье,3
363,являющихся,5,являющихся,4,являющихся,4
364,лайка,2,лайка,2,лайка,2
365,художественного,6,художественного,5,художественного,6
366,щелк,1,щелк,1,щелк,1
367,деревьев,3,деревьев,3,деревьев,3
368,лиственница,4,лиственница,4,лиственница,4
369,арбуз,2,арбуз,2,арбуз,2
370,воочию,4,воочию,3,воочию,2
371,возникновение,6,возникновение,5,возникновение,5
372,удовлетворительное,8,удовлетворительное,7,удовлетворительное,7
373,соответствующего,7,соответствующего,6,соответствующего,5
374,хозяйство,3,хозяйство,3,хозяйство,3
375,серебряные,5,серебряные,4,серебряные,4
376,физиологическим,7,физиологическим,6,физиологическим,6
377,микробиологическая,9,микробиологическая,7,микробиологическая,7
378,функционированное,8,функционированное,6,функционированное,6
379,ёлкин,2,ёлкин,2,ёлкин,2
380,шероховатости,6,шероховатости,5,шероховатости,6
381,интеллектуальный,6,интеллектуальный,6,интеллектуальный,5
382,хозяин,3,хозяин,3,хозяин,2
383,брат,1,брат,1,брат,1
384,шкаф,1,шкаф,1,шкаф,1
385,оружие,4,оружие,3,оружие,3
386,белочка,3,белочка,3,белочка,3
387,любознательный,5,любознательный,5,любознательный,5
388,усовершенствование,8,усовершенствование,7,усовершенствование,7
389,дифференциальные,7,дифференциальные,6,дифференциальные,5
390,многообещающая,8,многообещающая,6,многообещающая,5
391,заокеанский,5,заокеанский,5,заокеанский,3
392,Йорк,1,Йорк,1,Йорк,1
393,канализационные,8,канализационные,6,канализационные,6
394,Гастрономия,5,Гастрономия,5,Гастрономия,4
395,электроизмерительные,9,электроизмерительные,7,электроизмерительные,7
396,иллюзия,4,иллюзия,3,иллюзия,3
397,Ира,2,Ира,2,Ира,2
398,геополитического,8,геополитического,6,геополитического,7
399,юмористическое,7,юмористическое,5,юмористическое,6
400,флот,1,флот,1,флот,1
401,Щелкунчики,4,Щелкунчики,4,Щелкунчики,4
402,пять,1,пять,1,пять,1
403,величавый,4,величавый,4,величавый,4
404,эпидемиология,8,эпидемиология,6,эпидемиология,6
405,цепь,1,цепь,1,цепь,1
406,девочки,3,девочки,2,девочки,3
407,жёлтые,3,жёлтые,2,жёлтые,2
408,распространение,6,распространение,5,распространение,5
409,экология,5,экология,4,экология,4
410,контрреволюционный,7,контрреволюционный,7,контрреволюционный,6
411,биография,5,биография,4,биография,3
412,экономика,5,экономика,4,экономика,5
413,фамилия,4,фамилия,3,фамилия,3
414,ситуация,5,ситуация,4,ситуация,3
415,общеобразовательное,9,общеобразовательное,7,общеобразовательное,7
416,ябеда,3,ябеда,3,ябеда,3
417,четырьмястами,5,четырьмястами,5,четырьмястами,5
418,шахтостроительного,7,шахтостроительного,7,шахтостроительного,6
419,люк,1,люк,1,люк,1
420,блокообрабатывающий,9,блокообрабатывающий,7,блокообрабатывающий,7
421,царапина,4,царапина,4,царапина,4
422,электричка,4,электричка,4,электричка,4
423,самореализация,8,самореализация,6,самореализация,6
424,цвет,1,цвет,1,цвет,1
425,тщеславие,4,тщеславие,4,тщеславие,3
426,азбука,3,азбука,3,азбука,3
427,большая,3,большая,3,большая,2
428,белоснежная,5,белоснежная,4,белоснежная,4
429,распределение,6,распределение,5,распределение,5
430,воробьиный,4,воробьиный,4,воробьиный,4
431,якорь,2,якорь,2,якорь,2
432,воскресенье,4,воскресенье,4,воскресенье,4
433,красный,2,красный,2,красный,2
434,физиология,6,физиология,5,физиология,4
435,рационализированной,9,рационализированной,7,рационализированной,8
436,единообразия,7,единообразия,6,единообразия,5
437,война,2,война,2,война,2
438,цветочная,4,цветочная,3,цветочная,3
439,мак,1,мак,1,мак,1
440,кастрюля,3,кастрюля,3,кастрюля,3
441,лесообрабатывающей,9,лесообрабатывающей,7,лесообрабатывающей,7
442,исторический,5,исторический,5,исторический,5
443,жевачка,3,жевачка,3,жевачка,3
444,стихотворение,6,стихотворение,5,стихотворение,5
445,функциональные,6,функциональные,5,функциональные,4
446,высказывание,6,высказывание,5,высказывание,5
447,употребление,6,употребление,5,употребление,5
448,щупание,4,щупание,3,щупание,3
449,юркий,2,юркий,2,юркий,2
450,здание,3,здание,3,здание,2
451,завораживающая,8,завораживающая,6,завораживающая,6
452,характеризовать,6,характеризовать,6,характеризовать,6
453,однопараметрическую,9,однопараметрическую,7,однопараметрическую,8
454,Украина,4,Украина,3,Украина,3
455,школа,2,школа,2,школа,2
456,Эльф,1,Эльф,1,Эльф,1
457,цетрализованная,7,цетрализованная,6,цетрализованная,6
458,свёкла,2,свёкла,2,свёкла,2
459,апельсиновый,5,апельсиновый,5,апельсиновый,5
460,счастливый,3,счастливый,3,счастливый,3
461,биологическая,7,биологическая,5,биологическая,5
462,штабелирование,7,штабелирование,6,штабелирование,6
463,Обозначающие,7,Обозначающие,5,Обозначающие,5
464,физиотерапия,7,физиотерапия,5,физиотерапия,5
465,жать,1,жать,1,жать,1
466,ждать,1,ждать,1,ждать,1
467,удовлетворяющие,8,удовлетворяющие,6,удовлетворяющие,6
468,достопримечательность,7,достопримечательность,7,достопримечательность,7
469,иль,1,иль,1,иль,1
470,шаромоделирование,9,шаромоделирование,7,шаромоделирование,8
471,оранжевый,4,оранжевый,3,оранжевый,4
472,электродинамический,8,электродинамический,7,электродинамический,8
473,самопожертвование,8,самопожертвование,6,самопожертвование,7
474,территория,5,территория,4,территория,4
475,изготавливается,7,изготавливается,5,изготавливается,6
476,Дюймовочка,4,Дюймовочка,4,Дюймовочка,4
477,майский,2,майский,2,майский,2
478,заводоуправление,8,заводоуправление,7,заводоуправление,6
479,ученик,3,ученик,3,ученик,3
480,лекарственные,5,лекарственные,4,лекарственные,4
481,характеристика,6,характеристика,5,характеристика,6
482,врач,1,врач,1,врач,1
483,зелёные,4,зелёные,3,зелёные,3
484,вместе,2,вместе,2,вместе,2
485,документационные,8,документационные,6,документационные,6
486,засухоустойчивая,8,засухоустойчивая,6,засухоустойчивая,6
487,местоимение,6,местоимение,4,местоимение,4
488,орех,2,орех,2,орех,2
489,единовременный,6,единовременный,5,единовременный,6
490,млекопитающие,7,млекопитающие,5,млекопитающие,5
491,шелестит,3,шелестит,3,шелестит,3
492,завораживающее,8,завораживающее,6,завораживающее,6
493,шиномонтаж,4,шиномонтаж,4,шиномонтаж,4
494,машина,3,машина,3,машина,3
495,гидроэлектростанциями,9,гидроэлектростанциями,8,гидроэлектростанциями,7
496,ежеквартально,5,ежеквартально,5,ежеквартально,5
497,часовой,3,часовой,3,часовой,3
498,дорожки,3,дорожки,3,дорожки,3
499,неотремонтированных,8,неотремонтированных,7,неотремонтированных,7
500,Юрмала,3,Юрмала,3,Юрмала,3
501,фикция,3,фикция,2,фикция,2
502,яйцерождение,6,яйцерождение,5,яйцерождение,5
503,физиологического,8,физиологического,6,физиологического,7
504,беспокоиться,5,беспокоиться,4,беспокоиться,4
505,идеализированная,9,идеализированная,7,идеализированная,7
506,асимметрия,5,асимметрия,5,асимметрия,4
507,честь,1,честь,1,честь,1
508,муравей,3,муравей,3,муравей,3
509,характеризующимся,8,характеризующимся,6,характеризующимся,7
510,жильё,2,жильё,2,жильё,2
511,нововведение,6,нововведение,5,нововведение,5
512,необыкновенная,7,необыкновенная,6,необыкновенная,5
513,рассвет,2,рассвет,2,рассвет,2
514,Евгения,4,Евгения,4,Евгения,3
515,настоящее,5,настоящее,4,настоящее,3
516,Экологические,7,Экологические,6,Экологические,6
517,ежи,2,ежи,2,ежи,2
518,Жанна,2,Жанна,2,Жанна,2
519,администратор,5,администратор,6,администратор,5
520,единовременно,6,единовременно,6,единовременно,6
521,Юля,2,Юля,2,Юля,2
522,труд,1,труд,1,труд,1
523,юродивый,4,юродивый,4,юродивый,4
524,ёмкий,2,ёмкий,2,ёмкий,2
525,закончилось,4,закончилось,4,закончилось,4
526,кость,1,кость,1,кость,1
527,мероприятия,6,мероприятия,5,мероприятия,4
528,Хорватия,4,Хорватия,4,Хорватия,3
529,гладиолусы,5,гладиолусы,5,гладиолусы,4
530,самообследование,8,самообследование,7,самообследование,6
531,сыроежка,4,сыроежка,3,сыроежка,3
532,железнодорожное,7,железнодорожное,6,железнодорожное,6
533,зной,1,зной,1,зной,1
534,радиоприёмник,6,радиоприёмник,5,радиоприёмник,4
535,ромашка,3,ромашка,3,ромашка,3
536,демилитаризованную,9,демилитаризованную,8,демилитаризованную,8
537,крот,1,крот,1,крот,1
538,из,1,из,1,из,1
539,ель,1,ель,1,ель,1
540,геометрические,7,геометрические,6,геометрические,5
541,зарядка,3,зарядка,3,зарядка,3
542,отечество,4,отечество,4,отечество,4
543,одуванчик,4,одуванчик,3,одуванчик,4
544,идолопоклонниками,8,идолопоклонниками,7,идолопоклонниками,8
545,есть,1,есть,1,есть,1
546,январь,2,январь,2,январь,2
547,федерации,5,федерации,5,федерации,4
548,хор,1,хор,1,хор,1
549,деревьях,3,деревьях,3,деревьях,3
550,апрельский,3,апрельский,4,апрельский,3
551,книга,2,книга,2,книга,2
552,чудесное,4,чудесное,4,чудесное,3
553,рассредоточение,7,рассредоточение,6,рассредоточение,6
554,специализированный,8,специализированный,7,специализированный,7
555,електрохымзахисту,7,електрохымзахисту,7,електрохымзахисту,7
556,Иваново,4,Иваново,4,Иваново,4
557,пушистый,3,пушистый,3,пушистый,3
558,одноклассники,5,одноклассники,5,одноклассники,5
559,вьюн,1,вьюн,1,вьюн,1
560,электровибрационные,9,электровибрационные,8,электровибрационные,7
561,йэ,1,йэ,1,йэ,1
562,семья,2,семья,2,семья,2
563,Яковлевича,5,Яковлевича,5,Яковлевича,5
564,самообладание,7,самообладание,6,самообладание,5
565,лужайка,3,лужайка,3,лужайка,3
566,бассейн,2,бассейн,2,бассейн,2
567,Произведение,6,Произведение,5,Произведение,4
568,неудовлетворительный,8,неудовлетворительный,8,неудовлетворительный,7
569,наименование,7,наименование,5,наименование,5
570,муравьишка,4,муравьишка,4,муравьишка,4
571,ласточка,3,ласточка,3,ласточка,3
572,характеризующего,8,характеризующего,6,характеризующего,7
573,дождь,1,дождь,1,дождь,1
574,неудовлетворительно,8,неудовлетворительно,7,неудовлетворительно,7
575,ребята,3,ребята,3,ребята,3
576,диагностируемого,8,диагностируемого,6,диагностируемого,6
577,хлобчатобумажная,7,хлобчатобумажная,6,хлобчатобумажная,6
578,государственную,6,государственную,5,государственную,5
