,Index,Baseline,Baseline count,HU,HU count,GPT,GPT count,Baseline = HU count?,Baseline = GPT count?,HU count = GPT count?,Baseline = HU word?,Baseline = GPT word?
83,83,уклонообразующий,8,уклонообразующий,7,уклонообразующий,6,False,False,False,True,True
84,84,золотистые,5,золотистые,4,золотистые,4,False,False,True,True,True
85,85,юношеский,4,юношеский,4,юношеский,4,True,True,True,True,True
86,86,эксплуатационный,7,эксплуатационный,7,эксплуатационный,5,True,False,False,True,True
87,87,ламинирование,7,ламинирование,6,ламинирование,6,False,False,True,True,True
88,88,бактериологические,9,бактериологические,7,бактериологические,7,False,False,True,True,True
89,89,индивидуальный,6,индивидуальный,6,индивидуальный,5,True,False,False,True,True
90,90,самостоятельности,7,самостоятельности,6,самостоятельности,6,False,False,True,True,True
91,91,стул,1,стул,1,стул,1,True,True,True,True,True
92,92,юбилей,3,юбилей,3,юбилей,3,True,True,True,True,True
93,93,целесообразностью,7,целесообразностью,7,целесообразностью,6,True,False,False,True,True
94,94,уведомление,6,уведомление,5,уведомление,5,False,False,True,True,True
95,95,яд,1,яд,1,яд,1,True,True,True,True,True
96,96,макроэкономическое,9,макроэкономическое,7,макроэкономическое,7,False,False,True,True,True
97,97,магнитофон,4,магнитофон,4,магнитофон,4,True,True,True,True,True
98,98,Эдуард,3,Эдуард,3,Эдуард,2,True,False,False,True,True
99,99,Водоплавающая,7,Водоплавающая,6,Водоплавающая,5,False,False,False,True,True
100,100,малооплачиваемая,9,малооплачиваемая,7,малооплачиваемая,6,False,False,False,True,True
101,101,доказательство,5,доказательство,5,доказательство,5,True,True,True,True,True
102,102,интересно,4,интересно,4,интересно,4,True,True,True,True,True
103,103,перераспределение,8,перераспределение,7,перераспределение,7,False,False,True,True,True
104,104,фирма,2,фирма,2,фирма,2,True,True,True,True,True
105,105,фотосинтезирующая,9,фотосинтезирующая,7,фотосинтезирующая,7,False,False,True,True,True
106,106,большой,2,большой,2,большой,2,True,True,True,True,True
107,107,история,4,история,3,история,3,False,False,True,True,True
108,108,ноутбук,3,ноутбук,2,ноутбук,2,False,False,True,True,True
109,109,ёж,1,ёж,1,ёж,1,True,True,True,True,True
110,110,аристократический,7,аристократический,7,аристократический,7,True,True,True,True,True
111,111,змей,1,змей,1,змей,1,True,True,True,True,True
112,112,термопреобразователь,8,термопреобразователь,7,термопреобразователь,7,False,False,True,True,True
113,113,майка,2,майка,2,майка,2,True,True,True,True,True
114,114,энергосберегающие,9,энергосберегающие,7,энергосберегающие,7,False,False,True,True,True
115,115,щу,1,щу,1,щу,1,True,True,True,True,True
116,116,рождения,4,рождения,4,рождения,3,True,False,False,True,True
117,117,сосна,2,сосна,2,сосна,2,True,True,True,True,True
118,118,шампанское,4,шампанское,3,шампанское,3,False,False,True,True,True
119,119,царапается,5,царапается,5,царапается,4,True,False,False,True,True
120,120,гитара,3,гитара,3,гитара,3,True,True,True,True,True
121,121,муравейник,4,муравейник,4,муравейник,4,True,True,True,True,True
122,122,Ютуб,2,Ютуб,2,Ютуб,2,True,True,True,True,True
123,123,геркулес,3,геркулес,3,геркулес,3,True,True,True,True,True
124,124,являющаяся,6,являющаяся,5,являющаяся,4,False,False,False,True,True
125,125,человеколюбивым,7,человеколюбивым,6,человеколюбивым,7,False,True,False,True,True
126,126,Юрий,2,Юрий,2,Юрий,2,True,True,True,True,True
127,127,распространенное,6,распространенное,5,распространенное,5,False,False,True,True,True
128,128,Циолковского,5,Циолковского,4,Циолковского,4,False,False,True,True,True
129,129,центр,1,центр,1,центр,1,True,True,True,True,True
130,130,индивидуальные,7,индивидуальные,6,индивидуальные,5,False,False,False,True,True
131,131,газонепроницаемые,9,газонепроницаемые,7,газонепроницаемые,7,False,False,True,True,True
132,132,коммерциализации,8,коммерциализации,7,коммерциализации,6,False,False,False,True,True
133,133,благотворительность,6,благотворительность,6,благотворительность,6,True,True,True,True,True
134,134,удостоверение,7,удостоверение,5,удостоверение,6,False,False,False,True,True
135,135,цивилизация,6,цивилизация,5,цивилизация,5,False,False,True,True,True
136,136,фильм,1,фильм,1,фильм,1,True,True,True,True,True
137,137,рассказ,2,рассказ,2,рассказ,2,True,True,True,True,True
138,138,употребления,6,употребления,5,употребления,5,False,False,True,True,True
139,139,царь,1,царь,1,царь,1,True,True,True,True,True
140,140,тополь,2,тополь,2,тополь,2,True,True,True,True,True
141,141,юристконсульта,5,юристконсульта,6,юристконсульта,5,False,True,False,True,True
142,142,ираианяипапа,8,ираианяипапа,6,ираианяипапа,5,False,False,False,True,True
143,143,чёрные,3,чёрные,2,чёрные,2,False,False,True,True,True
144,144,нитка,2,нитка,2,нитка,2,True,True,True,True,True
145,145,чудесные,4,чудесные,3,чудесные,3,False,False,True,True,True
146,146,зоологические,7,зоологические,6,зоологические,5,False,False,False,True,True
147,147,юла,2,юла,2,юла,2,True,True,True,True,True
148,148,общечеловеческие,8,общечеловеческие,7,общечеловеческие,7,False,False,True,True,True
149,149,многофункциональный,7,многофункциональный,7,многофункциональный,6,True,False,False,True,True
150,150,тюль,1,тюль,1,тюль,1,True,True,True,True,True
151,151,автомобилестроение,9,автомобилестроение,8,автомобилестроение,7,False,False,False,True,True
152,152,цапля,2,цапля,2,цапля,2,True,True,True,True,True
153,153,шестидесятничества,7,шестидесятничества,7,шестидесятничества,7,True,True,True,True,True
154,154,черёмуха,4,черёмуха,3,черёмуха,4,False,True,False,True,True
155,155,смородина,4,смородина,4,смородина,4,True,True,True,True,True
156,156,квалифицированные,8,квалифицированные,7,квалифицированные,7,False,False,True,True,True
157,157,конкурентоспособными,8,конкурентоспособными,7,конкурентоспособными,8,False,True,False,True,True
158,158,жаворонок,4,жаворонок,4,жаворонок,4,True,True,True,True,True
159,159,астра,2,астра,2,астра,2,True,True,True,True,True
160,160,йорж,1,йорж,1,йорж,1,True,True,True,True,True
161,161,ус,1,ус,1,ус,1,True,True,True,True,True
162,162,юнга,2,юнга,2,юнга,2,True,True,True,True,True
163,163,валенки,3,валенки,3,валенки,3,True,True,True,True,True
164,164,индейка,3,индейка,3,индейка,3,True,True,True,True,True
165,165,лимитирующее,7,лимитирующее,6,лимитирующее,5,False,False,False,True,True
166,166,улица,3,улица,3,улица,3,True,True,True,True,True
167,167,экскурсия,4,экскурсия,4,экскурсия,3,True,False,False,True,True
168,168,ресторан,3,ресторан,3,ресторан,3,True,True,True,True,True
169,169,фрукты,2,фрукты,2,фрукты,2,True,True,True,True,True
170,170,взаимоотношениях,8,взаимоотношениях,6,взаимоотношениях,5,False,False,False,True,True
171,171,заливаются,5,заливаются,4,заливаются,4,False,False,True,True,True
172,172,южноамериканка,7,южноамериканка,6,южноамериканка,6,False,False,True,True,True
173,173,разрабытываемое,8,разрабытываемое,6,разрабытываемое,6,False,False,True,True,True
174,174,ландыш,2,ландыш,2,ландыш,2,True,True,True,True,True
175,175,бактериоуловитель,8,бактериоуловитель,7,бактериоуловитель,6,False,False,False,True,True
176,176,многонациональная,8,многонациональная,7,многонациональная,6,False,False,False,True,True
177,177,лес,1,лес,1,лес,1,True,True,True,True,True
178,178,йотта,2,йотта,2,йотта,2,True,True,True,True,True
179,179,Екатеринбург,5,Екатеринбург,5,Екатеринбург,5,True,True,True,True,True
180,180,объяснение,5,объяснение,4,объяснение,4,False,False,True,True,True
181,181,целебные,4,целебные,3,целебные,3,False,False,True,True,True
182,182,экран,2,экран,2,экран,2,True,True,True,True,True
183,183,шустрые,3,шустрые,2,шустрые,2,False,False,True,True,True
184,184,коллекционный,5,коллекционный,5,коллекционный,4,True,False,False,True,True
185,185,журавль,2,журавль,2,журавль,2,True,True,True,True,True
186,186,угольки,3,угольки,3,угольки,3,True,True,True,True,True
187,187,детство,2,детство,2,детство,2,True,True,True,True,True
188,188,целесообразно,6,целесообразно,5,целесообразно,5,False,False,True,True,True
189,189,чередующиеся,7,чередующиеся,5,чередующиеся,5,False,False,True,True,True
190,190,характеризующая,8,характеризующая,6,характеризующая,6,False,False,True,True,True
191,191,биофармацевтический,8,биофармацевтический,7,биофармацевтический,7,False,False,True,True,True
192,192,Классификация,6,Классификация,5,Классификация,5,False,False,True,True,True
193,193,телосложение,6,телосложение,5,телосложение,5,False,False,True,True,True
194,194,филологический,6,филологический,6,филологический,6,True,True,True,True,True
195,195,четырнадцатилетие,8,четырнадцатилетие,7,четырнадцатилетие,7,False,False,True,True,True
196,196,колокольчик,4,колокольчик,4,колокольчик,4,True,True,True,True,True
197,197,транспортирования,7,транспортирования,6,транспортирования,6,False,False,True,True,True
198,198,чьи,1,чьи,1,чьи,1,True,True,True,True,True
199,199,логарифмирования,8,логарифмирования,7,логарифмирования,7,False,False,True,True,True
200,200,жёрдочка,3,жёрдочка,3,жёрдочка,3,True,True,True,True,True
201,201,бензиновый,4,бензиновый,4,бензиновый,4,True,True,True,True,True
202,202,юстирование,6,юстирование,5,юстирование,5,False,False,True,True,True
203,203,оборотоспособности,8,оборотоспособности,7,оборотоспособности,8,False,True,False,True,True
204,204,цыплёнок,3,цыплёнок,3,цыплёнок,3,True,True,True,True,True
205,205,листья,2,листья,2,листья,2,True,True,True,True,True
206,206,психоневрологического,9,психоневрологического,8,психоневрологического,9,False,True,False,True,True
207,207,юмористическим,6,юмористическим,6,юмористическим,6,True,True,True,True,True
208,208,экскаваторщик,5,экскаваторщик,5,экскаваторщик,5,True,True,True,True,True
209,209,бровь,1,бровь,1,бровь,1,True,True,True,True,True
210,210,юмористического,7,юмористического,6,юмористического,7,False,True,False,True,True
211,211,ад,1,ад,1,ад,1,True,True,True,True,True
212,212,исследование,6,исследование,5,исследование,5,False,False,True,True,True
213,213,щурится,3,щурится,3,щурится,3,True,True,True,True,True
214,214,злой,1,злой,1,злой,1,True,True,True,True,True
215,215,учитель,3,учитель,3,учитель,3,True,True,True,True,True
216,216,гости,2,гости,2,гости,2,True,True,True,True,True
217,217,произведения,6,произведения,5,произведения,4,False,False,False,True,True
218,218,молния,3,молния,3,молния,2,True,False,False,True,True
219,219,щип,1,щип,1,щип,1,True,True,True,True,True
220,220,гиппопотам,4,гиппопотам,4,гиппопотам,4,True,True,True,True,True
221,221,метеорологических,8,метеорологических,7,метеорологических,7,False,False,True,True,True
222,222,калейдоскоп,4,калейдоскоп,5,калейдоскоп,4,False,True,False,True,True
223,223,хорёк,2,хорёк,2,хорёк,2,True,True,True,True,True
224,224,разливается,5,разливается,4,разливается,4,False,False,True,True,True
225,225,языческие,5,языческие,4,языческие,4,False,False,True,True,True
226,226,анаморфирование,8,анаморфирование,7,анаморфирование,7,False,False,True,True,True
227,227,завтра,2,завтра,2,завтра,2,True,True,True,True,True
228,228,освидетельствования,8,освидетельствования,7,освидетельствования,7,False,False,True,True,True
229,229,Владимировна,5,Владимировна,5,Владимировна,5,True,True,True,True,True
230,230,широковещательность,7,широковещательность,7,широковещательность,7,True,True,True,True,True
231,231,электроэнергии,7,электроэнергии,6,электроэнергии,5,False,False,False,True,True
232,232,желание,4,желание,4,желание,3,True,False,False,True,True
233,233,ямб,1,ямб,1,ямб,1,True,True,True,True,True
234,234,самосовершенствоваться,8,самосовершенствоваться,8,самосовершенствоваться,8,True,True,True,True,True
235,235,цилиндрический,5,цилиндрический,5,цилиндрический,5,True,True,True,True,True
236,236,ей,1,ей,1,ей,1,True,True,True,True,True
237,237,попугаи,4,попугаи,3,попугаи,3,False,False,True,True,True
238,238,неодушевленный,6,неодушевленный,5,неодушевленный,5,False,False,True,True,True
239,239,ухо,2,ухо,2,ухо,2,True,True,True,True,True
240,240,рот,1,рот,1,рот,1,True,True,True,True,True
241,241,кораблестроители,7,кораблестроители,7,кораблестроители,6,True,False,False,True,True
242,242,яркий,2,яркий,2,яркий,2,True,True,True,True,True
243,243,телекоммуникационной,9,телекоммуникационной,8,телекоммуникационной,8,False,False,True,True,True
244,244,Арш,1,Арш,1,Арш,1,True,True,True,True,True
245,245,щупальца,3,щупальца,3,щупальца,3,True,True,True,True,True
246,246,яма,2,яма,2,яма,2,True,True,True,True,True
247,247,чашка,2,чашка,2,чашка,2,True,True,True,True,True
248,248,щепка,2,щепка,2,щепка,2,True,True,True,True,True
249,249,тень,1,тень,1,тень,1,True,True,True,True,True
250,250,забияка,4,забияка,4,забияка,3,True,False,False,True,True
251,251,концентрация,5,концентрация,5,концентрация,4,True,False,False,True,True
252,252,Йокагама,4,Йокагама,4,Йокагама,4,True,True,True,True,True
253,253,энергосберегающий,8,энергосберегающий,7,энергосберегающий,7,False,False,True,True,True
254,254,сказуемое,5,сказуемое,4,сказуемое,3,False,False,False,True,True
255,255,кондиционер,5,кондиционер,5,кондиционер,4,True,False,False,True,True
256,256,коэффициентов,6,коэффициентов,5,коэффициентов,4,False,False,False,True,True
257,257,труднообрабатываемых,9,труднообрабатываемых,7,труднообрабатываемых,7,False,False,True,True,True
258,258,холст,1,холст,1,холст,1,True,True,True,True,True
259,259,материаловедческое,9,материаловедческое,7,материаловедческое,7,False,False,True,True,True
260,260,хозяина,4,хозяина,4,хозяина,3,True,False,False,True,True
261,261,осина,3,осина,3,осина,3,True,True,True,True,True
262,262,лингвистика,4,лингвистика,4,лингвистика,4,True,True,True,True,True
263,263,факел,2,факел,2,факел,2,True,True,True,True,True
264,264,равнодействующую,7,равнодействующую,6,равнодействующую,5,False,False,False,True,True
265,265,Инна,2,Инна,2,Инна,2,True,True,True,True,True
266,266,послеоперационные,9,послеоперационные,7,послеоперационные,6,False,False,False,True,True
267,267,юридическая,6,юридическая,5,юридическая,5,False,False,True,True,True
268,268,шумоподавление,7,шумоподавление,6,шумоподавление,6,False,False,True,True,True
269,269,жёлудь,2,жёлудь,2,жёлудь,2,True,True,True,True,True
270,270,пресмыкающиеся,7,пресмыкающиеся,5,пресмыкающиеся,5,False,False,True,True,True
271,271,третьяковская,5,третьяковская,5,третьяковская,4,True,False,False,True,True
272,272,высокоэнергетических,9,высокоэнергетических,7,высокоэнергетических,8,False,False,False,True,True
273,273,тёплая,3,тёплая,2,тёплая,2,False,False,True,True,True
274,274,регламентирующими,8,регламентирующими,6,регламентирующими,7,False,False,False,True,True
275,275,биотехнологического,9,биотехнологического,7,биотехнологического,8,False,False,False,True,True
276,276,комедия,4,комедия,3,комедия,3,False,False,True,True,True
277,277,фокус,2,фокус,2,фокус,2,True,True,True,True,True
278,278,фотографирующиеся,9,фотографирующиеся,6,фотографирующиеся,7,False,False,False,True,True
279,279,обслуживание,6,обслуживание,5,обслуживание,5,False,False,True,True,True
280,280,заинтересованность,7,заинтересованность,6,заинтересованность,6,False,False,True,True,True
281,281,одиночество,5,одиночество,4,одиночество,5,False,True,False,True,True
282,282,зубр,1,зубр,1,зубр,1,True,True,True,True,True
283,283,жемчужина,4,жемчужина,3,жемчужина,4,False,True,False,True,True
284,284,культурноисторическими,9,культурноисторическими,8,культурноисторическими,8,False,False,True,True,True
285,285,черносмородиновое,8,черносмородиновое,7,черносмородиновое,7,False,False,True,True,True
286,286,чиж,1,чиж,1,чиж,1,True,True,True,True,True
287,287,южноамериканец,7,южноамериканец,6,южноамериканец,6,False,False,True,True,True
288,288,Великобритания,7,Великобритания,6,Великобритания,6,False,False,True,True,True
289,289,гидроизолирующие,9,гидроизолирующие,7,гидроизолирующие,6,False,False,False,True,True
290,290,четырехугольнике,7,четырехугольнике,6,четырехугольнике,7,False,True,False,True,True
291,291,украшения,5,украшения,4,украшения,4,False,False,True,True,True
292,292,галстук,2,галстук,2,галстук,2,True,True,True,True,True
293,293,путешествие,5,путешествие,4,путешествие,4,False,False,True,True,True
294,294,шишки,2,шишки,2,шишки,2,True,True,True,True,True
295,295,головокружительным,7,головокружительным,7,головокружительным,7,True,True,True,True,True
296,296,замерзающего,6,замерзающего,5,замерзающего,5,False,False,True,True,True
297,297,муниципального,6,муниципального,5,муниципального,6,False,True,False,True,True
298,298,характеристическими,8,характеристическими,7,характеристическими,8,False,True,False,True,True
299,299,объезд,2,объезд,2,объезд,2,True,True,True,True,True
300,300,щиколотка,4,щиколотка,4,щиколотка,4,True,True,True,True,True
301,301,хореографические,8,хореографические,6,хореографические,6,False,False,True,True,True
302,302,рассказывает,5,рассказывает,4,рассказывает,4,False,False,True,True,True
303,303,заявление,5,заявление,4,заявление,3,False,False,False,True,True
304,304,Гагарина,4,Гагарина,4,Гагарина,4,True,True,True,True,True
305,305,деревня,3,деревня,3,деревня,3,True,True,True,True,True
306,306,скорая,3,скорая,3,скорая,2,True,False,False,True,True
307,307,Йемен,2,Йемен,2,Йемен,2,True,True,True,True,True
308,308,жизнедеятельность,6,жизнедеятельность,6,жизнедеятельность,5,True,False,False,True,True
309,309,испугала,4,испугала,3,испугала,4,False,True,False,True,True
310,310,воробьиное,5,воробьиное,4,воробьиное,4,False,False,True,True,True
311,311,администрирование,8,администрирование,7,администрирование,7,False,False,True,True,True
312,312,олимпиада,5,олимпиада,4,олимпиада,4,False,False,True,True,True
313,313,шарикоподшипник,6,шарикоподшипник,6,шарикоподшипник,6,True,True,True,True,True
314,314,комбинированный,6,комбинированный,5,комбинированный,6,False,True,False,True,True
315,315,очень,2,очень,2,очень,2,True,True,True,True,True
316,316,Ил,1,Ил,1,Ил,1,True,True,True,True,True
317,317,трость,1,трость,1,трость,1,True,True,True,True,True
318,318,документооборота,8,документооборота,6,документооборота,7,False,False,False,True,True
319,319,носорог,3,носорог,3,носорог,3,True,True,True,True,True
320,320,Америка,4,Америка,4,Америка,4,True,True,True,True,True
321,321,могущественный,5,могущественный,5,могущественный,5,True,True,True,True,True
322,322,ломоносовская,6,ломоносовская,5,ломоносовская,5,False,False,True,True,True
323,323,церемония,5,церемония,4,церемония,4,False,False,True,True,True
324,324,ультрафиолетового,8,ультрафиолетового,7,ультрафиолетового,7,False,False,True,True,True
325,325,здравствуй,2,здравствуй,2,здравствуй,2,True,True,True,True,True
326,326,сковорода,4,сковорода,4,сковорода,4,True,True,True,True,True
327,327,художественной,5,художественной,5,художественной,5,True,True,True,True,True
328,328,эксплуатационная,8,эксплуатационная,7,эксплуатационная,5,False,False,False,True,True
329,329,ёжился,3,ёжился,2,ёжился,3,False,True,False,True,True
330,330,Элла,2,Элла,2,Элла,2,True,True,True,True,True
331,331,оперуполномоченного,9,оперуполномоченного,7,оперуполномоченного,9,False,True,False,True,True
332,332,юриспруденция,6,юриспруденция,5,юриспруденция,5,False,False,True,True,True
333,333,тепломеханического,8,тепломеханического,7,тепломеханического,8,False,True,False,True,True
334,334,соловьи,3,соловьи,3,соловьи,3,True,True,True,True,True
335,335,характеризовалась,7,характеризовалась,6,характеризовалась,7,False,True,False,True,True
336,336,ай,1,ай,1,ай,1,True,True,True,True,True
337,337,ножницами,4,ножницами,3,ножницами,4,False,True,False,True,True
338,338,осень,2,осень,2,осень,2,True,True,True,True,True
339,339,размышления,5,размышления,4,размышления,4,False,False,True,True,True
340,340,лиловые,4,лиловые,3,лиловые,3,False,False,True,True,True
341,341,его,2,его,2,его,2,True,True,True,True,True
342,342,энциклопедия,6,энциклопедия,5,энциклопедия,5,False,False,True,True,True
343,343,чересполосица,6,чересполосица,5,чересполосица,6,False,True,False,True,True
344,344,классная,3,классная,3,классная,2,True,False,False,True,True
345,345,март,1,март,1,март,1,True,True,True,True,True
346,346,чудеса,3,чудеса,3,чудеса,3,True,True,True,True,True
347,347,трудолюбивый,5,трудолюбивый,5,трудолюбивый,5,True,True,True,True,True
348,348,фортуна,3,фортуна,3,фортуна,3,True,True,True,True,True
349,349,карандаши,4,карандаши,4,карандаши,4,True,True,True,True,True
350,350,шиповник,3,шиповник,3,шиповник,3,True,True,True,True,True
351,351,жизнеобеспечения,8,жизнеобеспечения,7,жизнеобеспечения,6,False,False,False,True,True
352,352,ест,1,ест,1,ест,1,True,True,True,True,True
353,353,инициатива,6,инициатива,5,инициатива,5,False,False,True,True,True
354,354,ик,1,ик,1,ик,1,True,True,True,True,True
355,355,производительности,7,производительности,6,производительности,6,False,False,True,True,True
356,356,хлопья,2,хлопья,2,хлопья,2,True,True,True,True,True
357,357,металлический,5,металлический,5,металлический,5,True,True,True,True,True
358,358,рельсы,2,рельсы,2,рельсы,2,True,True,True,True,True
359,359,окно,2,окно,2,окно,2,True,True,True,True,True
360,360,заимствованные,6,заимствованные,5,заимствованные,4,False,False,False,True,True
361,361,йотированный,5,йотированный,5,йотированный,5,True,True,True,True,True
362,362,варенье,3,варенье,3,варенье,3,True,True,True,True,True
363,363,являющихся,5,являющихся,4,являющихся,4,False,False,True,True,True
364,364,лайка,2,лайка,2,лайка,2,True,True,True,True,True
365,365,художественного,6,художественного,5,художественного,6,False,True,False,True,True
366,366,щелк,1,щелк,1,щелк,1,True,True,True,True,True
367,367,деревьев,3,деревьев,3,деревьев,3,True,True,True,True,True
368,368,лиственница,4,лиственница,4,лиственница,4,True,True,True,True,True
369,369,арбуз,2,арбуз,2,арбуз,2,True,True,True,True,True
370,370,воочию,4,воочию,3,воочию,2,False,False,False,True,True
371,371,возникновение,6,возникновение,5,возникновение,5,False,False,True,True,True
372,372,удовлетворительное,8,удовлетворительное,7,удовлетворительное,7,False,False,True,True,True
373,373,соответствующего,7,соответствующего,6,соответствующего,5,False,False,False,True,True
374,374,хозяйство,3,хозяйство,3,хозяйство,3,True,True,True,True,True
375,375,серебряные,5,серебряные,4,серебряные,4,False,False,True,True,True
376,376,физиологическим,7,физиологическим,6,физиологическим,6,False,False,True,True,True
377,377,микробиологическая,9,микробиологическая,7,микробиологическая,7,False,False,True,True,True
378,378,функционированное,8,функционированное,6,функционированное,6,False,False,True,True,True
379,379,ёлкин,2,ёлкин,2,ёлкин,2,True,True,True,True,True
380,380,шероховатости,6,шероховатости,5,шероховатости,6,False,True,False,True,True
